,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,BCW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
27,25,-4-berry,Centre,Berry,41-61,41,61,"9, 5, 9, 18, 41","7, 12, 26, 16, 61",9,5,9,18,41,7,12,26,16,61,15-10,13-13,02/23/18,Lose,225,No Location Recorded,6:00p.m.,A,27,06:40,,,,,"TURNOVER  by PARSONS,EVELINE",,,"TURNOVER  by PARSONS,EVELINE",1,turnover,,berry,eveline parsons,,400
28,25,-4-berry,Centre,Berry,41-61,41,61,"9, 5, 9, 18, 41","7, 12, 26, 16, 61",9,5,9,18,41,7,12,26,16,61,15-10,13-13,02/23/18,Lose,225,No Location Recorded,6:00p.m.,A,28,06:40,"STEAL  by HICKS,ELLEN",,,,,,,"STEAL  by HICKS,ELLEN",1,steal,,Centre,,,400
29,25,-4-berry,Centre,Berry,41-61,41,61,"9, 5, 9, 18, 41","7, 12, 26, 16, 61",9,5,9,18,41,7,12,26,16,61,15-10,13-13,02/23/18,Lose,225,No Location Recorded,6:00p.m.,A,29,06:15,"MISS JUMPER by WILSON,KATHLEEN",,,,,,,"MISS JUMPER by WILSON,KATHLEEN",1,jumper,missed,Centre,kathleen wilson,,375
30,25,-4-berry,Centre,Berry,41-61,41,61,"9, 5, 9, 18, 41","7, 12, 26, 16, 61",9,5,9,18,41,7,12,26,16,61,15-10,13-13,02/23/18,Lose,225,No Location Recorded,6:00p.m.,A,30,--,"REBOUND OFF by WILSON,KATHLEEN",,,,,,,"REBOUND OFF by WILSON,KATHLEEN",1,offensive rebound,,Centre,kathleen wilson,,
31,25,-4-berry,Centre,Berry,41-61,41,61,"9, 5, 9, 18, 41","7, 12, 26, 16, 61",9,5,9,18,41,7,12,26,16,61,15-10,13-13,02/23/18,Lose,225,No Location Recorded,6:00p.m.,A,31,06:13,"MISS LAYUP by WILSON,KATHLEEN",,,,,,,"MISS LAYUP by WILSON,KATHLEEN",1,layup,missed,Centre,kathleen wilson,,373
32,25,-4-berry,Centre,Berry,41-61,41,61,"9, 5, 9, 18, 41","7, 12, 26, 16, 61",9,5,9,18,41,7,12,26,16,61,15-10,13-13,02/23/18,Lose,225,No Location Recorded,6:00p.m.,A,32,--,,,,,"REBOUND DEF by WEEMS,ALEX",,,"REBOUND DEF by WEEMS,ALEX",1,defensive rebound,,berry,alex weems,,
33,25,-4-berry,Centre,Berry,41-61,41,61,"9, 5, 9, 18, 41","7, 12, 26, 16, 61",9,5,9,18,41,7,12,26,16,61,15-10,13-13,02/23/18,Lose,225,No Location Recorded,6:00p.m.,A,33,06:02,,,,,"MISS 3PTR by SMITH,NIA",,,"MISS 3PTR by SMITH,NIA",1,three pointer,missed,berry,nia smith,,362
34,25,-4-berry,Centre,Berry,41-61,41,61,"9, 5, 9, 18, 41","7, 12, 26, 16, 61",9,5,9,18,41,7,12,26,16,61,15-10,13-13,02/23/18,Lose,225,No Location Recorded,6:00p.m.,A,34,--,"REBOUND DEF by SCHAD,OLIVIA",,,,,,,"REBOUND DEF by SCHAD,OLIVIA",1,defensive rebound,,Centre,olivia schad,,
35,25,-4-berry,Centre,Berry,41-61,41,61,"9, 5, 9, 18, 41","7, 12, 26, 16, 61",9,5,9,18,41,7,12,26,16,61,15-10,13-13,02/23/18,Lose,225,No Location Recorded,6:00p.m.,A,35,05:45,"TURNOVER  by HICKS,ELLEN",,,,,,,"TURNOVER  by HICKS,ELLEN",1,turnover,,Centre,ellen hicks,,345
36,25,-4-berry,Centre,Berry,41-61,41,61,"9, 5, 9, 18, 41","7, 12, 26, 16, 61",9,5,9,18,41,7,12,26,16,61,15-10,13-13,02/23/18,Lose,225,No Location Recorded,6:00p.m.,A,36,05:36,,,,,"MISS LAYUP by PARSONS,EVELINE",,,"MISS LAYUP by PARSONS,EVELINE",1,layup,missed,berry,eveline parsons,,336
37,25,-4-berry,Centre,Berry,41-61,41,61,"9, 5, 9, 18, 41","7, 12, 26, 16, 61",9,5,9,18,41,7,12,26,16,61,15-10,13-13,02/23/18,Lose,225,No Location Recorded,6:00p.m.,A,37,05:36,"BLOCK  by STEWART,ABIGAIL",,,,,,,"BLOCK  by STEWART,ABIGAIL",1,block,,Centre,abigail stewart,,336
38,25,-4-berry,Centre,Berry,41-61,41,61,"9, 5, 9, 18, 41","7, 12, 26, 16, 61",9,5,9,18,41,7,12,26,16,61,15-10,13-13,02/23/18,Lose,225,No Location Recorded,6:00p.m.,A,38,--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1,offensive rebound,,Centre,,,
39,25,-4-berry,Centre,Berry,41-61,41,61,"9, 5, 9, 18, 41","7, 12, 26, 16, 61",9,5,9,18,41,7,12,26,16,61,15-10,13-13,02/23/18,Lose,225,No Location Recorded,6:00p.m.,A,39,05:34,,,,,"MISS 3PTR by PARSONS,EVELINE",,,"MISS 3PTR by PARSONS,EVELINE",1,three pointer,missed,berry,eveline parsons,,334
40,25,-4-berry,Centre,Berry,41-61,41,61,"9, 5, 9, 18, 41","7, 12, 26, 16, 61",9,5,9,18,41,7,12,26,16,61,15-10,13-13,02/23/18,Lose,225,No Location Recorded,6:00p.m.,A,40,--,"REBOUND DEF by WEHBY,ABIGAIL",,,,,,,"REBOUND DEF by WEHBY,ABIGAIL",1,defensive rebound,,Centre,abigail wehby,,
41,25,-4-berry,Centre,Berry,41-61,41,61,"9, 5, 9, 18, 41","7, 12, 26, 16, 61",9,5,9,18,41,7,12,26,16,61,15-10,13-13,02/23/18,Lose,225,No Location Recorded,6:00p.m.,A,41,05:15,"TURNOVER  by MURRAY,KYLEE",,,,,,,"TURNOVER  by MURRAY,KYLEE",1,turnover,,Centre,kylee murray,,315
42,25,-4-berry,Centre,Berry,41-61,41,61,"9, 5, 9, 18, 41","7, 12, 26, 16, 61",9,5,9,18,41,7,12,26,16,61,15-10,13-13,02/23/18,Lose,225,No Location Recorded,6:00p.m.,A,42,05:14,,,,,"STEAL  by WEEMS,ALEX",,,"STEAL  by WEEMS,ALEX",1,steal,,berry,,,314
43,25,-4-berry,Centre,Berry,41-61,41,61,"9, 5, 9, 18, 41","7, 12, 26, 16, 61",9,5,9,18,41,7,12,26,16,61,15-10,13-13,02/23/18,Lose,225,No Location Recorded,6:00p.m.,A,43,05:04,,,,,"MISS LAYUP by WEEMS,ALEX",,,"MISS LAYUP by WEEMS,ALEX",1,layup,missed,berry,alex weems,,304
44,25,-4-berry,Centre,Berry,41-61,41,61,"9, 5, 9, 18, 41","7, 12, 26, 16, 61",9,5,9,18,41,7,12,26,16,61,15-10,13-13,02/23/18,Lose,225,No Location Recorded,6:00p.m.,A,44,--,"REBOUND DEF by WEHBY,ABIGAIL",,,,,,,"REBOUND DEF by WEHBY,ABIGAIL",1,defensive rebound,,Centre,abigail wehby,,
45,25,-4-berry,Centre,Berry,41-61,41,61,"9, 5, 9, 18, 41","7, 12, 26, 16, 61",9,5,9,18,41,7,12,26,16,61,15-10,13-13,02/23/18,Lose,225,No Location Recorded,6:00p.m.,A,45,04:51,"TURNOVER  by MILLER,LAKKEN",,,,,,,"TURNOVER  by MILLER,LAKKEN",1,turnover,,Centre,lakken miller,,291
46,25,-4-berry,Centre,Berry,41-61,41,61,"9, 5, 9, 18, 41","7, 12, 26, 16, 61",9,5,9,18,41,7,12,26,16,61,15-10,13-13,02/23/18,Lose,225,No Location Recorded,6:00p.m.,A,46,04:51,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1,timeout,,Centre,,,291
47,25,-4-berry,Centre,Berry,41-61,41,61,"9, 5, 9, 18, 41","7, 12, 26, 16, 61",9,5,9,18,41,7,12,26,16,61,15-10,13-13,02/23/18,Lose,225,No Location Recorded,6:00p.m.,A,47,04:51,,,,,"TURNOVER  by PARSONS,EVELINE",,,"TURNOVER  by PARSONS,EVELINE",1,turnover,,berry,eveline parsons,,291
