,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,LC,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
25,9,lasell,Lasell,Centre,53-29,53,29,"13, 9, 20, 11, 53","4, 11, 6, 8, 29",13,9,20,11,53,4,11,6,8,29,8-1,2-7,12/21/17,Win,No Attendence Recorded,No Location Recorded,2:00 PM,H,25,07:07,,,,,"SUB OUT by KELLAM,PAIGE",,,"SUB OUT by KELLAM,PAIGE",1,subbing out,,Centre,paige kellam,,427
26,9,lasell,Lasell,Centre,53-29,53,29,"13, 9, 20, 11, 53","4, 11, 6, 8, 29",13,9,20,11,53,4,11,6,8,29,8-1,2-7,12/21/17,Win,No Attendence Recorded,No Location Recorded,2:00 PM,H,26,07:05,"TURNOVER  by CHURCH,MORGAN",,,,,,,"TURNOVER  by CHURCH,MORGAN",1,turnover,,lasell,morgan church,,425
27,9,lasell,Lasell,Centre,53-29,53,29,"13, 9, 20, 11, 53","4, 11, 6, 8, 29",13,9,20,11,53,4,11,6,8,29,8-1,2-7,12/21/17,Win,No Attendence Recorded,No Location Recorded,2:00 PM,H,27,07:05,,,,,"STEAL  by WILSON,KATHLEEN",,,"STEAL  by WILSON,KATHLEEN",1,steal,,Centre,,,425
28,9,lasell,Lasell,Centre,53-29,53,29,"13, 9, 20, 11, 53","4, 11, 6, 8, 29",13,9,20,11,53,4,11,6,8,29,8-1,2-7,12/21/17,Win,No Attendence Recorded,No Location Recorded,2:00 PM,H,28,06:47,,,,,"MISS JUMPER by SCHAD,OLIVIA",,,"MISS JUMPER by SCHAD,OLIVIA",1,jumper,missed,Centre,olivia schad,,407
29,9,lasell,Lasell,Centre,53-29,53,29,"13, 9, 20, 11, 53","4, 11, 6, 8, 29",13,9,20,11,53,4,11,6,8,29,8-1,2-7,12/21/17,Win,No Attendence Recorded,No Location Recorded,2:00 PM,H,29,--,"REBOUND DEF by ROSS,DANA",,,,,,,"REBOUND DEF by ROSS,DANA",1,defensive rebound,,lasell,dana ross,,
30,9,lasell,Lasell,Centre,53-29,53,29,"13, 9, 20, 11, 53","4, 11, 6, 8, 29",13,9,20,11,53,4,11,6,8,29,8-1,2-7,12/21/17,Win,No Attendence Recorded,No Location Recorded,2:00 PM,H,30,06:25,"TURNOVER  by HOFFMAN,BRIANNA",,,,,,,"TURNOVER  by HOFFMAN,BRIANNA",1,turnover,,lasell,brianna hoffman,,385
31,9,lasell,Lasell,Centre,53-29,53,29,"13, 9, 20, 11, 53","4, 11, 6, 8, 29",13,9,20,11,53,4,11,6,8,29,8-1,2-7,12/21/17,Win,No Attendence Recorded,No Location Recorded,2:00 PM,H,31,06:25,,,,,"SUB IN by FEE,MIKAYLA",,,"SUB IN by FEE,MIKAYLA",1,subbing in,,Centre,mikayla fee,,385
32,9,lasell,Lasell,Centre,53-29,53,29,"13, 9, 20, 11, 53","4, 11, 6, 8, 29",13,9,20,11,53,4,11,6,8,29,8-1,2-7,12/21/17,Win,No Attendence Recorded,No Location Recorded,2:00 PM,H,32,06:25,,,,,"SUB IN by BUNNER,CHEYENNE",,,"SUB IN by BUNNER,CHEYENNE",1,subbing in,,Centre,cheyenne bunner,,385
33,9,lasell,Lasell,Centre,53-29,53,29,"13, 9, 20, 11, 53","4, 11, 6, 8, 29",13,9,20,11,53,4,11,6,8,29,8-1,2-7,12/21/17,Win,No Attendence Recorded,No Location Recorded,2:00 PM,H,33,06:25,,,,,"SUB OUT by RICE,MADISON",,,"SUB OUT by RICE,MADISON",1,subbing out,,Centre,madison rice,,385
34,9,lasell,Lasell,Centre,53-29,53,29,"13, 9, 20, 11, 53","4, 11, 6, 8, 29",13,9,20,11,53,4,11,6,8,29,8-1,2-7,12/21/17,Win,No Attendence Recorded,No Location Recorded,2:00 PM,H,34,06:25,,,,,"SUB OUT by STEWART,ABIGAIL",,,"SUB OUT by STEWART,ABIGAIL",1,subbing out,,Centre,abigail stewart,,385
35,9,lasell,Lasell,Centre,53-29,53,29,"13, 9, 20, 11, 53","4, 11, 6, 8, 29",13,9,20,11,53,4,11,6,8,29,8-1,2-7,12/21/17,Win,No Attendence Recorded,No Location Recorded,2:00 PM,H,35,06:10,,3,,5 (+2),"GOOD JUMPER by BUNNER,CHEYENNE(in the paint)",CENTRE-W 3-5 (+2),,"GOOD JUMPER by BUNNER,CHEYENNE(in the paint)",1,jumper,good,Centre,cheyenne bunner,2,370
36,9,lasell,Lasell,Centre,53-29,53,29,"13, 9, 20, 11, 53","4, 11, 6, 8, 29",13,9,20,11,53,4,11,6,8,29,8-1,2-7,12/21/17,Win,No Attendence Recorded,No Location Recorded,2:00 PM,H,36,--,,,,,"ASSIST  by BALLARD,AMI",,,"ASSIST  by BALLARD,AMI",1,assist,,Centre,ami ballard,,
37,9,lasell,Lasell,Centre,53-29,53,29,"13, 9, 20, 11, 53","4, 11, 6, 8, 29",13,9,20,11,53,4,11,6,8,29,8-1,2-7,12/21/17,Win,No Attendence Recorded,No Location Recorded,2:00 PM,H,37,05:56,"TURNOVER  by CHURCH,MORGAN",,,,,,,"TURNOVER  by CHURCH,MORGAN",1,turnover,,lasell,morgan church,,356
38,9,lasell,Lasell,Centre,53-29,53,29,"13, 9, 20, 11, 53","4, 11, 6, 8, 29",13,9,20,11,53,4,11,6,8,29,8-1,2-7,12/21/17,Win,No Attendence Recorded,No Location Recorded,2:00 PM,H,38,05:56,,,,,"STEAL  by BUNNER,CHEYENNE",,,"STEAL  by BUNNER,CHEYENNE",1,steal,,Centre,,,356
39,9,lasell,Lasell,Centre,53-29,53,29,"13, 9, 20, 11, 53","4, 11, 6, 8, 29",13,9,20,11,53,4,11,6,8,29,8-1,2-7,12/21/17,Win,No Attendence Recorded,No Location Recorded,2:00 PM,H,39,05:34,,,,,"MISS JUMPER by SCHAD,OLIVIA",,,"MISS JUMPER by SCHAD,OLIVIA",1,jumper,missed,Centre,olivia schad,,334
40,9,lasell,Lasell,Centre,53-29,53,29,"13, 9, 20, 11, 53","4, 11, 6, 8, 29",13,9,20,11,53,4,11,6,8,29,8-1,2-7,12/21/17,Win,No Attendence Recorded,No Location Recorded,2:00 PM,H,40,--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
41,9,lasell,Lasell,Centre,53-29,53,29,"13, 9, 20, 11, 53","4, 11, 6, 8, 29",13,9,20,11,53,4,11,6,8,29,8-1,2-7,12/21/17,Win,No Attendence Recorded,No Location Recorded,2:00 PM,H,41,05:34,"SUB IN by HUGHEY,TAYLOR",,,,,,,"SUB IN by HUGHEY,TAYLOR",1,subbing in,,lasell,taylor hughey,,334
