,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,BIRMINGH,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
34,12,birmingham-southern,Birmingham Southern,Centre,63-39,63,39,"9, 26, 11, 17, 63","11, 11, 10, 7, 39",9,26,11,17,63,11,11,10,7,39,11-1 (2-0 SAA),7-6 (1-1 SAA),01/05/18,Win,No Attendence Recorded,No Location Recorded,6:00 PM,H,34,05:45,"TURNOVER  by OLSEN,EMILEE",,,,,,,"TURNOVER  by OLSEN,EMILEE",1,turnover,,birmingham southern,emilee olsen,,345
35,12,birmingham-southern,Birmingham Southern,Centre,63-39,63,39,"9, 26, 11, 17, 63","11, 11, 10, 7, 39",9,26,11,17,63,11,11,10,7,39,11-1 (2-0 SAA),7-6 (1-1 SAA),01/05/18,Win,No Attendence Recorded,No Location Recorded,6:00 PM,H,35,05:40,,,,,"STEAL  by BALLARD,AMI",,,"STEAL  by BALLARD,AMI",1,steal,,Centre,,,340
36,12,birmingham-southern,Birmingham Southern,Centre,63-39,63,39,"9, 26, 11, 17, 63","11, 11, 10, 7, 39",9,26,11,17,63,11,11,10,7,39,11-1 (2-0 SAA),7-6 (1-1 SAA),01/05/18,Win,No Attendence Recorded,No Location Recorded,6:00 PM,H,36,05:34,,,,,"MISS JUMPER by FEE,MIKAYLA",,,"MISS JUMPER by FEE,MIKAYLA",1,jumper,missed,Centre,mikayla fee,,334
37,12,birmingham-southern,Birmingham Southern,Centre,63-39,63,39,"9, 26, 11, 17, 63","11, 11, 10, 7, 39",9,26,11,17,63,11,11,10,7,39,11-1 (2-0 SAA),7-6 (1-1 SAA),01/05/18,Win,No Attendence Recorded,No Location Recorded,6:00 PM,H,37,--,"REBOUND DEF by PHILPOT,ELIZABETH",,,,,,,"REBOUND DEF by PHILPOT,ELIZABETH",1,defensive rebound,,birmingham southern,elizabeth philpot,,
38,12,birmingham-southern,Birmingham Southern,Centre,63-39,63,39,"9, 26, 11, 17, 63","11, 11, 10, 7, 39",9,26,11,17,63,11,11,10,7,39,11-1 (2-0 SAA),7-6 (1-1 SAA),01/05/18,Win,No Attendence Recorded,No Location Recorded,6:00 PM,H,38,05:20,"TURNOVER  by HOGAN,KAITLIN",,,,,,,"TURNOVER  by HOGAN,KAITLIN",1,turnover,,birmingham southern,kaitlin hogan,,320
39,12,birmingham-southern,Birmingham Southern,Centre,63-39,63,39,"9, 26, 11, 17, 63","11, 11, 10, 7, 39",9,26,11,17,63,11,11,10,7,39,11-1 (2-0 SAA),7-6 (1-1 SAA),01/05/18,Win,No Attendence Recorded,No Location Recorded,6:00 PM,H,39,05:15,,,,,"STEAL  by BUNNER,CHEYENNE",,,"STEAL  by BUNNER,CHEYENNE",1,steal,,Centre,,,315
40,12,birmingham-southern,Birmingham Southern,Centre,63-39,63,39,"9, 26, 11, 17, 63","11, 11, 10, 7, 39",9,26,11,17,63,11,11,10,7,39,11-1 (2-0 SAA),7-6 (1-1 SAA),01/05/18,Win,No Attendence Recorded,No Location Recorded,6:00 PM,H,40,05:09,,,,,"TURNOVER  by FEE,MIKAYLA",,,"TURNOVER  by FEE,MIKAYLA",1,turnover,,Centre,mikayla fee,,309
41,12,birmingham-southern,Birmingham Southern,Centre,63-39,63,39,"9, 26, 11, 17, 63","11, 11, 10, 7, 39",9,26,11,17,63,11,11,10,7,39,11-1 (2-0 SAA),7-6 (1-1 SAA),01/05/18,Win,No Attendence Recorded,No Location Recorded,6:00 PM,H,41,05:05,,,,,"SUB IN by MARCUM,MADISON",,,"SUB IN by MARCUM,MADISON",1,subbing in,,Centre,madison marcum,,305
42,12,birmingham-southern,Birmingham Southern,Centre,63-39,63,39,"9, 26, 11, 17, 63","11, 11, 10, 7, 39",9,26,11,17,63,11,11,10,7,39,11-1 (2-0 SAA),7-6 (1-1 SAA),01/05/18,Win,No Attendence Recorded,No Location Recorded,6:00 PM,H,42,05:05,,,,,"SUB IN by MILLER,LAKKEN",,,"SUB IN by MILLER,LAKKEN",1,subbing in,,Centre,lakken miller,,305
43,12,birmingham-southern,Birmingham Southern,Centre,63-39,63,39,"9, 26, 11, 17, 63","11, 11, 10, 7, 39",9,26,11,17,63,11,11,10,7,39,11-1 (2-0 SAA),7-6 (1-1 SAA),01/05/18,Win,No Attendence Recorded,No Location Recorded,6:00 PM,H,43,05:05,,,,,"SUB IN by FEE,MIKAYLA",,,"SUB IN by FEE,MIKAYLA",1,subbing in,,Centre,mikayla fee,,305
