,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,AU-W,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
25,1,anderson-ind-,Anderson,Centre,63-36,63,36,"13, 20, 15, 15, 63","7, 6, 11, 12, 36",13,20,15,15,63,7,6,11,12,36,1-0,0-2,11/17/17,Win,89,No Location Recorded,7:00 PM,H,25,07:26,,,,,"SUB OUT by KELLAM,PAIGE",,,"SUB OUT by KELLAM,PAIGE",1,subbing out,,Centre,paige kellam,,446
26,1,anderson-ind-,Anderson,Centre,63-36,63,36,"13, 20, 15, 15, 63","7, 6, 11, 12, 36",13,20,15,15,63,7,6,11,12,36,1-0,0-2,11/17/17,Win,89,No Location Recorded,7:00 PM,H,26,07:22,,,,,"MISS JUMPER by SCHAD,OLIVIA",,,"MISS JUMPER by SCHAD,OLIVIA",1,jumper,missed,Centre,olivia schad,,442
27,1,anderson-ind-,Anderson,Centre,63-36,63,36,"13, 20, 15, 15, 63","7, 6, 11, 12, 36",13,20,15,15,63,7,6,11,12,36,1-0,0-2,11/17/17,Win,89,No Location Recorded,7:00 PM,H,27,--,"REBOUND DEF by LOVE,OLIVIA",,,,,,,"REBOUND DEF by LOVE,OLIVIA",1,defensive rebound,,anderson,olivia love,,
28,1,anderson-ind-,Anderson,Centre,63-36,63,36,"13, 20, 15, 15, 63","7, 6, 11, 12, 36",13,20,15,15,63,7,6,11,12,36,1-0,0-2,11/17/17,Win,89,No Location Recorded,7:00 PM,H,28,07:12,,,,,"FOUL  by SCHAD,OLIVIA",,,"FOUL  by SCHAD,OLIVIA",1,foul,,Centre,olivia schad,,432
29,1,anderson-ind-,Anderson,Centre,63-36,63,36,"13, 20, 15, 15, 63","7, 6, 11, 12, 36",13,20,15,15,63,7,6,11,12,36,1-0,0-2,11/17/17,Win,89,No Location Recorded,7:00 PM,H,29,07:12,,,,,"SUB IN by MILLER,LAKKEN",,,"SUB IN by MILLER,LAKKEN",1,subbing in,,Centre,lakken miller,,432
30,1,anderson-ind-,Anderson,Centre,63-36,63,36,"13, 20, 15, 15, 63","7, 6, 11, 12, 36",13,20,15,15,63,7,6,11,12,36,1-0,0-2,11/17/17,Win,89,No Location Recorded,7:00 PM,H,30,07:12,,,,,"SUB OUT by SCHAD,OLIVIA",,,"SUB OUT by SCHAD,OLIVIA",1,subbing out,,Centre,olivia schad,,432
31,1,anderson-ind-,Anderson,Centre,63-36,63,36,"13, 20, 15, 15, 63","7, 6, 11, 12, 36",13,20,15,15,63,7,6,11,12,36,1-0,0-2,11/17/17,Win,89,No Location Recorded,7:00 PM,H,31,07:00,,,,,"FOUL  by RICE,MADISON",,,"FOUL  by RICE,MADISON",1,foul,,Centre,madison rice,,420
32,1,anderson-ind-,Anderson,Centre,63-36,63,36,"13, 20, 15, 15, 63","7, 6, 11, 12, 36",13,20,15,15,63,7,6,11,12,36,1-0,0-2,11/17/17,Win,89,No Location Recorded,7:00 PM,H,32,06:50,,,,,"SUB IN by BUNNER,CHEYENNE",,,"SUB IN by BUNNER,CHEYENNE",1,subbing in,,Centre,cheyenne bunner,,410
33,1,anderson-ind-,Anderson,Centre,63-36,63,36,"13, 20, 15, 15, 63","7, 6, 11, 12, 36",13,20,15,15,63,7,6,11,12,36,1-0,0-2,11/17/17,Win,89,No Location Recorded,7:00 PM,H,33,06:50,,,,,"SUB OUT by RICE,MADISON",,,"SUB OUT by RICE,MADISON",1,subbing out,,Centre,madison rice,,410
34,1,anderson-ind-,Anderson,Centre,63-36,63,36,"13, 20, 15, 15, 63","7, 6, 11, 12, 36",13,20,15,15,63,7,6,11,12,36,1-0,0-2,11/17/17,Win,89,No Location Recorded,7:00 PM,H,34,06:42,"MISS LAYUP by LOVE,OLIVIA",,,,,,,"MISS LAYUP by LOVE,OLIVIA",1,layup,missed,anderson,olivia love,,402
35,1,anderson-ind-,Anderson,Centre,63-36,63,36,"13, 20, 15, 15, 63","7, 6, 11, 12, 36",13,20,15,15,63,7,6,11,12,36,1-0,0-2,11/17/17,Win,89,No Location Recorded,7:00 PM,H,35,--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1,offensive rebound,,anderson,,,
36,1,anderson-ind-,Anderson,Centre,63-36,63,36,"13, 20, 15, 15, 63","7, 6, 11, 12, 36",13,20,15,15,63,7,6,11,12,36,1-0,0-2,11/17/17,Win,89,No Location Recorded,7:00 PM,H,36,06:38,"GOOD LAYUP by LOVE,OLIVIA(in the paint)",4,,5 (+1),,AU-W 4-5 (+1),,"GOOD LAYUP by LOVE,OLIVIA(in the paint)",1,layup,good,anderson,olivia love,2,398
