,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
22,17,rhodes,Centre,Rhodes,62-75,62,75,"7, 18, 21, 16, 62","12, 11, 21, 31, 75",7,18,21,16,62,12,11,21,31,75,12-5; 3-4 SAA,12-5; 5-2 SAA,01/21/18,Lose,97,No Location Recorded,1:00 PM,A,22,08:07,"SUB IN by HICKS,ELLEN",,,,,,,"SUB IN by HICKS,ELLEN",1,subbing in,,Centre,ellen hicks,,487
23,17,rhodes,Centre,Rhodes,62-75,62,75,"7, 18, 21, 16, 62","12, 11, 21, 31, 75",7,18,21,16,62,12,11,21,31,75,12-5; 3-4 SAA,12-5; 5-2 SAA,01/21/18,Lose,97,No Location Recorded,1:00 PM,A,23,08:07,"SUB OUT by FEE,MIKAYLA",,,,,,,"SUB OUT by FEE,MIKAYLA",1,subbing out,,Centre,mikayla fee,,487
24,17,rhodes,Centre,Rhodes,62-75,62,75,"7, 18, 21, 16, 62","12, 11, 21, 31, 75",7,18,21,16,62,12,11,21,31,75,12-5; 3-4 SAA,12-5; 5-2 SAA,01/21/18,Lose,97,No Location Recorded,1:00 PM,A,24,07:38,"MISS JUMPER by SCHAD,OLIVIA",,,,,,,"MISS JUMPER by SCHAD,OLIVIA",1,jumper,missed,Centre,olivia schad,,458
25,17,rhodes,Centre,Rhodes,62-75,62,75,"7, 18, 21, 16, 62","12, 11, 21, 31, 75",7,18,21,16,62,12,11,21,31,75,12-5; 3-4 SAA,12-5; 5-2 SAA,01/21/18,Lose,97,No Location Recorded,1:00 PM,A,25,--,,,,,"REBOUND DEF by YOUNG,ALLIE",,,"REBOUND DEF by YOUNG,ALLIE",1,defensive rebound,,rhodes,allie young,,
26,17,rhodes,Centre,Rhodes,62-75,62,75,"7, 18, 21, 16, 62","12, 11, 21, 31, 75",7,18,21,16,62,12,11,21,31,75,12-5; 3-4 SAA,12-5; 5-2 SAA,01/21/18,Lose,97,No Location Recorded,1:00 PM,A,26,07:22,,,,,"MISS LAYUP by YOUNG,ALLIE",,,"MISS LAYUP by YOUNG,ALLIE",1,layup,missed,rhodes,allie young,,442
27,17,rhodes,Centre,Rhodes,62-75,62,75,"7, 18, 21, 16, 62","12, 11, 21, 31, 75",7,18,21,16,62,12,11,21,31,75,12-5; 3-4 SAA,12-5; 5-2 SAA,01/21/18,Lose,97,No Location Recorded,1:00 PM,A,27,--,"REBOUND DEF by SCHAD,OLIVIA",,,,,,,"REBOUND DEF by SCHAD,OLIVIA",1,defensive rebound,,Centre,olivia schad,,
28,17,rhodes,Centre,Rhodes,62-75,62,75,"7, 18, 21, 16, 62","12, 11, 21, 31, 75",7,18,21,16,62,12,11,21,31,75,12-5; 3-4 SAA,12-5; 5-2 SAA,01/21/18,Lose,97,No Location Recorded,1:00 PM,A,28,07:12,"TURNOVER  by SCHAD,OLIVIA",,,,,,,"TURNOVER  by SCHAD,OLIVIA",1,turnover,,Centre,olivia schad,,432
29,17,rhodes,Centre,Rhodes,62-75,62,75,"7, 18, 21, 16, 62","12, 11, 21, 31, 75",7,18,21,16,62,12,11,21,31,75,12-5; 3-4 SAA,12-5; 5-2 SAA,01/21/18,Lose,97,No Location Recorded,1:00 PM,A,29,07:11,,,,,"STEAL  by YOUNG,ALLIE",,,"STEAL  by YOUNG,ALLIE",1,steal,,rhodes,,,431
30,17,rhodes,Centre,Rhodes,62-75,62,75,"7, 18, 21, 16, 62","12, 11, 21, 31, 75",7,18,21,16,62,12,11,21,31,75,12-5; 3-4 SAA,12-5; 5-2 SAA,01/21/18,Lose,97,No Location Recorded,1:00 PM,A,30,06:53,,,,,"MISS 3PTR by USTICK,JESSIE",,,"MISS 3PTR by USTICK,JESSIE",1,three pointer,missed,rhodes,jessie ustick,,413
31,17,rhodes,Centre,Rhodes,62-75,62,75,"7, 18, 21, 16, 62","12, 11, 21, 31, 75",7,18,21,16,62,12,11,21,31,75,12-5; 3-4 SAA,12-5; 5-2 SAA,01/21/18,Lose,97,No Location Recorded,1:00 PM,A,31,--,,,,,"REBOUND OFF by WHITESIDE,LINDSEY",,,"REBOUND OFF by WHITESIDE,LINDSEY",1,offensive rebound,,rhodes,lindsey whiteside,,
32,17,rhodes,Centre,Rhodes,62-75,62,75,"7, 18, 21, 16, 62","12, 11, 21, 31, 75",7,18,21,16,62,12,11,21,31,75,12-5; 3-4 SAA,12-5; 5-2 SAA,01/21/18,Lose,97,No Location Recorded,1:00 PM,A,32,06:44,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1,turnover,,rhodes,,,404
