,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,BCW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
24,22,berry,Berry College,Centre,62-40,62,40,"13, 18, 15, 16, 62","5, 18, 6, 11, 40",13,18,15,16,62,5,18,6,11,40,14-8 (4-7 SAA),10-12 (5-7 SAA),02/09/18,Win,165,No Location Recorded,6:00 PM,H,24,07:52,,,,,"SUB OUT by KELLAM,PAIGE",,,"SUB OUT by KELLAM,PAIGE",1,subbing out,,Centre,paige kellam,,472
25,22,berry,Berry College,Centre,62-40,62,40,"13, 18, 15, 16, 62","5, 18, 6, 11, 40",13,18,15,16,62,5,18,6,11,40,14-8 (4-7 SAA),10-12 (5-7 SAA),02/09/18,Win,165,No Location Recorded,6:00 PM,H,25,07:47,"FOUL  by SMITH,NIA",,,,,,,"FOUL  by SMITH,NIA",1,foul,,berry college,nia smith,,467
26,22,berry,Berry College,Centre,62-40,62,40,"13, 18, 15, 16, 62","5, 18, 6, 11, 40",13,18,15,16,62,5,18,6,11,40,14-8 (4-7 SAA),10-12 (5-7 SAA),02/09/18,Win,165,No Location Recorded,6:00 PM,H,26,07:39,,2,,3 (+1),"GOOD 3PTR by WILSON,KATHLEEN",CENTRE-W 2-3 (+1),,"GOOD 3PTR by WILSON,KATHLEEN",1,three pointer,good,Centre,kathleen wilson,3,459
27,22,berry,Berry College,Centre,62-40,62,40,"13, 18, 15, 16, 62","5, 18, 6, 11, 40",13,18,15,16,62,5,18,6,11,40,14-8 (4-7 SAA),10-12 (5-7 SAA),02/09/18,Win,165,No Location Recorded,6:00 PM,H,27,--,,,,,"ASSIST  by BALLARD,AMI",,,"ASSIST  by BALLARD,AMI",1,assist,,Centre,ami ballard,,
28,22,berry,Berry College,Centre,62-40,62,40,"13, 18, 15, 16, 62","5, 18, 6, 11, 40",13,18,15,16,62,5,18,6,11,40,14-8 (4-7 SAA),10-12 (5-7 SAA),02/09/18,Win,165,No Location Recorded,6:00 PM,H,28,07:14,,,,,"FOUL  by STEWART,ABIGAIL",,,"FOUL  by STEWART,ABIGAIL",1,foul,,Centre,abigail stewart,,434
29,22,berry,Berry College,Centre,62-40,62,40,"13, 18, 15, 16, 62","5, 18, 6, 11, 40",13,18,15,16,62,5,18,6,11,40,14-8 (4-7 SAA),10-12 (5-7 SAA),02/09/18,Win,165,No Location Recorded,6:00 PM,H,29,07:14,"MISS FT by PARSONS,EVELINE",,,,,,,"MISS FT by PARSONS,EVELINE",1,free throw,missed,berry college,eveline parsons,,434
30,22,berry,Berry College,Centre,62-40,62,40,"13, 18, 15, 16, 62","5, 18, 6, 11, 40",13,18,15,16,62,5,18,6,11,40,14-8 (4-7 SAA),10-12 (5-7 SAA),02/09/18,Win,165,No Location Recorded,6:00 PM,H,30,--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1,deadball rebound,,Centre,,,
31,22,berry,Berry College,Centre,62-40,62,40,"13, 18, 15, 16, 62","5, 18, 6, 11, 40",13,18,15,16,62,5,18,6,11,40,14-8 (4-7 SAA),10-12 (5-7 SAA),02/09/18,Win,165,No Location Recorded,6:00 PM,H,31,07:14,"GOOD FT by PARSONS,EVELINE",3,,3,,BCW 3-3 (0),,"GOOD FT by PARSONS,EVELINE",1,free throw,good,berry college,eveline parsons,1,434
32,22,berry,Berry College,Centre,62-40,62,40,"13, 18, 15, 16, 62","5, 18, 6, 11, 40",13,18,15,16,62,5,18,6,11,40,14-8 (4-7 SAA),10-12 (5-7 SAA),02/09/18,Win,165,No Location Recorded,6:00 PM,H,32,07:14,,,,,"SUB IN by FEE,MIKAYLA",,,"SUB IN by FEE,MIKAYLA",1,subbing in,,Centre,mikayla fee,,434
33,22,berry,Berry College,Centre,62-40,62,40,"13, 18, 15, 16, 62","5, 18, 6, 11, 40",13,18,15,16,62,5,18,6,11,40,14-8 (4-7 SAA),10-12 (5-7 SAA),02/09/18,Win,165,No Location Recorded,6:00 PM,H,33,07:14,,,,,"SUB OUT by STEWART,ABIGAIL",,,"SUB OUT by STEWART,ABIGAIL",1,subbing out,,Centre,abigail stewart,,434
