,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CC,Away Team Score,Play Team Indicator,Home Team Score,OU,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
29,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,29,07:18,"MISS 3PTR by RICE,MADISON",,,,,,,"MISS 3PTR by RICE,MADISON",1,three pointer,missed,Centre,madison rice,,438
30,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,30,--,,,,,"REBOUND DEF by CHARLES,BAILEY",,,"REBOUND DEF by CHARLES,BAILEY",1,defensive rebound,,oglethorpe,bailey charles,,
31,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,31,07:06,"FOUL  by FEE,MIKAYLA",,,,,,,"FOUL  by FEE,MIKAYLA",1,foul,,Centre,mikayla fee,,426
32,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,32,07:06,"SUB IN by MILLER,LAKKEN",,,,,,,"SUB IN by MILLER,LAKKEN",1,subbing in,,Centre,lakken miller,,426
33,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,33,07:06,"SUB IN by HICKS,ELLEN",,,,,,,"SUB IN by HICKS,ELLEN",1,subbing in,,Centre,ellen hicks,,426
34,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,34,07:06,"SUB IN by BUNNER,CHEYENNE",,,,,,,"SUB IN by BUNNER,CHEYENNE",1,subbing in,,Centre,cheyenne bunner,,426
35,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,35,07:06,"SUB IN by MURRAY,KYLEE",,,,,,,"SUB IN by MURRAY,KYLEE",1,subbing in,,Centre,kylee murray,,426
36,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,36,07:06,"SUB IN by MORRIS,TAYLOR",,,,,,,"SUB IN by MORRIS,TAYLOR",1,subbing in,,Centre,taylor morris,,426
37,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,37,07:06,"SUB OUT by WEHBY,ABIGAIL",,,,,,,"SUB OUT by WEHBY,ABIGAIL",1,subbing out,,Centre,abigail wehby,,426
38,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,38,07:06,"SUB OUT by RICE,MADISON",,,,,,,"SUB OUT by RICE,MADISON",1,subbing out,,Centre,madison rice,,426
39,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,39,07:06,"SUB OUT by MARCUM,MADISON",,,,,,,"SUB OUT by MARCUM,MADISON",1,subbing out,,Centre,madison marcum,,426
40,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,40,07:06,"SUB OUT by FEE,MIKAYLA",,,,,,,"SUB OUT by FEE,MIKAYLA",1,subbing out,,Centre,mikayla fee,,426
41,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,41,07:06,"SUB OUT by WILSON,KATHLEEN",,,,,,,"SUB OUT by WILSON,KATHLEEN",1,subbing out,,Centre,kathleen wilson,,426
42,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,42,06:59,,,,,"MISS 3PTR by TRIPLETT,JADA",,,"MISS 3PTR by TRIPLETT,JADA",1,three pointer,missed,oglethorpe,jada triplett,,419
43,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,43,--,"REBOUND DEF by MURRAY,KYLEE",,,,,,,"REBOUND DEF by MURRAY,KYLEE",1,defensive rebound,,Centre,kylee murray,,
