,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,centreScorePeriod6,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,opponentScorePeriod6,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,HENDRIXW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
22,14,hendrix,Hendrix,Centre,58-60,58,60,"11, 11, 9, 17, 10, 58","13, 10, 14, 11, 12, 60",11,11,9,17,10,58,13,10,14,11,12,60,9-5 (2-1 SAA),9-5 (2-1 SAA),01/06/19,Lose,637,No Location Recorded,12:00 PM,H,22,06:31,"MISS LAYUP by DANIEL,VINESSA",,,,,,,"MISS LAYUP by DANIEL,VINESSA",1,layup,missed,hendrix,vinessa daniel,,391
23,14,hendrix,Hendrix,Centre,58-60,58,60,"11, 11, 9, 17, 10, 58","13, 10, 14, 11, 12, 60",11,11,9,17,10,58,13,10,14,11,12,60,9-5 (2-1 SAA),9-5 (2-1 SAA),01/06/19,Lose,637,No Location Recorded,12:00 PM,H,23,--,,,,,"REBOUND DEF by MILLER,LAKKEN",,,"REBOUND DEF by MILLER,LAKKEN",1,defensive rebound,,Centre,lakken miller,,
24,14,hendrix,Hendrix,Centre,58-60,58,60,"11, 11, 9, 17, 10, 58","13, 10, 14, 11, 12, 60",11,11,9,17,10,58,13,10,14,11,12,60,9-5 (2-1 SAA),9-5 (2-1 SAA),01/06/19,Lose,637,No Location Recorded,12:00 PM,H,24,06:13,"FOUL  by PRUITT,SERENA",,,,,,,"FOUL  by PRUITT,SERENA",1,foul,,hendrix,serena pruitt,,373
25,14,hendrix,Hendrix,Centre,58-60,58,60,"11, 11, 9, 17, 10, 58","13, 10, 14, 11, 12, 60",11,11,9,17,10,58,13,10,14,11,12,60,9-5 (2-1 SAA),9-5 (2-1 SAA),01/06/19,Lose,637,No Location Recorded,12:00 PM,H,25,06:13,"SUB IN by MOODY,MACY",,,,,,,"SUB IN by MOODY,MACY",1,subbing in,,hendrix,macy moody,,373
26,14,hendrix,Hendrix,Centre,58-60,58,60,"11, 11, 9, 17, 10, 58","13, 10, 14, 11, 12, 60",11,11,9,17,10,58,13,10,14,11,12,60,9-5 (2-1 SAA),9-5 (2-1 SAA),01/06/19,Lose,637,No Location Recorded,12:00 PM,H,26,06:13,"SUB IN by KING,JAYLA",,,,,,,"SUB IN by KING,JAYLA",1,subbing in,,hendrix,jayla king,,373
27,14,hendrix,Hendrix,Centre,58-60,58,60,"11, 11, 9, 17, 10, 58","13, 10, 14, 11, 12, 60",11,11,9,17,10,58,13,10,14,11,12,60,9-5 (2-1 SAA),9-5 (2-1 SAA),01/06/19,Lose,637,No Location Recorded,12:00 PM,H,27,06:13,"SUB OUT by PRUITT,SERENA",,,,,,,"SUB OUT by PRUITT,SERENA",1,subbing out,,hendrix,serena pruitt,,373
28,14,hendrix,Hendrix,Centre,58-60,58,60,"11, 11, 9, 17, 10, 58","13, 10, 14, 11, 12, 60",11,11,9,17,10,58,13,10,14,11,12,60,9-5 (2-1 SAA),9-5 (2-1 SAA),01/06/19,Lose,637,No Location Recorded,12:00 PM,H,28,06:13,"SUB OUT by DANIEL,VINESSA",,,,,,,"SUB OUT by DANIEL,VINESSA",1,subbing out,,hendrix,vinessa daniel,,373
29,14,hendrix,Hendrix,Centre,58-60,58,60,"11, 11, 9, 17, 10, 58","13, 10, 14, 11, 12, 60",11,11,9,17,10,58,13,10,14,11,12,60,9-5 (2-1 SAA),9-5 (2-1 SAA),01/06/19,Lose,637,No Location Recorded,12:00 PM,H,29,06:13,,,,,"SUB IN by BUNNER,CHEYENNE",,,"SUB IN by BUNNER,CHEYENNE",1,subbing in,,Centre,cheyenne bunner,,373
30,14,hendrix,Hendrix,Centre,58-60,58,60,"11, 11, 9, 17, 10, 58","13, 10, 14, 11, 12, 60",11,11,9,17,10,58,13,10,14,11,12,60,9-5 (2-1 SAA),9-5 (2-1 SAA),01/06/19,Lose,637,No Location Recorded,12:00 PM,H,30,06:13,,,,,"SUB IN by FEE,MIKAYLA",,,"SUB IN by FEE,MIKAYLA",1,subbing in,,Centre,mikayla fee,,373
31,14,hendrix,Hendrix,Centre,58-60,58,60,"11, 11, 9, 17, 10, 58","13, 10, 14, 11, 12, 60",11,11,9,17,10,58,13,10,14,11,12,60,9-5 (2-1 SAA),9-5 (2-1 SAA),01/06/19,Lose,637,No Location Recorded,12:00 PM,H,31,06:13,,,,,"SUB IN by WEHBY,ABIGAIL",,,"SUB IN by WEHBY,ABIGAIL",1,subbing in,,Centre,abigail wehby,,373
