,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,OU-W,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
34,23,oglethorpe,Oglethorpe,Centre,43-53,43,53,"7, 10, 14, 12, 43","12, 11, 14, 16, 53",7,10,14,12,43,12,11,14,16,53,12-11 (5-7 SAA),18-5 (9-3 SAA),02/08/19,Lose,679,No Location Recorded,6:00 PM,H,34,05:45,,,,,"SUB OUT by MARCUM,MADISON",,,"SUB OUT by MARCUM,MADISON",1,subbing out,,Centre,madison marcum,,345
35,23,oglethorpe,Oglethorpe,Centre,43-53,43,53,"7, 10, 14, 12, 43","12, 11, 14, 16, 53",7,10,14,12,43,12,11,14,16,53,12-11 (5-7 SAA),18-5 (9-3 SAA),02/08/19,Lose,679,No Location Recorded,6:00 PM,H,35,05:45,,,,,"SUB OUT by WEHBY,ABIGAIL",,,"SUB OUT by WEHBY,ABIGAIL",1,subbing out,,Centre,abigail wehby,,345
36,23,oglethorpe,Oglethorpe,Centre,43-53,43,53,"7, 10, 14, 12, 43","12, 11, 14, 16, 53",7,10,14,12,43,12,11,14,16,53,12-11 (5-7 SAA),18-5 (9-3 SAA),02/08/19,Lose,679,No Location Recorded,6:00 PM,H,36,05:44,,,,,"TURNOVER  by FEE,MIKAYLA",,,"TURNOVER  by FEE,MIKAYLA",1,turnover,,Centre,mikayla fee,,344
37,23,oglethorpe,Oglethorpe,Centre,43-53,43,53,"7, 10, 14, 12, 43","12, 11, 14, 16, 53",7,10,14,12,43,12,11,14,16,53,12-11 (5-7 SAA),18-5 (9-3 SAA),02/08/19,Lose,679,No Location Recorded,6:00 PM,H,37,05:39,"TURNOVER  by LONG,SYDNEY",,,,,,,"TURNOVER  by LONG,SYDNEY",1,turnover,,oglethorpe,sydney long,,339
38,23,oglethorpe,Oglethorpe,Centre,43-53,43,53,"7, 10, 14, 12, 43","12, 11, 14, 16, 53",7,10,14,12,43,12,11,14,16,53,12-11 (5-7 SAA),18-5 (9-3 SAA),02/08/19,Lose,679,No Location Recorded,6:00 PM,H,38,05:31,,,,,"TURNOVER  by CHIRICO,PRESLEY",,,"TURNOVER  by CHIRICO,PRESLEY",1,turnover,,Centre,presley chirico,,331
39,23,oglethorpe,Oglethorpe,Centre,43-53,43,53,"7, 10, 14, 12, 43","12, 11, 14, 16, 53",7,10,14,12,43,12,11,14,16,53,12-11 (5-7 SAA),18-5 (9-3 SAA),02/08/19,Lose,679,No Location Recorded,6:00 PM,H,39,05:29,"STEAL  by LONG,SYDNEY",,,,,,,"STEAL  by LONG,SYDNEY",1,steal,,oglethorpe,,,329
40,23,oglethorpe,Oglethorpe,Centre,43-53,43,53,"7, 10, 14, 12, 43","12, 11, 14, 16, 53",7,10,14,12,43,12,11,14,16,53,12-11 (5-7 SAA),18-5 (9-3 SAA),02/08/19,Lose,679,No Location Recorded,6:00 PM,H,40,05:26,"GOOD LAYUP by GRINDLE,MORGAN(fastbreak)(in the paint)",4 (+2),,2,,OU-W 4-2 (-2),,"GOOD LAYUP by GRINDLE,MORGAN(fastbreak)(in the paint)",1,layup,good,oglethorpe,morgan(fastbreak) grindle,2,326
41,23,oglethorpe,Oglethorpe,Centre,43-53,43,53,"7, 10, 14, 12, 43","12, 11, 14, 16, 53",7,10,14,12,43,12,11,14,16,53,12-11 (5-7 SAA),18-5 (9-3 SAA),02/08/19,Lose,679,No Location Recorded,6:00 PM,H,41,05:12,,,,,"TURNOVER  by CHIRICO,PRESLEY",,,"TURNOVER  by CHIRICO,PRESLEY",1,turnover,,Centre,presley chirico,,312
42,23,oglethorpe,Oglethorpe,Centre,43-53,43,53,"7, 10, 14, 12, 43","12, 11, 14, 16, 53",7,10,14,12,43,12,11,14,16,53,12-11 (5-7 SAA),18-5 (9-3 SAA),02/08/19,Lose,679,No Location Recorded,6:00 PM,H,42,05:12,,,,,"SUB IN by MURRAY,KYLEE",,,"SUB IN by MURRAY,KYLEE",1,subbing in,,Centre,kylee murray,,312
43,23,oglethorpe,Oglethorpe,Centre,43-53,43,53,"7, 10, 14, 12, 43","12, 11, 14, 16, 53",7,10,14,12,43,12,11,14,16,53,12-11 (5-7 SAA),18-5 (9-3 SAA),02/08/19,Lose,679,No Location Recorded,6:00 PM,H,43,05:12,,,,,"SUB OUT by CHIRICO,PRESLEY",,,"SUB OUT by CHIRICO,PRESLEY",1,subbing out,,Centre,presley chirico,,312
44,23,oglethorpe,Oglethorpe,Centre,43-53,43,53,"7, 10, 14, 12, 43","12, 11, 14, 16, 53",7,10,14,12,43,12,11,14,16,53,12-11 (5-7 SAA),18-5 (9-3 SAA),02/08/19,Lose,679,No Location Recorded,6:00 PM,H,44,04:51,"GOOD LAYUP by REED,NIKKI(in the paint)",6 (+4),,2,,OU-W 6-2 (-4),,"GOOD LAYUP by REED,NIKKI(in the paint)",1,layup,good,oglethorpe,nikki reed,2,291
45,23,oglethorpe,Oglethorpe,Centre,43-53,43,53,"7, 10, 14, 12, 43","12, 11, 14, 16, 53",7,10,14,12,43,12,11,14,16,53,12-11 (5-7 SAA),18-5 (9-3 SAA),02/08/19,Lose,679,No Location Recorded,6:00 PM,H,45,04:40,"FOUL  by REED,NIKKI",,,,,,,"FOUL  by REED,NIKKI",1,foul,,oglethorpe,nikki reed,,280
46,23,oglethorpe,Oglethorpe,Centre,43-53,43,53,"7, 10, 14, 12, 43","12, 11, 14, 16, 53",7,10,14,12,43,12,11,14,16,53,12-11 (5-7 SAA),18-5 (9-3 SAA),02/08/19,Lose,679,No Location Recorded,6:00 PM,H,46,04:40,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1,timeout,,Centre,,,280
47,23,oglethorpe,Oglethorpe,Centre,43-53,43,53,"7, 10, 14, 12, 43","12, 11, 14, 16, 53",7,10,14,12,43,12,11,14,16,53,12-11 (5-7 SAA),18-5 (9-3 SAA),02/08/19,Lose,679,No Location Recorded,6:00 PM,H,47,04:40,,,,,"SUB IN by WILSON,KATHLEEN",,,"SUB IN by WILSON,KATHLEEN",1,subbing in,,Centre,kathleen wilson,,280
48,23,oglethorpe,Oglethorpe,Centre,43-53,43,53,"7, 10, 14, 12, 43","12, 11, 14, 16, 53",7,10,14,12,43,12,11,14,16,53,12-11 (5-7 SAA),18-5 (9-3 SAA),02/08/19,Lose,679,No Location Recorded,6:00 PM,H,48,04:40,,,,,"SUB OUT by HICKS,ELLEN",,,"SUB OUT by HICKS,ELLEN",1,subbing out,,Centre,ellen hicks,,280
49,23,oglethorpe,Oglethorpe,Centre,43-53,43,53,"7, 10, 14, 12, 43","12, 11, 14, 16, 53",7,10,14,12,43,12,11,14,16,53,12-11 (5-7 SAA),18-5 (9-3 SAA),02/08/19,Lose,679,No Location Recorded,6:00 PM,H,49,04:32,,,,,"MISS JUMPER by WILSON,KATHLEEN",,,"MISS JUMPER by WILSON,KATHLEEN",1,jumper,missed,Centre,kathleen wilson,,272
