,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,BERRY,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
34,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,34,06:11,"SUB OUT by RICE,MADISON",,,,,,,"SUB OUT by RICE,MADISON",1,subbing out,,Centre,madison rice,,371
35,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,35,06:11,"SUB OUT by WEHBY,ABIGAIL",,,,,,,"SUB OUT by WEHBY,ABIGAIL",1,subbing out,,Centre,abigail wehby,,371
36,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,36,05:59,"TURNOVER  by CHIRICO,PRESLEY",,,,,,,"TURNOVER  by CHIRICO,PRESLEY",1,turnover,,Centre,presley chirico,,359
37,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,37,05:45,,0,,4 (+4),"GOOD LAYUP by WALTERS,MARY(in the paint)",BERRY 0-4 (-4),,"GOOD LAYUP by WALTERS,MARY(in the paint)",1,layup,good,berry,mary walters,2,345
38,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,38,--,,,,,"ASSIST  by CEREZOLA,CHRISTINE",,,"ASSIST  by CEREZOLA,CHRISTINE",1,assist,,berry,christine cerezola,,
39,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,39,05:45,"FOUL  by CHIRICO,PRESLEY",,,,,,,"FOUL  by CHIRICO,PRESLEY",1,foul,,Centre,presley chirico,,345
40,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,40,05:45,,0,,5 (+5),"GOOD FT by WALTERS,MARY",BERRY 0-5 (-5),,"GOOD FT by WALTERS,MARY",1,free throw,good,berry,mary walters,1,345
41,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,41,05:21,,,,,"FOUL  by WALTERS,MARY",,,"FOUL  by WALTERS,MARY",1,foul,,berry,mary walters,,321
42,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,42,05:19,"MISS JUMPER by FEE,MIKAYLA",,,,,,,"MISS JUMPER by FEE,MIKAYLA",1,jumper,missed,Centre,mikayla fee,,319
43,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,43,--,"REBOUND OFF by BUNNER,CHEYENNE",,,,,,,"REBOUND OFF by BUNNER,CHEYENNE",1,offensive rebound,,Centre,cheyenne bunner,,
44,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,44,05:15,"MISS JUMPER by BUNNER,CHEYENNE",,,,,,,"MISS JUMPER by BUNNER,CHEYENNE",1,jumper,missed,Centre,cheyenne bunner,,315
45,26,berry,Centre,Berry,57-44,57,44,"4, 17, 14, 22, 57","7, 19, 10, 8, 44",4,17,14,22,57,7,19,10,8,44,13-13,13-13,02/22/19,Win,63,No Location Recorded,8:00 PM,N,45,--,,,,,"REBOUND DEF by SMITH,MCKENZIE",,,"REBOUND DEF by SMITH,MCKENZIE",1,defensive rebound,,berry,mckenzie smith,,
