,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
24,18,birmingham-southern,Centre,Birmingham-So.,43-56,43,56,"9, 10, 13, 11, 43","15, 11, 17, 13, 56",9,10,13,11,43,15,11,17,13,56,9-9,8-10,01/20/19,Lose,147,No Location Recorded,1:00 PM,A,24,06:03,"SUB OUT by WILSON,KATHLEEN",,,,,,,"SUB OUT by WILSON,KATHLEEN",1,subbing out,,Centre,kathleen wilson,,363
25,18,birmingham-southern,Centre,Birmingham-So.,43-56,43,56,"9, 10, 13, 11, 43","15, 11, 17, 13, 56",9,10,13,11,43,15,11,17,13,56,9-9,8-10,01/20/19,Lose,147,No Location Recorded,1:00 PM,A,25,06:03,"SUB OUT by STEWART,ABIGAIL",,,,,,,"SUB OUT by STEWART,ABIGAIL",1,subbing out,,Centre,abigail stewart,,363
26,18,birmingham-southern,Centre,Birmingham-So.,43-56,43,56,"9, 10, 13, 11, 43","15, 11, 17, 13, 56",9,10,13,11,43,15,11,17,13,56,9-9,8-10,01/20/19,Lose,147,No Location Recorded,1:00 PM,A,26,06:03,"SUB OUT by MARCUM,MADISON",,,,,,,"SUB OUT by MARCUM,MADISON",1,subbing out,,Centre,madison marcum,,363
27,18,birmingham-southern,Centre,Birmingham-So.,43-56,43,56,"9, 10, 13, 11, 43","15, 11, 17, 13, 56",9,10,13,11,43,15,11,17,13,56,9-9,8-10,01/20/19,Lose,147,No Location Recorded,1:00 PM,A,27,06:03,"SUB OUT by RICE,MADISON",,,,,,,"SUB OUT by RICE,MADISON",1,subbing out,,Centre,madison rice,,363
28,18,birmingham-southern,Centre,Birmingham-So.,43-56,43,56,"9, 10, 13, 11, 43","15, 11, 17, 13, 56",9,10,13,11,43,15,11,17,13,56,9-9,8-10,01/20/19,Lose,147,No Location Recorded,1:00 PM,A,28,06:03,"SUB OUT by WEHBY,ABIGAIL",,,,,,,"SUB OUT by WEHBY,ABIGAIL",1,subbing out,,Centre,abigail wehby,,363
29,18,birmingham-southern,Centre,Birmingham-So.,43-56,43,56,"9, 10, 13, 11, 43","15, 11, 17, 13, 56",9,10,13,11,43,15,11,17,13,56,9-9,8-10,01/20/19,Lose,147,No Location Recorded,1:00 PM,A,29,05:56,"FOUL  by FEE,MIKAYLA",,,,,,,"FOUL  by FEE,MIKAYLA",1,foul,,Centre,mikayla fee,,356
30,18,birmingham-southern,Centre,Birmingham-So.,43-56,43,56,"9, 10, 13, 11, 43","15, 11, 17, 13, 56",9,10,13,11,43,15,11,17,13,56,9-9,8-10,01/20/19,Lose,147,No Location Recorded,1:00 PM,A,30,05:56,,,,,"MISS FT by OLSEN,EMILEE",,,"MISS FT by OLSEN,EMILEE",1,free throw,missed,birmingham-so.,emilee olsen,,356
31,18,birmingham-southern,Centre,Birmingham-So.,43-56,43,56,"9, 10, 13, 11, 43","15, 11, 17, 13, 56",9,10,13,11,43,15,11,17,13,56,9-9,8-10,01/20/19,Lose,147,No Location Recorded,1:00 PM,A,31,--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1,deadball rebound,,birmingham-so.,,,
32,18,birmingham-southern,Centre,Birmingham-So.,43-56,43,56,"9, 10, 13, 11, 43","15, 11, 17, 13, 56",9,10,13,11,43,15,11,17,13,56,9-9,8-10,01/20/19,Lose,147,No Location Recorded,1:00 PM,A,32,05:56,,2,,7 (+5),"GOOD FT by OLSEN,EMILEE(fastbreak)",BSC 2-7 (-5),,"GOOD FT by OLSEN,EMILEE(fastbreak)",1,free throw,good,birmingham-so.,emilee(fastbreak) olsen,1,356
33,18,birmingham-southern,Centre,Birmingham-So.,43-56,43,56,"9, 10, 13, 11, 43","15, 11, 17, 13, 56",9,10,13,11,43,15,11,17,13,56,9-9,8-10,01/20/19,Lose,147,No Location Recorded,1:00 PM,A,33,05:42,"GOOD JUMPER by FEE,MIKAYLA",4,,7 (+3),,CENTRE-W 4-7 (-3),,"GOOD JUMPER by FEE,MIKAYLA",1,jumper,good,Centre,mikayla fee,2,342
34,18,birmingham-southern,Centre,Birmingham-So.,43-56,43,56,"9, 10, 13, 11, 43","15, 11, 17, 13, 56",9,10,13,11,43,15,11,17,13,56,9-9,8-10,01/20/19,Lose,147,No Location Recorded,1:00 PM,A,34,--,"ASSIST  by BUNNER,CHEYENNE",,,,,,,"ASSIST  by BUNNER,CHEYENNE",1,assist,,Centre,cheyenne bunner,,
35,18,birmingham-southern,Centre,Birmingham-So.,43-56,43,56,"9, 10, 13, 11, 43","15, 11, 17, 13, 56",9,10,13,11,43,15,11,17,13,56,9-9,8-10,01/20/19,Lose,147,No Location Recorded,1:00 PM,A,35,05:27,,4,,9 (+5),"GOOD JUMPER by OLSEN,EMILEE(in the paint)",BSC 4-9 (-5),,"GOOD JUMPER by OLSEN,EMILEE(in the paint)",1,jumper,good,birmingham-so.,emilee olsen,2,327
36,18,birmingham-southern,Centre,Birmingham-So.,43-56,43,56,"9, 10, 13, 11, 43","15, 11, 17, 13, 56",9,10,13,11,43,15,11,17,13,56,9-9,8-10,01/20/19,Lose,147,No Location Recorded,1:00 PM,A,36,--,,,,,"ASSIST  by MCGOWAN,CHRISTIAN",,,"ASSIST  by MCGOWAN,CHRISTIAN",1,assist,,birmingham-so.,christian mcgowan,,
37,18,birmingham-southern,Centre,Birmingham-So.,43-56,43,56,"9, 10, 13, 11, 43","15, 11, 17, 13, 56",9,10,13,11,43,15,11,17,13,56,9-9,8-10,01/20/19,Lose,147,No Location Recorded,1:00 PM,A,37,05:02,"MISS JUMPER by BUNNER,CHEYENNE",,,,,,,"MISS JUMPER by BUNNER,CHEYENNE",1,jumper,missed,Centre,cheyenne bunner,,302
38,18,birmingham-southern,Centre,Birmingham-So.,43-56,43,56,"9, 10, 13, 11, 43","15, 11, 17, 13, 56",9,10,13,11,43,15,11,17,13,56,9-9,8-10,01/20/19,Lose,147,No Location Recorded,1:00 PM,A,38,--,,,,,"REBOUND DEF by OLSEN,EMILEE",,,"REBOUND DEF by OLSEN,EMILEE",1,defensive rebound,,birmingham-so.,emilee olsen,,
39,18,birmingham-southern,Centre,Birmingham-So.,43-56,43,56,"9, 10, 13, 11, 43","15, 11, 17, 13, 56",9,10,13,11,43,15,11,17,13,56,9-9,8-10,01/20/19,Lose,147,No Location Recorded,1:00 PM,A,39,04:39,"FOUL  by FEE,MIKAYLA",,,,,,,"FOUL  by FEE,MIKAYLA",1,foul,,Centre,mikayla fee,,279
40,18,birmingham-southern,Centre,Birmingham-So.,43-56,43,56,"9, 10, 13, 11, 43","15, 11, 17, 13, 56",9,10,13,11,43,15,11,17,13,56,9-9,8-10,01/20/19,Lose,147,No Location Recorded,1:00 PM,A,40,04:33,,4,,11 (+7),"GOOD JUMPER by OLSEN,EMILEE",BSC 4-11 (-7),,"GOOD JUMPER by OLSEN,EMILEE",1,jumper,good,birmingham-so.,emilee olsen,2,273
41,18,birmingham-southern,Centre,Birmingham-So.,43-56,43,56,"9, 10, 13, 11, 43","15, 11, 17, 13, 56",9,10,13,11,43,15,11,17,13,56,9-9,8-10,01/20/19,Lose,147,No Location Recorded,1:00 PM,A,41,04:02,"SUB IN by MARCUM,MADISON",,,,,,,"SUB IN by MARCUM,MADISON",1,subbing in,,Centre,madison marcum,,242
42,18,birmingham-southern,Centre,Birmingham-So.,43-56,43,56,"9, 10, 13, 11, 43","15, 11, 17, 13, 56",9,10,13,11,43,15,11,17,13,56,9-9,8-10,01/20/19,Lose,147,No Location Recorded,1:00 PM,A,42,04:02,"SUB IN by WEHBY,ABIGAIL",,,,,,,"SUB IN by WEHBY,ABIGAIL",1,subbing in,,Centre,abigail wehby,,242
43,18,birmingham-southern,Centre,Birmingham-So.,43-56,43,56,"9, 10, 13, 11, 43","15, 11, 17, 13, 56",9,10,13,11,43,15,11,17,13,56,9-9,8-10,01/20/19,Lose,147,No Location Recorded,1:00 PM,A,43,04:02,"SUB IN by WILSON,KATHLEEN",,,,,,,"SUB IN by WILSON,KATHLEEN",1,subbing in,,Centre,kathleen wilson,,242
44,18,birmingham-southern,Centre,Birmingham-So.,43-56,43,56,"9, 10, 13, 11, 43","15, 11, 17, 13, 56",9,10,13,11,43,15,11,17,13,56,9-9,8-10,01/20/19,Lose,147,No Location Recorded,1:00 PM,A,44,04:02,"SUB IN by RICE,MADISON",,,,,,,"SUB IN by RICE,MADISON",1,subbing in,,Centre,madison rice,,242
45,18,birmingham-southern,Centre,Birmingham-So.,43-56,43,56,"9, 10, 13, 11, 43","15, 11, 17, 13, 56",9,10,13,11,43,15,11,17,13,56,9-9,8-10,01/20/19,Lose,147,No Location Recorded,1:00 PM,A,45,04:02,"SUB IN by STEWART,ABIGAIL",,,,,,,"SUB IN by STEWART,ABIGAIL",1,subbing in,,Centre,abigail stewart,,242
46,18,birmingham-southern,Centre,Birmingham-So.,43-56,43,56,"9, 10, 13, 11, 43","15, 11, 17, 13, 56",9,10,13,11,43,15,11,17,13,56,9-9,8-10,01/20/19,Lose,147,No Location Recorded,1:00 PM,A,46,04:02,"SUB OUT by MILLER,LAKKEN",,,,,,,"SUB OUT by MILLER,LAKKEN",1,subbing out,,Centre,lakken miller,,242
47,18,birmingham-southern,Centre,Birmingham-So.,43-56,43,56,"9, 10, 13, 11, 43","15, 11, 17, 13, 56",9,10,13,11,43,15,11,17,13,56,9-9,8-10,01/20/19,Lose,147,No Location Recorded,1:00 PM,A,47,04:02,"SUB OUT by MURRAY,KYLEE",,,,,,,"SUB OUT by MURRAY,KYLEE",1,subbing out,,Centre,kylee murray,,242
48,18,birmingham-southern,Centre,Birmingham-So.,43-56,43,56,"9, 10, 13, 11, 43","15, 11, 17, 13, 56",9,10,13,11,43,15,11,17,13,56,9-9,8-10,01/20/19,Lose,147,No Location Recorded,1:00 PM,A,48,04:02,"SUB OUT by MORRIS,TAYLOR",,,,,,,"SUB OUT by MORRIS,TAYLOR",1,subbing out,,Centre,taylor morris,,242
49,18,birmingham-southern,Centre,Birmingham-So.,43-56,43,56,"9, 10, 13, 11, 43","15, 11, 17, 13, 56",9,10,13,11,43,15,11,17,13,56,9-9,8-10,01/20/19,Lose,147,No Location Recorded,1:00 PM,A,49,04:02,"SUB OUT by BUNNER,CHEYENNE",,,,,,,"SUB OUT by BUNNER,CHEYENNE",1,subbing out,,Centre,cheyenne bunner,,242
50,18,birmingham-southern,Centre,Birmingham-So.,43-56,43,56,"9, 10, 13, 11, 43","15, 11, 17, 13, 56",9,10,13,11,43,15,11,17,13,56,9-9,8-10,01/20/19,Lose,147,No Location Recorded,1:00 PM,A,50,04:02,"SUB OUT by FEE,MIKAYLA",,,,,,,"SUB OUT by FEE,MIKAYLA",1,subbing out,,Centre,mikayla fee,,242
51,18,birmingham-southern,Centre,Birmingham-So.,43-56,43,56,"9, 10, 13, 11, 43","15, 11, 17, 13, 56",9,10,13,11,43,15,11,17,13,56,9-9,8-10,01/20/19,Lose,147,No Location Recorded,1:00 PM,A,51,03:57,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1,turnover,,Centre,,,237
52,18,birmingham-southern,Centre,Birmingham-So.,43-56,43,56,"9, 10, 13, 11, 43","15, 11, 17, 13, 56",9,10,13,11,43,15,11,17,13,56,9-9,8-10,01/20/19,Lose,147,No Location Recorded,1:00 PM,A,52,03:37,,,,,"MISS 3PTR by FUJII,MISA",,,"MISS 3PTR by FUJII,MISA",1,three pointer,missed,birmingham-so.,misa fujii,,217
53,18,birmingham-southern,Centre,Birmingham-So.,43-56,43,56,"9, 10, 13, 11, 43","15, 11, 17, 13, 56",9,10,13,11,43,15,11,17,13,56,9-9,8-10,01/20/19,Lose,147,No Location Recorded,1:00 PM,A,53,--,"REBOUND DEF by WEHBY,ABIGAIL",,,,,,,"REBOUND DEF by WEHBY,ABIGAIL",1,defensive rebound,,Centre,abigail wehby,,
