,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,AUW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
25,9,averett,Centre,Averett,64-66,64,66,"16, 10, 17, 21, 64","16, 18, 18, 14, 66",16,10,17,21,64,16,18,18,14,66,(7-1),(4-4),12/17/18,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,N,25,07:17,,4 (+3),,1,"GOOD FT by LUNSFORD,CAMRYN",AUW 4-1 (+3),,"GOOD FT by LUNSFORD,CAMRYN",1,free throw,good,averett,camryn lunsford,1,437
26,9,averett,Centre,Averett,64-66,64,66,"16, 10, 17, 21, 64","16, 18, 18, 14, 66",16,10,17,21,64,16,18,18,14,66,(7-1),(4-4),12/17/18,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,N,26,07:17,"SUB IN by CHIRICO,PRESLEY",,,,,,,"SUB IN by CHIRICO,PRESLEY",1,subbing in,,Centre,presley chirico,,437
27,9,averett,Centre,Averett,64-66,64,66,"16, 10, 17, 21, 64","16, 18, 18, 14, 66",16,10,17,21,64,16,18,18,14,66,(7-1),(4-4),12/17/18,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,N,27,07:17,"SUB OUT by WILSON,KATHLEEN",,,,,,,"SUB OUT by WILSON,KATHLEEN",1,subbing out,,Centre,kathleen wilson,,437
28,9,averett,Centre,Averett,64-66,64,66,"16, 10, 17, 21, 64","16, 18, 18, 14, 66",16,10,17,21,64,16,18,18,14,66,(7-1),(4-4),12/17/18,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,N,28,07:17,,,,,"SUB IN by WEITERS,GENESIS",,,"SUB IN by WEITERS,GENESIS",1,subbing in,,averett,genesis weiters,,437
29,9,averett,Centre,Averett,64-66,64,66,"16, 10, 17, 21, 64","16, 18, 18, 14, 66",16,10,17,21,64,16,18,18,14,66,(7-1),(4-4),12/17/18,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,N,29,07:17,,,,,"SUB OUT by JOHNSON,RAVYN",,,"SUB OUT by JOHNSON,RAVYN",1,subbing out,,averett,ravyn johnson,,437
30,9,averett,Centre,Averett,64-66,64,66,"16, 10, 17, 21, 64","16, 18, 18, 14, 66",16,10,17,21,64,16,18,18,14,66,(7-1),(4-4),12/17/18,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,N,30,06:53,"MISS 3PTR by MARCUM,MADISON",,,,,,,"MISS 3PTR by MARCUM,MADISON",1,three pointer,missed,Centre,madison marcum,,413
31,9,averett,Centre,Averett,64-66,64,66,"16, 10, 17, 21, 64","16, 18, 18, 14, 66",16,10,17,21,64,16,18,18,14,66,(7-1),(4-4),12/17/18,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,N,31,--,,,,,"REBOUND DEF by SMITH,KIARA",,,"REBOUND DEF by SMITH,KIARA",1,defensive rebound,,averett,kiara smith,,
32,9,averett,Centre,Averett,64-66,64,66,"16, 10, 17, 21, 64","16, 18, 18, 14, 66",16,10,17,21,64,16,18,18,14,66,(7-1),(4-4),12/17/18,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,N,32,06:46,,,,,"TURNOVER  by LUNSFORD,CAMRYN",,,"TURNOVER  by LUNSFORD,CAMRYN",1,turnover,,averett,camryn lunsford,,406
33,9,averett,Centre,Averett,64-66,64,66,"16, 10, 17, 21, 64","16, 18, 18, 14, 66",16,10,17,21,64,16,18,18,14,66,(7-1),(4-4),12/17/18,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,N,33,06:46,"SUB IN by MORRIS,TAYLOR",,,,,,,"SUB IN by MORRIS,TAYLOR",1,subbing in,,Centre,taylor morris,,406
34,9,averett,Centre,Averett,64-66,64,66,"16, 10, 17, 21, 64","16, 18, 18, 14, 66",16,10,17,21,64,16,18,18,14,66,(7-1),(4-4),12/17/18,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,N,34,06:46,"SUB IN by FEE,MIKAYLA",,,,,,,"SUB IN by FEE,MIKAYLA",1,subbing in,,Centre,mikayla fee,,406
35,9,averett,Centre,Averett,64-66,64,66,"16, 10, 17, 21, 64","16, 18, 18, 14, 66",16,10,17,21,64,16,18,18,14,66,(7-1),(4-4),12/17/18,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,N,35,06:46,"SUB IN by MILLER,LAKKEN",,,,,,,"SUB IN by MILLER,LAKKEN",1,subbing in,,Centre,lakken miller,,406
36,9,averett,Centre,Averett,64-66,64,66,"16, 10, 17, 21, 64","16, 18, 18, 14, 66",16,10,17,21,64,16,18,18,14,66,(7-1),(4-4),12/17/18,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,N,36,06:46,"SUB OUT by STEWART,ABIGAIL",,,,,,,"SUB OUT by STEWART,ABIGAIL",1,subbing out,,Centre,abigail stewart,,406
37,9,averett,Centre,Averett,64-66,64,66,"16, 10, 17, 21, 64","16, 18, 18, 14, 66",16,10,17,21,64,16,18,18,14,66,(7-1),(4-4),12/17/18,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,N,37,06:46,"SUB OUT by MARCUM,MADISON",,,,,,,"SUB OUT by MARCUM,MADISON",1,subbing out,,Centre,madison marcum,,406
38,9,averett,Centre,Averett,64-66,64,66,"16, 10, 17, 21, 64","16, 18, 18, 14, 66",16,10,17,21,64,16,18,18,14,66,(7-1),(4-4),12/17/18,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,N,38,06:46,"SUB OUT by WEHBY,ABIGAIL",,,,,,,"SUB OUT by WEHBY,ABIGAIL",1,subbing out,,Centre,abigail wehby,,406
39,9,averett,Centre,Averett,64-66,64,66,"16, 10, 17, 21, 64","16, 18, 18, 14, 66",16,10,17,21,64,16,18,18,14,66,(7-1),(4-4),12/17/18,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,N,39,06:46,,,,,"SUB IN by CARTHON,BROOKE",,,"SUB IN by CARTHON,BROOKE",1,subbing in,,averett,brooke carthon,,406
40,9,averett,Centre,Averett,64-66,64,66,"16, 10, 17, 21, 64","16, 18, 18, 14, 66",16,10,17,21,64,16,18,18,14,66,(7-1),(4-4),12/17/18,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,N,40,06:46,,,,,"SUB OUT by LUNSFORD,CAMRYN",,,"SUB OUT by LUNSFORD,CAMRYN",1,subbing out,,averett,camryn lunsford,,406
41,9,averett,Centre,Averett,64-66,64,66,"16, 10, 17, 21, 64","16, 18, 18, 14, 66",16,10,17,21,64,16,18,18,14,66,(7-1),(4-4),12/17/18,Lose,No Attendence Recorded,No Location Recorded,1:00 PM,N,41,06:35,"TURNOVER  by MORRIS,TAYLOR",,,,,,,"TURNOVER  by MORRIS,TAYLOR",1,turnover,,Centre,taylor morris,,395
