,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
30,22,hendrix,Centre,Hendrix,50-38,50,38,"14, 11, 10, 15, 50","5, 10, 10, 13, 38",14,11,10,15,50,5,10,10,13,38,"12-10, 5-6","9-13, 2-9",02/03/19,Win,123,No Location Recorded,12:00 PM,A,30,--,"REBOUND DEF by HICKS,ELLEN",,,,,,,"REBOUND DEF by HICKS,ELLEN",1,defensive rebound,,Centre,ellen hicks,,
31,22,hendrix,Centre,Hendrix,50-38,50,38,"14, 11, 10, 15, 50","5, 10, 10, 13, 38",14,11,10,15,50,5,10,10,13,38,"12-10, 5-6","9-13, 2-9",02/03/19,Win,123,No Location Recorded,12:00 PM,A,31,--,,,,,"REBOUND DEF by PRUITT,SERENA",,,"REBOUND DEF by PRUITT,SERENA",1,defensive rebound,,hendrix,serena pruitt,,
32,22,hendrix,Centre,Hendrix,50-38,50,38,"14, 11, 10, 15, 50","5, 10, 10, 13, 38",14,11,10,15,50,5,10,10,13,38,"12-10, 5-6","9-13, 2-9",02/03/19,Win,123,No Location Recorded,12:00 PM,A,32,06:44,"SUB IN by JENNINGS,RACHEL",,,,,,,"SUB IN by JENNINGS,RACHEL",1,subbing in,,Centre,rachel jennings,,404
33,22,hendrix,Centre,Hendrix,50-38,50,38,"14, 11, 10, 15, 50","5, 10, 10, 13, 38",14,11,10,15,50,5,10,10,13,38,"12-10, 5-6","9-13, 2-9",02/03/19,Win,123,No Location Recorded,12:00 PM,A,33,06:44,"SUB IN by HICKS,ELLEN",,,,,,,"SUB IN by HICKS,ELLEN",1,subbing in,,Centre,ellen hicks,,404
34,22,hendrix,Centre,Hendrix,50-38,50,38,"14, 11, 10, 15, 50","5, 10, 10, 13, 38",14,11,10,15,50,5,10,10,13,38,"12-10, 5-6","9-13, 2-9",02/03/19,Win,123,No Location Recorded,12:00 PM,A,34,06:44,"SUB IN by CHIRICO,PRESLEY",,,,,,,"SUB IN by CHIRICO,PRESLEY",1,subbing in,,Centre,presley chirico,,404
35,22,hendrix,Centre,Hendrix,50-38,50,38,"14, 11, 10, 15, 50","5, 10, 10, 13, 38",14,11,10,15,50,5,10,10,13,38,"12-10, 5-6","9-13, 2-9",02/03/19,Win,123,No Location Recorded,12:00 PM,A,35,06:44,"SUB IN by MILLER,LAKKEN",,,,,,,"SUB IN by MILLER,LAKKEN",1,subbing in,,Centre,lakken miller,,404
36,22,hendrix,Centre,Hendrix,50-38,50,38,"14, 11, 10, 15, 50","5, 10, 10, 13, 38",14,11,10,15,50,5,10,10,13,38,"12-10, 5-6","9-13, 2-9",02/03/19,Win,123,No Location Recorded,12:00 PM,A,36,06:44,"SUB IN by FEE,MIKAYLA",,,,,,,"SUB IN by FEE,MIKAYLA",1,subbing in,,Centre,mikayla fee,,404
37,22,hendrix,Centre,Hendrix,50-38,50,38,"14, 11, 10, 15, 50","5, 10, 10, 13, 38",14,11,10,15,50,5,10,10,13,38,"12-10, 5-6","9-13, 2-9",02/03/19,Win,123,No Location Recorded,12:00 PM,A,37,06:44,"SUB OUT by WILSON,KATHLEEN",,,,,,,"SUB OUT by WILSON,KATHLEEN",1,subbing out,,Centre,kathleen wilson,,404
38,22,hendrix,Centre,Hendrix,50-38,50,38,"14, 11, 10, 15, 50","5, 10, 10, 13, 38",14,11,10,15,50,5,10,10,13,38,"12-10, 5-6","9-13, 2-9",02/03/19,Win,123,No Location Recorded,12:00 PM,A,38,06:44,"SUB OUT by STEWART,ABIGAIL",,,,,,,"SUB OUT by STEWART,ABIGAIL",1,subbing out,,Centre,abigail stewart,,404
39,22,hendrix,Centre,Hendrix,50-38,50,38,"14, 11, 10, 15, 50","5, 10, 10, 13, 38",14,11,10,15,50,5,10,10,13,38,"12-10, 5-6","9-13, 2-9",02/03/19,Win,123,No Location Recorded,12:00 PM,A,39,06:44,"SUB OUT by MARCUM,MADISON",,,,,,,"SUB OUT by MARCUM,MADISON",1,subbing out,,Centre,madison marcum,,404
