,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,FCW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
24,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,24,07:01,"FOUL  by WEHBY,ABIGAIL",,,,,,,"FOUL  by WEHBY,ABIGAIL",1,foul,,Centre,abigail wehby,,421
25,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,25,07:01,"SUB IN by BUNNER,CHEYENNE",,,,,,,"SUB IN by BUNNER,CHEYENNE",1,subbing in,,Centre,cheyenne bunner,,421
26,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,26,07:01,"SUB IN by STEWART,ABIGAIL",,,,,,,"SUB IN by STEWART,ABIGAIL",1,subbing in,,Centre,abigail stewart,,421
27,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,27,07:01,"SUB OUT by RICE,MADISON",,,,,,,"SUB OUT by RICE,MADISON",1,subbing out,,Centre,madison rice,,421
28,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,28,07:01,"SUB OUT by FEE,MIKAYLA",,,,,,,"SUB OUT by FEE,MIKAYLA",1,subbing out,,Centre,mikayla fee,,421
29,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,29,06:45,,,,,"TURNOVER  by MOSLEY,KELSEY",,,"TURNOVER  by MOSLEY,KELSEY",1,turnover,,ferrum,kelsey mosley,,405
30,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,30,06:45,SUB IN by 0,,,,,,,SUB IN by 0,1,subbing in,,Centre,,,405
31,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,31,06:45,"SUB OUT by WILSON,KATHLEEN",,,,,,,"SUB OUT by WILSON,KATHLEEN",1,subbing out,,Centre,kathleen wilson,,405
32,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,32,06:44,"GOOD 3PTR by MARCUM,MADISON",11 (+7),,4,,CENTRE-W 11-4 (+7),,"GOOD 3PTR by MARCUM,MADISON",1,three pointer,good,Centre,madison marcum,3,404
33,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,33,--,"ASSIST  by WEHBY,ABIGAIL",,,,,,,"ASSIST  by WEHBY,ABIGAIL",1,assist,,Centre,abigail wehby,,
34,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,34,06:34,"SUB IN by MORRIS,TAYLOR",,,,,,,"SUB IN by MORRIS,TAYLOR",1,subbing in,,Centre,taylor morris,,394
35,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,35,06:34,"SUB OUT by WEHBY,ABIGAIL",,,,,,,"SUB OUT by WEHBY,ABIGAIL",1,subbing out,,Centre,abigail wehby,,394
36,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,36,06:31,,,,,"MISS 3PTR by SELF,MAGGIE",,,"MISS 3PTR by SELF,MAGGIE",1,three pointer,missed,ferrum,maggie self,,391
37,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,37,--,"REBOUND DEF by BUNNER,CHEYENNE",,,,,,,"REBOUND DEF by BUNNER,CHEYENNE",1,defensive rebound,,Centre,cheyenne bunner,,
38,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,38,06:04,"MISS 3PTR by MORRIS,TAYLOR",,,,,,,"MISS 3PTR by MORRIS,TAYLOR",1,three pointer,missed,Centre,taylor morris,,364
39,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,39,--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
40,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,40,06:01,"SUB IN by MILLER,LAKKEN",,,,,,,"SUB IN by MILLER,LAKKEN",1,subbing in,,Centre,lakken miller,,361
41,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,41,06:01,"SUB OUT by MARCUM,MADISON",,,,,,,"SUB OUT by MARCUM,MADISON",1,subbing out,,Centre,madison marcum,,361
42,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,42,05:33,"FOUL  by MILLER,LAKKEN",,,,,,,"FOUL  by MILLER,LAKKEN",1,foul,,Centre,lakken miller,,333
43,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,43,05:33,,11 (+6),,5,"GOOD FT by SELF,MAGGIE",FCW 11-5 (+6),,"GOOD FT by SELF,MAGGIE",1,free throw,good,ferrum,maggie self,1,333
44,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,44,05:33,,11 (+5),,6,"GOOD FT by SELF,MAGGIE",FCW 11-6 (+5),,"GOOD FT by SELF,MAGGIE",1,free throw,good,ferrum,maggie self,1,333
45,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,45,05:33,,,,,"SUB IN by MARVIN,JACY",,,"SUB IN by MARVIN,JACY",1,subbing in,,ferrum,jacy marvin,,333
46,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,46,05:33,,,,,"SUB IN by MARTIN,COURTNEY",,,"SUB IN by MARTIN,COURTNEY",1,subbing in,,ferrum,courtney martin,,333
47,10,ferrum,Centre,Ferrum,57-39,57,39,"18, 14, 13, 12, 57","11, 6, 10, 12, 39",18,14,13,12,57,11,6,10,12,39,(8-2),(3-8),12/18/18,Win,115,No Location Recorded,3:00 PM,A,47,05:33,,,,,"SUB OUT by BUNKER,ARIN",,,"SUB OUT by BUNKER,ARIN",1,subbing out,,ferrum,arin bunker,,333
