,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CC,Away Team Score,Play Team Indicator,Home Team Score,LETU,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
28,9,letourneau,Centre,LeTourneau,59-65,59,65,"7, 20, 22, 10, 59","8, 14, 26, 17, 65",7,20,22,10,59,8,14,26,17,65,3-6,3-4,12/17/19,Lose,63,No Location Recorded,2:00 PM,N,28,--,,,,,"ASSIST  by MIKULSKI,MICAYLA",,,"ASSIST  by MIKULSKI,MICAYLA",1,assist,,letourneau,micayla mikulski,,
29,9,letourneau,Centre,LeTourneau,59-65,59,65,"7, 20, 22, 10, 59","8, 14, 26, 17, 65",7,20,22,10,59,8,14,26,17,65,3-6,3-4,12/17/19,Lose,63,No Location Recorded,2:00 PM,N,29,06:28,"MISS 3PTR by WILSON,KAT",,,,,,,"MISS 3PTR by WILSON,KAT",1,three pointer,missed,Centre,kat wilson,,388
30,9,letourneau,Centre,LeTourneau,59-65,59,65,"7, 20, 22, 10, 59","8, 14, 26, 17, 65",7,20,22,10,59,8,14,26,17,65,3-6,3-4,12/17/19,Lose,63,No Location Recorded,2:00 PM,N,30,--,,,,,"REBOUND DEF by WHITFIELD,KEAUNA",,,"REBOUND DEF by WHITFIELD,KEAUNA",1,defensive rebound,,letourneau,keauna whitfield,,
31,9,letourneau,Centre,LeTourneau,59-65,59,65,"7, 20, 22, 10, 59","8, 14, 26, 17, 65",7,20,22,10,59,8,14,26,17,65,3-6,3-4,12/17/19,Lose,63,No Location Recorded,2:00 PM,N,31,06:08,,,,,"TURNOVER  by HARDEMAN,KYNDALL",,,"TURNOVER  by HARDEMAN,KYNDALL",1,turnover,,letourneau,kyndall hardeman,,368
32,9,letourneau,Centre,LeTourneau,59-65,59,65,"7, 20, 22, 10, 59","8, 14, 26, 17, 65",7,20,22,10,59,8,14,26,17,65,3-6,3-4,12/17/19,Lose,63,No Location Recorded,2:00 PM,N,32,06:06,"STEAL  by WILSON,KAT",,,,,,,"STEAL  by WILSON,KAT",1,steal,,Centre,,,366
33,9,letourneau,Centre,LeTourneau,59-65,59,65,"7, 20, 22, 10, 59","8, 14, 26, 17, 65",7,20,22,10,59,8,14,26,17,65,3-6,3-4,12/17/19,Lose,63,No Location Recorded,2:00 PM,N,33,05:56,,,,,"FOUL  by AKINGBADE,FLORA",,,"FOUL  by AKINGBADE,FLORA",1,foul,,letourneau,flora akingbade,,356
34,9,letourneau,Centre,LeTourneau,59-65,59,65,"7, 20, 22, 10, 59","8, 14, 26, 17, 65",7,20,22,10,59,8,14,26,17,65,3-6,3-4,12/17/19,Lose,63,No Location Recorded,2:00 PM,N,34,05:56,"GOOD FT by HEROLD,PAYTON",6 (+2),,4,,CC 6-4 (+2),,"GOOD FT by HEROLD,PAYTON",1,free throw,good,Centre,payton herold,1,356
35,9,letourneau,Centre,LeTourneau,59-65,59,65,"7, 20, 22, 10, 59","8, 14, 26, 17, 65",7,20,22,10,59,8,14,26,17,65,3-6,3-4,12/17/19,Lose,63,No Location Recorded,2:00 PM,N,35,05:56,"GOOD FT by HEROLD,PAYTON",7 (+3),,4,,CC 7-4 (+3),,"GOOD FT by HEROLD,PAYTON",1,free throw,good,Centre,payton herold,1,356
36,9,letourneau,Centre,LeTourneau,59-65,59,65,"7, 20, 22, 10, 59","8, 14, 26, 17, 65",7,20,22,10,59,8,14,26,17,65,3-6,3-4,12/17/19,Lose,63,No Location Recorded,2:00 PM,N,36,05:56,"SUB IN by JENNINGS,RACHEL",,,,,,,"SUB IN by JENNINGS,RACHEL",1,subbing in,,Centre,rachel jennings,,356
37,9,letourneau,Centre,LeTourneau,59-65,59,65,"7, 20, 22, 10, 59","8, 14, 26, 17, 65",7,20,22,10,59,8,14,26,17,65,3-6,3-4,12/17/19,Lose,63,No Location Recorded,2:00 PM,N,37,05:56,"SUB IN by ROBERTS,BRIANNA",,,,,,,"SUB IN by ROBERTS,BRIANNA",1,subbing in,,Centre,brianna roberts,,356
