,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,Centre,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
23,13,birmingham-southern,Centre,Birmingham-So.,46-52,46,52,"5, 17, 11, 13, 46","13, 15, 17, 7, 52",5,17,11,13,46,13,15,17,7,52,"6-6,0-2 SAA","10-3,2-0 SAA",01/03/20,Lose,117,No Location Recorded,6:00 PM,A,23,06:43,"GOOD FT by WEHBY,ABIGAIL",3,,6 (+3),,Centre 3-6 (-3),,"GOOD FT by WEHBY,ABIGAIL",1,free throw,good,Centre,abigail wehby,1,403
24,13,birmingham-southern,Centre,Birmingham-So.,46-52,46,52,"5, 17, 11, 13, 46","13, 15, 17, 7, 52",5,17,11,13,46,13,15,17,7,52,"6-6,0-2 SAA","10-3,2-0 SAA",01/03/20,Lose,117,No Location Recorded,6:00 PM,A,24,06:43,"SUB OUT by WILSON,KAT",,,,,,,"SUB OUT by WILSON,KAT",1,subbing out,,Centre,kat wilson,,403
25,13,birmingham-southern,Centre,Birmingham-So.,46-52,46,52,"5, 17, 11, 13, 46","13, 15, 17, 7, 52",5,17,11,13,46,13,15,17,7,52,"6-6,0-2 SAA","10-3,2-0 SAA",01/03/20,Lose,117,No Location Recorded,6:00 PM,A,25,06:43,"SUB OUT by MARCUM,MADISON",,,,,,,"SUB OUT by MARCUM,MADISON",1,subbing out,,Centre,madison marcum,,403
26,13,birmingham-southern,Centre,Birmingham-So.,46-52,46,52,"5, 17, 11, 13, 46","13, 15, 17, 7, 52",5,17,11,13,46,13,15,17,7,52,"6-6,0-2 SAA","10-3,2-0 SAA",01/03/20,Lose,117,No Location Recorded,6:00 PM,A,26,06:43,"SUB IN by MURRAY,KYLEE",,,,,,,"SUB IN by MURRAY,KYLEE",1,subbing in,,Centre,kylee murray,,403
27,13,birmingham-southern,Centre,Birmingham-So.,46-52,46,52,"5, 17, 11, 13, 46","13, 15, 17, 7, 52",5,17,11,13,46,13,15,17,7,52,"6-6,0-2 SAA","10-3,2-0 SAA",01/03/20,Lose,117,No Location Recorded,6:00 PM,A,27,06:43,"SUB IN by HEROLD,PAYTON",,,,,,,"SUB IN by HEROLD,PAYTON",1,subbing in,,Centre,payton herold,,403
28,13,birmingham-southern,Centre,Birmingham-So.,46-52,46,52,"5, 17, 11, 13, 46","13, 15, 17, 7, 52",5,17,11,13,46,13,15,17,7,52,"6-6,0-2 SAA","10-3,2-0 SAA",01/03/20,Lose,117,No Location Recorded,6:00 PM,A,28,06:18,,,,,"MISS 3PTR by WANNEMUEHLER,JOSIE",,,"MISS 3PTR by WANNEMUEHLER,JOSIE",1,three pointer,missed,birmingham-so.,josie wannemuehler,,378
29,13,birmingham-southern,Centre,Birmingham-So.,46-52,46,52,"5, 17, 11, 13, 46","13, 15, 17, 7, 52",5,17,11,13,46,13,15,17,7,52,"6-6,0-2 SAA","10-3,2-0 SAA",01/03/20,Lose,117,No Location Recorded,6:00 PM,A,29,--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
30,13,birmingham-southern,Centre,Birmingham-So.,46-52,46,52,"5, 17, 11, 13, 46","13, 15, 17, 7, 52",5,17,11,13,46,13,15,17,7,52,"6-6,0-2 SAA","10-3,2-0 SAA",01/03/20,Lose,117,No Location Recorded,6:00 PM,A,30,05:45,"FOUL  by WEHBY,ABIGAIL",,,,,,,"FOUL  by WEHBY,ABIGAIL",1,foul,,Centre,abigail wehby,,345
31,13,birmingham-southern,Centre,Birmingham-So.,46-52,46,52,"5, 17, 11, 13, 46","13, 15, 17, 7, 52",5,17,11,13,46,13,15,17,7,52,"6-6,0-2 SAA","10-3,2-0 SAA",01/03/20,Lose,117,No Location Recorded,6:00 PM,A,31,05:45,"TURNOVER  by WEHBY,ABIGAIL",,,,,,,"TURNOVER  by WEHBY,ABIGAIL",1,turnover,,Centre,abigail wehby,,345
32,13,birmingham-southern,Centre,Birmingham-So.,46-52,46,52,"5, 17, 11, 13, 46","13, 15, 17, 7, 52",5,17,11,13,46,13,15,17,7,52,"6-6,0-2 SAA","10-3,2-0 SAA",01/03/20,Lose,117,No Location Recorded,6:00 PM,A,32,05:45,"SUB OUT by WEHBY,ABIGAIL",,,,,,,"SUB OUT by WEHBY,ABIGAIL",1,subbing out,,Centre,abigail wehby,,345
