,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,Sewan,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
24,25,sewanee,Sewanee,Centre,70-52,70,52,"14, 21, 21, 14, 70","13, 14, 14, 11, 52",14,21,21,14,70,13,14,14,11,52,"15-10,9-5 SAA","10-15,5-9 SAA",02/15/20,Win,250,No Location Recorded,1:00 PM,H,24,07:05,"FOUL  by BOMBASSI,BELLA",,,,,,,"FOUL  by BOMBASSI,BELLA",1,foul,,sewanee,bella bombassi,,425
25,25,sewanee,Sewanee,Centre,70-52,70,52,"14, 21, 21, 14, 70","13, 14, 14, 11, 52",14,21,21,14,70,13,14,14,11,52,"15-10,9-5 SAA","10-15,5-9 SAA",02/15/20,Win,250,No Location Recorded,1:00 PM,H,25,07:05,,3,,6 (+3),"GOOD FT by THACKER,JOSIE",Centre 3-6 (+3),,"GOOD FT by THACKER,JOSIE",1,free throw,good,Centre,josie thacker,1,425
26,25,sewanee,Sewanee,Centre,70-52,70,52,"14, 21, 21, 14, 70","13, 14, 14, 11, 52",14,21,21,14,70,13,14,14,11,52,"15-10,9-5 SAA","10-15,5-9 SAA",02/15/20,Win,250,No Location Recorded,1:00 PM,H,26,07:05,,3,,7 (+4),"GOOD FT by THACKER,JOSIE",Centre 3-7 (+4),,"GOOD FT by THACKER,JOSIE",1,free throw,good,Centre,josie thacker,1,425
27,25,sewanee,Sewanee,Centre,70-52,70,52,"14, 21, 21, 14, 70","13, 14, 14, 11, 52",14,21,21,14,70,13,14,14,11,52,"15-10,9-5 SAA","10-15,5-9 SAA",02/15/20,Win,250,No Location Recorded,1:00 PM,H,27,07:05,,,,,"SUB OUT by HICKS,ELLEN",,,"SUB OUT by HICKS,ELLEN",1,subbing out,,Centre,ellen hicks,,425
28,25,sewanee,Sewanee,Centre,70-52,70,52,"14, 21, 21, 14, 70","13, 14, 14, 11, 52",14,21,21,14,70,13,14,14,11,52,"15-10,9-5 SAA","10-15,5-9 SAA",02/15/20,Win,250,No Location Recorded,1:00 PM,H,28,07:05,,,,,"SUB IN by ROBERTS,BRIANNA",,,"SUB IN by ROBERTS,BRIANNA",1,subbing in,,Centre,brianna roberts,,425
29,25,sewanee,Sewanee,Centre,70-52,70,52,"14, 21, 21, 14, 70","13, 14, 14, 11, 52",14,21,21,14,70,13,14,14,11,52,"15-10,9-5 SAA","10-15,5-9 SAA",02/15/20,Win,250,No Location Recorded,1:00 PM,H,29,06:43,,,,,"FOUL  by ROBERTS,BRIANNA",,,"FOUL  by ROBERTS,BRIANNA",1,foul,,Centre,brianna roberts,,403
30,25,sewanee,Sewanee,Centre,70-52,70,52,"14, 21, 21, 14, 70","13, 14, 14, 11, 52",14,21,21,14,70,13,14,14,11,52,"15-10,9-5 SAA","10-15,5-9 SAA",02/15/20,Win,250,No Location Recorded,1:00 PM,H,30,06:43,"MISS FT by BOMBASSI,BELLA",,,,,,,"MISS FT by BOMBASSI,BELLA",1,free throw,missed,sewanee,bella bombassi,,403
31,25,sewanee,Sewanee,Centre,70-52,70,52,"14, 21, 21, 14, 70","13, 14, 14, 11, 52",14,21,21,14,70,13,14,14,11,52,"15-10,9-5 SAA","10-15,5-9 SAA",02/15/20,Win,250,No Location Recorded,1:00 PM,H,31,--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1,deadball rebound,,Centre,,,
32,25,sewanee,Sewanee,Centre,70-52,70,52,"14, 21, 21, 14, 70","13, 14, 14, 11, 52",14,21,21,14,70,13,14,14,11,52,"15-10,9-5 SAA","10-15,5-9 SAA",02/15/20,Win,250,No Location Recorded,1:00 PM,H,32,06:43,"GOOD FT by BOMBASSI,BELLA",4,,7 (+3),,Sewan 4-7 (+3),,"GOOD FT by BOMBASSI,BELLA",1,free throw,good,sewanee,bella bombassi,1,403
33,25,sewanee,Sewanee,Centre,70-52,70,52,"14, 21, 21, 14, 70","13, 14, 14, 11, 52",14,21,21,14,70,13,14,14,11,52,"15-10,9-5 SAA","10-15,5-9 SAA",02/15/20,Win,250,No Location Recorded,1:00 PM,H,33,06:15,"FOUL  by YOUNG,ABBY",,,,,,,"FOUL  by YOUNG,ABBY",1,foul,,sewanee,abby young,,375
