,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,Berry,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
24,26,berry,Berry,Centre,64-53,64,53,"14, 14, 16, 20, 64","9, 14, 18, 12, 53",14,14,16,20,64,9,14,18,12,53,"16-10,9-5 SAA","12-14,6-8 SAA",02/23/20,Win,272,No Location Recorded,1:00 PM,H,24,--,,,,,"REBOUND DEF by FEE,MIKAYLA",,,"REBOUND DEF by FEE,MIKAYLA",1,defensive rebound,,Centre,mikayla fee,,
25,26,berry,Berry,Centre,64-53,64,53,"14, 14, 16, 20, 64","9, 14, 18, 12, 53",14,14,16,20,64,9,14,18,12,53,"16-10,9-5 SAA","12-14,6-8 SAA",02/23/20,Win,272,No Location Recorded,1:00 PM,H,25,06:28,"FOUL  by MORNING,JANA",,,,,,,"FOUL  by MORNING,JANA",1,foul,,berry,jana morning,,388
26,26,berry,Berry,Centre,64-53,64,53,"14, 14, 16, 20, 64","9, 14, 18, 12, 53",14,14,16,20,64,9,14,18,12,53,"16-10,9-5 SAA","12-14,6-8 SAA",02/23/20,Win,272,No Location Recorded,1:00 PM,H,26,06:28,,,,,"SUB OUT by HICKS,ELLEN",,,"SUB OUT by HICKS,ELLEN",1,subbing out,,Centre,ellen hicks,,388
27,26,berry,Berry,Centre,64-53,64,53,"14, 14, 16, 20, 64","9, 14, 18, 12, 53",14,14,16,20,64,9,14,18,12,53,"16-10,9-5 SAA","12-14,6-8 SAA",02/23/20,Win,272,No Location Recorded,1:00 PM,H,27,06:28,,,,,"SUB OUT by WEHBY,ABIGAIL",,,"SUB OUT by WEHBY,ABIGAIL",1,subbing out,,Centre,abigail wehby,,388
28,26,berry,Berry,Centre,64-53,64,53,"14, 14, 16, 20, 64","9, 14, 18, 12, 53",14,14,16,20,64,9,14,18,12,53,"16-10,9-5 SAA","12-14,6-8 SAA",02/23/20,Win,272,No Location Recorded,1:00 PM,H,28,06:28,,,,,"SUB IN by MURRAY,KYLEE",,,"SUB IN by MURRAY,KYLEE",1,subbing in,,Centre,kylee murray,,388
29,26,berry,Berry,Centre,64-53,64,53,"14, 14, 16, 20, 64","9, 14, 18, 12, 53",14,14,16,20,64,9,14,18,12,53,"16-10,9-5 SAA","12-14,6-8 SAA",02/23/20,Win,272,No Location Recorded,1:00 PM,H,29,06:28,,,,,"SUB IN by JENNINGS,RACHEL",,,"SUB IN by JENNINGS,RACHEL",1,subbing in,,Centre,rachel jennings,,388
30,26,berry,Berry,Centre,64-53,64,53,"14, 14, 16, 20, 64","9, 14, 18, 12, 53",14,14,16,20,64,9,14,18,12,53,"16-10,9-5 SAA","12-14,6-8 SAA",02/23/20,Win,272,No Location Recorded,1:00 PM,H,30,06:12,,,,,"MISS JUMPER by WILSON,KAT",,,"MISS JUMPER by WILSON,KAT",1,jumper,missed,Centre,kat wilson,,372
31,26,berry,Berry,Centre,64-53,64,53,"14, 14, 16, 20, 64","9, 14, 18, 12, 53",14,14,16,20,64,9,14,18,12,53,"16-10,9-5 SAA","12-14,6-8 SAA",02/23/20,Win,272,No Location Recorded,1:00 PM,H,31,--,"REBOUND DEF by WASHINGTON,RAVEN",,,,,,,"REBOUND DEF by WASHINGTON,RAVEN",1,defensive rebound,,berry,raven washington,,
32,26,berry,Berry,Centre,64-53,64,53,"14, 14, 16, 20, 64","9, 14, 18, 12, 53",14,14,16,20,64,9,14,18,12,53,"16-10,9-5 SAA","12-14,6-8 SAA",02/23/20,Win,272,No Location Recorded,1:00 PM,H,32,05:55,,,,,"FOUL  by MURRAY,KYLEE",,,"FOUL  by MURRAY,KYLEE",1,foul,,Centre,kylee murray,,355
33,26,berry,Berry,Centre,64-53,64,53,"14, 14, 16, 20, 64","9, 14, 18, 12, 53",14,14,16,20,64,9,14,18,12,53,"16-10,9-5 SAA","12-14,6-8 SAA",02/23/20,Win,272,No Location Recorded,1:00 PM,H,33,05:54,,,,,"SUB OUT by MURRAY,KYLEE",,,"SUB OUT by MURRAY,KYLEE",1,subbing out,,Centre,kylee murray,,354
