,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,Centre,Away Team Score,Play Team Indicator,Home Team Score,Berry,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
31,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,31,05:50,"SUB IN by HEROLD,PAYTON",,,,,,,"SUB IN by HEROLD,PAYTON",1,subbing in,,Centre,payton herold,,350
32,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,32,05:50,"SUB IN by THACKER,JOSIE",,,,,,,"SUB IN by THACKER,JOSIE",1,subbing in,,Centre,josie thacker,,350
33,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,33,05:44,,2,,8 (+6),"GOOD LAYUP by MORNING,JANA(in the paint)",Berry 2-8 (-6),,"GOOD LAYUP by MORNING,JANA(in the paint)",1,layup,good,berry,jana morning,2,344
34,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,34,05:15,,,,,"FOUL  by MORNING,JANA",,,"FOUL  by MORNING,JANA",1,foul,,berry,jana morning,,315
35,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,35,05:10,"MISS LAYUP by FEE,MIKAYLA(in the paint)",,,,,,,"MISS LAYUP by FEE,MIKAYLA(in the paint)",1,layup,missed,Centre,mikayla fee,,310
36,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,36,--,"REBOUND OFF by FEE,MIKAYLA",,,,,,,"REBOUND OFF by FEE,MIKAYLA",1,offensive rebound,,Centre,mikayla fee,,
37,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,37,05:07,"TURNOVER  by JENNINGS,RACHEL",,,,,,,"TURNOVER  by JENNINGS,RACHEL",1,turnover,,Centre,rachel jennings,,307
38,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,38,04:57,,,,,"MISS 3PTR by MORNING,JANA",,,"MISS 3PTR by MORNING,JANA",1,three pointer,missed,berry,jana morning,,297
39,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,39,--,"REBOUND DEF by FEE,MIKAYLA",,,,,,,"REBOUND DEF by FEE,MIKAYLA",1,defensive rebound,,Centre,mikayla fee,,
40,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,40,04:43,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1,timeout,,Centre,,,283
