,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,MVILLE,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
39,4,maryville,Maryville (TN),Centre,50-66,50,66,"11, 18, 9, 12, 50","15, 15, 17, 19, 66",11,18,9,12,50,15,15,17,19,66,"1-3,0-0 SAA","4-1,0-0 USA South",11/23/19,Lose,258,No Location Recorded,3:00 PM,H,39,06:24,"SUB IN by HIX,SHELBY",,,,,,,"SUB IN by HIX,SHELBY",1,subbing in,,maryville (tn),shelby hix,,384
40,4,maryville,Maryville (TN),Centre,50-66,50,66,"11, 18, 9, 12, 50","15, 15, 17, 19, 66",11,18,9,12,50,15,15,17,19,66,"1-3,0-0 SAA","4-1,0-0 USA South",11/23/19,Lose,258,No Location Recorded,3:00 PM,H,40,06:14,"FOUL  by JOSEPH,ABBI",,,,,,,"FOUL  by JOSEPH,ABBI",1,foul,,maryville (tn),abbi joseph,,374
41,4,maryville,Maryville (TN),Centre,50-66,50,66,"11, 18, 9, 12, 50","15, 15, 17, 19, 66",11,18,9,12,50,15,15,17,19,66,"1-3,0-0 SAA","4-1,0-0 USA South",11/23/19,Lose,258,No Location Recorded,3:00 PM,H,41,06:14,,,,,"SUB OUT by WILSON,KAT",,,"SUB OUT by WILSON,KAT",1,subbing out,,Centre,kat wilson,,374
42,4,maryville,Maryville (TN),Centre,50-66,50,66,"11, 18, 9, 12, 50","15, 15, 17, 19, 66",11,18,9,12,50,15,15,17,19,66,"1-3,0-0 SAA","4-1,0-0 USA South",11/23/19,Lose,258,No Location Recorded,3:00 PM,H,42,06:14,,,,,"SUB OUT by HICKS,ELLEN",,,"SUB OUT by HICKS,ELLEN",1,subbing out,,Centre,ellen hicks,,374
43,4,maryville,Maryville (TN),Centre,50-66,50,66,"11, 18, 9, 12, 50","15, 15, 17, 19, 66",11,18,9,12,50,15,15,17,19,66,"1-3,0-0 SAA","4-1,0-0 USA South",11/23/19,Lose,258,No Location Recorded,3:00 PM,H,43,06:14,,,,,"SUB IN by ROBERTS,BRIANNA",,,"SUB IN by ROBERTS,BRIANNA",1,subbing in,,Centre,brianna roberts,,374
44,4,maryville,Maryville (TN),Centre,50-66,50,66,"11, 18, 9, 12, 50","15, 15, 17, 19, 66",11,18,9,12,50,15,15,17,19,66,"1-3,0-0 SAA","4-1,0-0 USA South",11/23/19,Lose,258,No Location Recorded,3:00 PM,H,44,06:14,,,,,"SUB IN by THACKER,JOSIE",,,"SUB IN by THACKER,JOSIE",1,subbing in,,Centre,josie thacker,,374
45,4,maryville,Maryville (TN),Centre,50-66,50,66,"11, 18, 9, 12, 50","15, 15, 17, 19, 66",11,18,9,12,50,15,15,17,19,66,"1-3,0-0 SAA","4-1,0-0 USA South",11/23/19,Lose,258,No Location Recorded,3:00 PM,H,45,05:54,,,,,"MISS LAYUP by JENNINGS,RACHEL(in the paint)",,,"MISS LAYUP by JENNINGS,RACHEL(in the paint)",1,layup,missed,Centre,rachel jennings,,354
46,4,maryville,Maryville (TN),Centre,50-66,50,66,"11, 18, 9, 12, 50","15, 15, 17, 19, 66",11,18,9,12,50,15,15,17,19,66,"1-3,0-0 SAA","4-1,0-0 USA South",11/23/19,Lose,258,No Location Recorded,3:00 PM,H,46,--,"REBOUND DEF by VARNEY,KLAIRE",,,,,,,"REBOUND DEF by VARNEY,KLAIRE",1,defensive rebound,,maryville (tn),klaire varney,,
47,4,maryville,Maryville (TN),Centre,50-66,50,66,"11, 18, 9, 12, 50","15, 15, 17, 19, 66",11,18,9,12,50,15,15,17,19,66,"1-3,0-0 SAA","4-1,0-0 USA South",11/23/19,Lose,258,No Location Recorded,3:00 PM,H,47,05:36,"TURNOVER  by CARRUTHERS,COURTNEY",,,,,,,"TURNOVER  by CARRUTHERS,COURTNEY",1,turnover,,maryville (tn),courtney carruthers,,336
48,4,maryville,Maryville (TN),Centre,50-66,50,66,"11, 18, 9, 12, 50","15, 15, 17, 19, 66",11,18,9,12,50,15,15,17,19,66,"1-3,0-0 SAA","4-1,0-0 USA South",11/23/19,Lose,258,No Location Recorded,3:00 PM,H,48,05:17,,,,,"TURNOVER  by MURRAY,KYLEE",,,"TURNOVER  by MURRAY,KYLEE",1,turnover,,Centre,kylee murray,,317
