,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,HOOD,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
38,11,hood,HOOD,Centre Women,78-50,78,50,"15, 28, 20, 15, 78","8, 15, 14, 13, 50",15,28,20,15,78,8,15,14,13,50,5-6,4-7,12/21/19,Win,67,No Location Recorded,2:00 PM,N,38,05:42,"SUB IN by ANDERSON,MORGAN",,,,,,,"SUB IN by ANDERSON,MORGAN",1,subbing in,,hood,morgan anderson,,342
39,11,hood,HOOD,Centre Women,78-50,78,50,"15, 28, 20, 15, 78","8, 15, 14, 13, 50",15,28,20,15,78,8,15,14,13,50,5-6,4-7,12/21/19,Win,67,No Location Recorded,2:00 PM,N,39,05:42,"SUB OUT by FORD,TAMIYA",,,,,,,"SUB OUT by FORD,TAMIYA",1,subbing out,,hood,tamiya ford,,342
40,11,hood,HOOD,Centre Women,78-50,78,50,"15, 28, 20, 15, 78","8, 15, 14, 13, 50",15,28,20,15,78,8,15,14,13,50,5-6,4-7,12/21/19,Win,67,No Location Recorded,2:00 PM,N,40,05:42,,,,,"SUB IN by THACKER,JOSIE",,,"SUB IN by THACKER,JOSIE",1,subbing in,,Centre,josie thacker,,342
41,11,hood,HOOD,Centre Women,78-50,78,50,"15, 28, 20, 15, 78","8, 15, 14, 13, 50",15,28,20,15,78,8,15,14,13,50,5-6,4-7,12/21/19,Win,67,No Location Recorded,2:00 PM,N,41,05:42,,,,,"SUB IN by JENNINGS,RACHEL",,,"SUB IN by JENNINGS,RACHEL",1,subbing in,,Centre,rachel jennings,,342
42,11,hood,HOOD,Centre Women,78-50,78,50,"15, 28, 20, 15, 78","8, 15, 14, 13, 50",15,28,20,15,78,8,15,14,13,50,5-6,4-7,12/21/19,Win,67,No Location Recorded,2:00 PM,N,42,05:42,,,,,"SUB OUT by WEHBY,ABIGAIL",,,"SUB OUT by WEHBY,ABIGAIL",1,subbing out,,Centre,abigail wehby,,342
43,11,hood,HOOD,Centre Women,78-50,78,50,"15, 28, 20, 15, 78","8, 15, 14, 13, 50",15,28,20,15,78,8,15,14,13,50,5-6,4-7,12/21/19,Win,67,No Location Recorded,2:00 PM,N,43,05:42,,,,,"SUB OUT by HICKS,ELLEN",,,"SUB OUT by HICKS,ELLEN",1,subbing out,,Centre,ellen hicks,,342
44,11,hood,HOOD,Centre Women,78-50,78,50,"15, 28, 20, 15, 78","8, 15, 14, 13, 50",15,28,20,15,78,8,15,14,13,50,5-6,4-7,12/21/19,Win,67,No Location Recorded,2:00 PM,N,44,05:38,,,,,"MISS JUMPER by HEROLD,PAYTON",,,"MISS JUMPER by HEROLD,PAYTON",1,jumper,missed,Centre,payton herold,,338
45,11,hood,HOOD,Centre Women,78-50,78,50,"15, 28, 20, 15, 78","8, 15, 14, 13, 50",15,28,20,15,78,8,15,14,13,50,5-6,4-7,12/21/19,Win,67,No Location Recorded,2:00 PM,N,45,05:38,"BLOCK  by ANDERSON,MORGAN",,,,,,,"BLOCK  by ANDERSON,MORGAN",1,block,,hood,morgan anderson,,338
46,11,hood,HOOD,Centre Women,78-50,78,50,"15, 28, 20, 15, 78","8, 15, 14, 13, 50",15,28,20,15,78,8,15,14,13,50,5-6,4-7,12/21/19,Win,67,No Location Recorded,2:00 PM,N,46,--,"REBOUND DEF by ANDERSON,MORGAN",,,,,,,"REBOUND DEF by ANDERSON,MORGAN",1,defensive rebound,,hood,morgan anderson,,
47,11,hood,HOOD,Centre Women,78-50,78,50,"15, 28, 20, 15, 78","8, 15, 14, 13, 50",15,28,20,15,78,8,15,14,13,50,5-6,4-7,12/21/19,Win,67,No Location Recorded,2:00 PM,N,47,05:20,"TURNOVER  by PITT,EBONY",,,,,,,"TURNOVER  by PITT,EBONY",1,turnover,,hood,ebony pitt,,320
48,11,hood,HOOD,Centre Women,78-50,78,50,"15, 28, 20, 15, 78","8, 15, 14, 13, 50",15,28,20,15,78,8,15,14,13,50,5-6,4-7,12/21/19,Win,67,No Location Recorded,2:00 PM,N,48,05:20,,,,,"SUB IN by ROBERTS,BRIANNA",,,"SUB IN by ROBERTS,BRIANNA",1,subbing in,,Centre,brianna roberts,,320
