,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,OU,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
23,16,oglethorpe,Oglethorpe,Centre,54-60,54,60,"17, 11, 8, 18, 54","16, 12, 14, 18, 60",17,11,8,18,54,16,12,14,18,60,"8-7,2-3 SAA","15-1,5-0 SAA",01/12/20,Lose,315,No Location Recorded,1:00 PM,H,23,06:59,"MISS LAYUP by SMITH,TAYLOR(in the paint)",,,,,,,"MISS LAYUP by SMITH,TAYLOR(in the paint)",1,layup,missed,oglethorpe,taylor smith,,419
24,16,oglethorpe,Oglethorpe,Centre,54-60,54,60,"17, 11, 8, 18, 54","16, 12, 14, 18, 60",17,11,8,18,54,16,12,14,18,60,"8-7,2-3 SAA","15-1,5-0 SAA",01/12/20,Lose,315,No Location Recorded,1:00 PM,H,24,--,,,,,"REBOUND DEF by WILSON,KAT",,,"REBOUND DEF by WILSON,KAT",1,defensive rebound,,Centre,kat wilson,,
25,16,oglethorpe,Oglethorpe,Centre,54-60,54,60,"17, 11, 8, 18, 54","16, 12, 14, 18, 60",17,11,8,18,54,16,12,14,18,60,"8-7,2-3 SAA","15-1,5-0 SAA",01/12/20,Lose,315,No Location Recorded,1:00 PM,H,25,06:37,,,,,"MISS JUMPER by WEHBY,ABIGAIL",,,"MISS JUMPER by WEHBY,ABIGAIL",1,jumper,missed,Centre,abigail wehby,,397
26,16,oglethorpe,Oglethorpe,Centre,54-60,54,60,"17, 11, 8, 18, 54","16, 12, 14, 18, 60",17,11,8,18,54,16,12,14,18,60,"8-7,2-3 SAA","15-1,5-0 SAA",01/12/20,Lose,315,No Location Recorded,1:00 PM,H,26,--,"REBOUND DEF by BURDGE,AUDREY",,,,,,,"REBOUND DEF by BURDGE,AUDREY",1,defensive rebound,,oglethorpe,audrey burdge,,
27,16,oglethorpe,Oglethorpe,Centre,54-60,54,60,"17, 11, 8, 18, 54","16, 12, 14, 18, 60",17,11,8,18,54,16,12,14,18,60,"8-7,2-3 SAA","15-1,5-0 SAA",01/12/20,Lose,315,No Location Recorded,1:00 PM,H,27,06:35,,,,,"FOUL  by HICKS,ELLEN",,,"FOUL  by HICKS,ELLEN",1,foul,,Centre,ellen hicks,,395
28,16,oglethorpe,Oglethorpe,Centre,54-60,54,60,"17, 11, 8, 18, 54","16, 12, 14, 18, 60",17,11,8,18,54,16,12,14,18,60,"8-7,2-3 SAA","15-1,5-0 SAA",01/12/20,Lose,315,No Location Recorded,1:00 PM,H,28,06:35,,,,,"SUB OUT by HICKS,ELLEN",,,"SUB OUT by HICKS,ELLEN",1,subbing out,,Centre,ellen hicks,,395
29,16,oglethorpe,Oglethorpe,Centre,54-60,54,60,"17, 11, 8, 18, 54","16, 12, 14, 18, 60",17,11,8,18,54,16,12,14,18,60,"8-7,2-3 SAA","15-1,5-0 SAA",01/12/20,Lose,315,No Location Recorded,1:00 PM,H,29,06:35,,,,,"SUB IN by THACKER,JOSIE",,,"SUB IN by THACKER,JOSIE",1,subbing in,,Centre,josie thacker,,395
30,16,oglethorpe,Oglethorpe,Centre,54-60,54,60,"17, 11, 8, 18, 54","16, 12, 14, 18, 60",17,11,8,18,54,16,12,14,18,60,"8-7,2-3 SAA","15-1,5-0 SAA",01/12/20,Lose,315,No Location Recorded,1:00 PM,H,30,06:35,"SUB OUT by BURDGE,AUDREY",,,,,,,"SUB OUT by BURDGE,AUDREY",1,subbing out,,oglethorpe,audrey burdge,,395
31,16,oglethorpe,Oglethorpe,Centre,54-60,54,60,"17, 11, 8, 18, 54","16, 12, 14, 18, 60",17,11,8,18,54,16,12,14,18,60,"8-7,2-3 SAA","15-1,5-0 SAA",01/12/20,Lose,315,No Location Recorded,1:00 PM,H,31,06:35,"SUB IN by DONOVAN,SYDNI",,,,,,,"SUB IN by DONOVAN,SYDNI",1,subbing in,,oglethorpe,sydni donovan,,395
32,16,oglethorpe,Oglethorpe,Centre,54-60,54,60,"17, 11, 8, 18, 54","16, 12, 14, 18, 60",17,11,8,18,54,16,12,14,18,60,"8-7,2-3 SAA","15-1,5-0 SAA",01/12/20,Lose,315,No Location Recorded,1:00 PM,H,32,06:27,,,,,"FOUL  by FEE,MIKAYLA",,,"FOUL  by FEE,MIKAYLA",1,foul,,Centre,mikayla fee,,387
