,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,OTT,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
24,3,otterbein,Otterbein,Centre,34-44,34,44,"9, 10, 7, 8, 34","14, 7, 13, 10, 44",9,10,7,8,34,14,7,13,10,44,"1-2,0-0 SAA","3-0,0-0 OAC",11/22/19,Lose,209,No Location Recorded,7:00 PM,H,24,06:12,,,,,"MISS JUMPER by WEHBY,ABIGAIL",,,"MISS JUMPER by WEHBY,ABIGAIL",1,jumper,missed,Centre,abigail wehby,,372
25,3,otterbein,Otterbein,Centre,34-44,34,44,"9, 10, 7, 8, 34","14, 7, 13, 10, 44",9,10,7,8,34,14,7,13,10,44,"1-2,0-0 SAA","3-0,0-0 OAC",11/22/19,Lose,209,No Location Recorded,7:00 PM,H,25,--,"REBOUND DEF by JACKSON,ANGELIA",,,,,,,"REBOUND DEF by JACKSON,ANGELIA",1,defensive rebound,,otterbein,angelia jackson,,
26,3,otterbein,Otterbein,Centre,34-44,34,44,"9, 10, 7, 8, 34","14, 7, 13, 10, 44",9,10,7,8,34,14,7,13,10,44,"1-2,0-0 SAA","3-0,0-0 OAC",11/22/19,Lose,209,No Location Recorded,7:00 PM,H,26,05:51,"MISS JUMPER by JACKSON,ANGELIA",,,,,,,"MISS JUMPER by JACKSON,ANGELIA",1,jumper,missed,otterbein,angelia jackson,,351
27,3,otterbein,Otterbein,Centre,34-44,34,44,"9, 10, 7, 8, 34","14, 7, 13, 10, 44",9,10,7,8,34,14,7,13,10,44,"1-2,0-0 SAA","3-0,0-0 OAC",11/22/19,Lose,209,No Location Recorded,7:00 PM,H,27,--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
28,3,otterbein,Otterbein,Centre,34-44,34,44,"9, 10, 7, 8, 34","14, 7, 13, 10, 44",9,10,7,8,34,14,7,13,10,44,"1-2,0-0 SAA","3-0,0-0 OAC",11/22/19,Lose,209,No Location Recorded,7:00 PM,H,28,05:48,,,,,"SUB OUT by WILSON,KAT",,,"SUB OUT by WILSON,KAT",1,subbing out,,Centre,kat wilson,,348
29,3,otterbein,Otterbein,Centre,34-44,34,44,"9, 10, 7, 8, 34","14, 7, 13, 10, 44",9,10,7,8,34,14,7,13,10,44,"1-2,0-0 SAA","3-0,0-0 OAC",11/22/19,Lose,209,No Location Recorded,7:00 PM,H,29,05:48,,,,,"SUB OUT by WEHBY,ABIGAIL",,,"SUB OUT by WEHBY,ABIGAIL",1,subbing out,,Centre,abigail wehby,,348
30,3,otterbein,Otterbein,Centre,34-44,34,44,"9, 10, 7, 8, 34","14, 7, 13, 10, 44",9,10,7,8,34,14,7,13,10,44,"1-2,0-0 SAA","3-0,0-0 OAC",11/22/19,Lose,209,No Location Recorded,7:00 PM,H,30,05:48,,,,,"SUB OUT by FEE,MIKAYLA",,,"SUB OUT by FEE,MIKAYLA",1,subbing out,,Centre,mikayla fee,,348
31,3,otterbein,Otterbein,Centre,34-44,34,44,"9, 10, 7, 8, 34","14, 7, 13, 10, 44",9,10,7,8,34,14,7,13,10,44,"1-2,0-0 SAA","3-0,0-0 OAC",11/22/19,Lose,209,No Location Recorded,7:00 PM,H,31,05:48,,,,,"SUB OUT by MARCUM,MADISON",,,"SUB OUT by MARCUM,MADISON",1,subbing out,,Centre,madison marcum,,348
32,3,otterbein,Otterbein,Centre,34-44,34,44,"9, 10, 7, 8, 34","14, 7, 13, 10, 44",9,10,7,8,34,14,7,13,10,44,"1-2,0-0 SAA","3-0,0-0 OAC",11/22/19,Lose,209,No Location Recorded,7:00 PM,H,32,05:48,,,,,"SUB IN by MURRAY,KYLEE",,,"SUB IN by MURRAY,KYLEE",1,subbing in,,Centre,kylee murray,,348
33,3,otterbein,Otterbein,Centre,34-44,34,44,"9, 10, 7, 8, 34","14, 7, 13, 10, 44",9,10,7,8,34,14,7,13,10,44,"1-2,0-0 SAA","3-0,0-0 OAC",11/22/19,Lose,209,No Location Recorded,7:00 PM,H,33,05:48,,,,,"SUB IN by JENNINGS,RACHEL",,,"SUB IN by JENNINGS,RACHEL",1,subbing in,,Centre,rachel jennings,,348
34,3,otterbein,Otterbein,Centre,34-44,34,44,"9, 10, 7, 8, 34","14, 7, 13, 10, 44",9,10,7,8,34,14,7,13,10,44,"1-2,0-0 SAA","3-0,0-0 OAC",11/22/19,Lose,209,No Location Recorded,7:00 PM,H,34,05:48,,,,,"SUB IN by ROBERTS,BRIANNA",,,"SUB IN by ROBERTS,BRIANNA",1,subbing in,,Centre,brianna roberts,,348
