,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,SU,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
35,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,35,07:18,"BLOCK  by WRIGHT,HUNTER",,,,,,,"BLOCK  by WRIGHT,HUNTER",1,block,,spalding,hunter wright,,438
36,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,36,--,"REBOUND DEF by JUST,ALLISON",,,,,,,"REBOUND DEF by JUST,ALLISON",1,defensive rebound,,spalding,allison just,,
37,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,37,07:15,"MISS JUMPER by HIRN,MALEAH(in the paint)",,,,,,,"MISS JUMPER by HIRN,MALEAH(in the paint)",1,jumper,missed,spalding,maleah hirn,,435
38,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,38,--,,,,,"REBOUND DEF by FEE,MIKAYLA",,,"REBOUND DEF by FEE,MIKAYLA",1,defensive rebound,,Centre,mikayla fee,,
39,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,39,06:54,"FOUL  by HIRN,MALEAH",,,,,,,"FOUL  by HIRN,MALEAH",1,foul,,spalding,maleah hirn,,414
40,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,40,06:54,,,,,"MISS FT by JENNINGS,RACHEL",,,"MISS FT by JENNINGS,RACHEL",1,free throw,missed,Centre,rachel jennings,,414
41,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,41,--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1,deadball rebound,,Centre,,,
42,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,42,06:54,,,,,"MISS FT by JENNINGS,RACHEL",,,"MISS FT by JENNINGS,RACHEL",1,free throw,missed,Centre,rachel jennings,,414
43,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,43,--,"REBOUND DEF by JUST,ALLISON",,,,,,,"REBOUND DEF by JUST,ALLISON",1,defensive rebound,,spalding,allison just,,
44,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,44,06:48,"GOOD 3PTR by HIRN,MALEAH(fastbreak)",4,,4,,SU 4-4 (0),,"GOOD 3PTR by HIRN,MALEAH(fastbreak)",1,three pointer,good,spalding,maleah(fastbreak) hirn,3,408
45,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,45,--,"ASSIST  by ANTHONY,BREANNA",,,,,,,"ASSIST  by ANTHONY,BREANNA",1,assist,,spalding,breanna anthony,,
46,5,spalding,Spalding,Centre,74-68,74,68,"15, 14, 19, 26, 74","11, 13, 15, 29, 68",15,14,19,26,74,11,13,15,29,68,"2-3,0-0 SAA","2-3,0-0 SLIAC",11/26/19,Win,64,No Location Recorded,7:00 PM,H,46,06:21,,,,,"MISS JUMPER by WILSON,KAT(in the paint)",,,"MISS JUMPER by WILSON,KAT(in the paint)",1,jumper,missed,Centre,kat wilson,,381
