,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,Centre,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
24,20,rhodes,Centre,Rhodes,48-64,48,64,"17, 9, 12, 10, 48","10, 16, 22, 16, 64",17,9,12,10,48,10,16,22,16,64,"11-9,5-4 SAA","13-7,7-2 SAA",01/26/20,Lose,148,No Location Recorded,1:00 PM,A,24,06:33,"SUB IN by MURRAY,KYLEE",,,,,,,"SUB IN by MURRAY,KYLEE",1,subbing in,,Centre,kylee murray,,393
25,20,rhodes,Centre,Rhodes,48-64,48,64,"17, 9, 12, 10, 48","10, 16, 22, 16, 64",17,9,12,10,48,10,16,22,16,64,"11-9,5-4 SAA","13-7,7-2 SAA",01/26/20,Lose,148,No Location Recorded,1:00 PM,A,25,06:33,"SUB IN by HEROLD,PAYTON",,,,,,,"SUB IN by HEROLD,PAYTON",1,subbing in,,Centre,payton herold,,393
26,20,rhodes,Centre,Rhodes,48-64,48,64,"17, 9, 12, 10, 48","10, 16, 22, 16, 64",17,9,12,10,48,10,16,22,16,64,"11-9,5-4 SAA","13-7,7-2 SAA",01/26/20,Lose,148,No Location Recorded,1:00 PM,A,26,06:21,"GOOD 3PTR by WILSON,KAT",5,,7 (+2),,Centre 5-7 (-2),,"GOOD 3PTR by WILSON,KAT",1,three pointer,good,Centre,kat wilson,3,381
27,20,rhodes,Centre,Rhodes,48-64,48,64,"17, 9, 12, 10, 48","10, 16, 22, 16, 64",17,9,12,10,48,10,16,22,16,64,"11-9,5-4 SAA","13-7,7-2 SAA",01/26/20,Lose,148,No Location Recorded,1:00 PM,A,27,--,"ASSIST  by WEHBY,ABIGAIL",,,,,,,"ASSIST  by WEHBY,ABIGAIL",1,assist,,Centre,abigail wehby,,
28,20,rhodes,Centre,Rhodes,48-64,48,64,"17, 9, 12, 10, 48","10, 16, 22, 16, 64",17,9,12,10,48,10,16,22,16,64,"11-9,5-4 SAA","13-7,7-2 SAA",01/26/20,Lose,148,No Location Recorded,1:00 PM,A,28,06:07,,,,,"MISS 3PTR by DOWNEY,KIERA",,,"MISS 3PTR by DOWNEY,KIERA",1,three pointer,missed,rhodes,kiera downey,,367
29,20,rhodes,Centre,Rhodes,48-64,48,64,"17, 9, 12, 10, 48","10, 16, 22, 16, 64",17,9,12,10,48,10,16,22,16,64,"11-9,5-4 SAA","13-7,7-2 SAA",01/26/20,Lose,148,No Location Recorded,1:00 PM,A,29,--,"REBOUND DEF by MURRAY,KYLEE",,,,,,,"REBOUND DEF by MURRAY,KYLEE",1,defensive rebound,,Centre,kylee murray,,
30,20,rhodes,Centre,Rhodes,48-64,48,64,"17, 9, 12, 10, 48","10, 16, 22, 16, 64",17,9,12,10,48,10,16,22,16,64,"11-9,5-4 SAA","13-7,7-2 SAA",01/26/20,Lose,148,No Location Recorded,1:00 PM,A,30,05:52,"MISS JUMPER by WILSON,KAT(in the paint)",,,,,,,"MISS JUMPER by WILSON,KAT(in the paint)",1,jumper,missed,Centre,kat wilson,,352
31,20,rhodes,Centre,Rhodes,48-64,48,64,"17, 9, 12, 10, 48","10, 16, 22, 16, 64",17,9,12,10,48,10,16,22,16,64,"11-9,5-4 SAA","13-7,7-2 SAA",01/26/20,Lose,148,No Location Recorded,1:00 PM,A,31,--,,,,,"REBOUND DEF by LONGACRE,MAYA",,,"REBOUND DEF by LONGACRE,MAYA",1,defensive rebound,,rhodes,maya longacre,,
32,20,rhodes,Centre,Rhodes,48-64,48,64,"17, 9, 12, 10, 48","10, 16, 22, 16, 64",17,9,12,10,48,10,16,22,16,64,"11-9,5-4 SAA","13-7,7-2 SAA",01/26/20,Lose,148,No Location Recorded,1:00 PM,A,32,05:40,,,,,"MISS 3PTR by MAYEUX,ALLI",,,"MISS 3PTR by MAYEUX,ALLI",1,three pointer,missed,rhodes,alli mayeux,,340
33,20,rhodes,Centre,Rhodes,48-64,48,64,"17, 9, 12, 10, 48","10, 16, 22, 16, 64",17,9,12,10,48,10,16,22,16,64,"11-9,5-4 SAA","13-7,7-2 SAA",01/26/20,Lose,148,No Location Recorded,1:00 PM,A,33,--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
