,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
23,21,birmingham-southern,Birmingham-So.,Centre,61-52,61,52,"12, 9, 14, 26, 61","9, 17, 12, 14, 52",12,9,14,26,61,9,17,12,14,52,"12-9,6-4 SAA","13-8,5-5 SAA",01/31/20,Win,238,No Location Recorded,6:00 PM,H,23,05:13,,2,,7 (+5),"GOOD JUMPER by HICKS,ELLEN",Centre 2-7 (+5),,"GOOD JUMPER by HICKS,ELLEN",1,jumper,good,Centre,ellen hicks,2,313
24,21,birmingham-southern,Birmingham-So.,Centre,61-52,61,52,"12, 9, 14, 26, 61","9, 17, 12, 14, 52",12,9,14,26,61,9,17,12,14,52,"12-9,6-4 SAA","13-8,5-5 SAA",01/31/20,Win,238,No Location Recorded,6:00 PM,H,24,--,,,,,"ASSIST  by WEHBY,ABIGAIL",,,"ASSIST  by WEHBY,ABIGAIL",1,assist,,Centre,abigail wehby,,
25,21,birmingham-southern,Birmingham-So.,Centre,61-52,61,52,"12, 9, 14, 26, 61","9, 17, 12, 14, 52",12,9,14,26,61,9,17,12,14,52,"12-9,6-4 SAA","13-8,5-5 SAA",01/31/20,Win,238,No Location Recorded,6:00 PM,H,25,04:40,,,,,"SUB OUT by WEHBY,ABIGAIL",,,"SUB OUT by WEHBY,ABIGAIL",1,subbing out,,Centre,abigail wehby,,280
26,21,birmingham-southern,Birmingham-So.,Centre,61-52,61,52,"12, 9, 14, 26, 61","9, 17, 12, 14, 52",12,9,14,26,61,9,17,12,14,52,"12-9,6-4 SAA","13-8,5-5 SAA",01/31/20,Win,238,No Location Recorded,6:00 PM,H,26,04:40,,,,,"SUB OUT by FEE,MIKAYLA",,,"SUB OUT by FEE,MIKAYLA",1,subbing out,,Centre,mikayla fee,,280
27,21,birmingham-southern,Birmingham-So.,Centre,61-52,61,52,"12, 9, 14, 26, 61","9, 17, 12, 14, 52",12,9,14,26,61,9,17,12,14,52,"12-9,6-4 SAA","13-8,5-5 SAA",01/31/20,Win,238,No Location Recorded,6:00 PM,H,27,04:40,,,,,"SUB OUT by MARCUM,MADISON",,,"SUB OUT by MARCUM,MADISON",1,subbing out,,Centre,madison marcum,,280
28,21,birmingham-southern,Birmingham-So.,Centre,61-52,61,52,"12, 9, 14, 26, 61","9, 17, 12, 14, 52",12,9,14,26,61,9,17,12,14,52,"12-9,6-4 SAA","13-8,5-5 SAA",01/31/20,Win,238,No Location Recorded,6:00 PM,H,28,04:40,,,,,"SUB IN by MURRAY,KYLEE",,,"SUB IN by MURRAY,KYLEE",1,subbing in,,Centre,kylee murray,,280
29,21,birmingham-southern,Birmingham-So.,Centre,61-52,61,52,"12, 9, 14, 26, 61","9, 17, 12, 14, 52",12,9,14,26,61,9,17,12,14,52,"12-9,6-4 SAA","13-8,5-5 SAA",01/31/20,Win,238,No Location Recorded,6:00 PM,H,29,04:40,,,,,"SUB IN by HEROLD,PAYTON",,,"SUB IN by HEROLD,PAYTON",1,subbing in,,Centre,payton herold,,280
30,21,birmingham-southern,Birmingham-So.,Centre,61-52,61,52,"12, 9, 14, 26, 61","9, 17, 12, 14, 52",12,9,14,26,61,9,17,12,14,52,"12-9,6-4 SAA","13-8,5-5 SAA",01/31/20,Win,238,No Location Recorded,6:00 PM,H,30,04:40,,,,,"SUB IN by THACKER,JOSIE",,,"SUB IN by THACKER,JOSIE",1,subbing in,,Centre,josie thacker,,280
31,21,birmingham-southern,Birmingham-So.,Centre,61-52,61,52,"12, 9, 14, 26, 61","9, 17, 12, 14, 52",12,9,14,26,61,9,17,12,14,52,"12-9,6-4 SAA","13-8,5-5 SAA",01/31/20,Win,238,No Location Recorded,6:00 PM,H,31,04:40,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1,timeout,,birmingham-so.,,,280
32,21,birmingham-southern,Birmingham-So.,Centre,61-52,61,52,"12, 9, 14, 26, 61","9, 17, 12, 14, 52",12,9,14,26,61,9,17,12,14,52,"12-9,6-4 SAA","13-8,5-5 SAA",01/31/20,Win,238,No Location Recorded,6:00 PM,H,32,04:36,"MISS 3PTR by FUJII,MISA",,,,,,,"MISS 3PTR by FUJII,MISA",1,three pointer,missed,birmingham-so.,misa fujii,,276
33,21,birmingham-southern,Birmingham-So.,Centre,61-52,61,52,"12, 9, 14, 26, 61","9, 17, 12, 14, 52",12,9,14,26,61,9,17,12,14,52,"12-9,6-4 SAA","13-8,5-5 SAA",01/31/20,Win,238,No Location Recorded,6:00 PM,H,33,--,,,,,"REBOUND DEF by HICKS,ELLEN",,,"REBOUND DEF by HICKS,ELLEN",1,defensive rebound,,Centre,ellen hicks,,
34,21,birmingham-southern,Birmingham-So.,Centre,61-52,61,52,"12, 9, 14, 26, 61","9, 17, 12, 14, 52",12,9,14,26,61,9,17,12,14,52,"12-9,6-4 SAA","13-8,5-5 SAA",01/31/20,Win,238,No Location Recorded,6:00 PM,H,34,04:19,,,,,"TURNOVER  by HICKS,ELLEN",,,"TURNOVER  by HICKS,ELLEN",1,turnover,,Centre,ellen hicks,,259
35,21,birmingham-southern,Birmingham-So.,Centre,61-52,61,52,"12, 9, 14, 26, 61","9, 17, 12, 14, 52",12,9,14,26,61,9,17,12,14,52,"12-9,6-4 SAA","13-8,5-5 SAA",01/31/20,Win,238,No Location Recorded,6:00 PM,H,35,04:19,"STEAL  by BLACK,DERIENNE",,,,,,,"STEAL  by BLACK,DERIENNE",1,steal,,birmingham-so.,,,259
36,21,birmingham-southern,Birmingham-So.,Centre,61-52,61,52,"12, 9, 14, 26, 61","9, 17, 12, 14, 52",12,9,14,26,61,9,17,12,14,52,"12-9,6-4 SAA","13-8,5-5 SAA",01/31/20,Win,238,No Location Recorded,6:00 PM,H,36,04:15,"MISS LAYUP by BLACK,DERIENNE(in the paint)",,,,,,,"MISS LAYUP by BLACK,DERIENNE(in the paint)",1,layup,missed,birmingham-so.,derienne black,,255
37,21,birmingham-southern,Birmingham-So.,Centre,61-52,61,52,"12, 9, 14, 26, 61","9, 17, 12, 14, 52",12,9,14,26,61,9,17,12,14,52,"12-9,6-4 SAA","13-8,5-5 SAA",01/31/20,Win,238,No Location Recorded,6:00 PM,H,37,--,,,,,"REBOUND DEF by THACKER,JOSIE",,,"REBOUND DEF by THACKER,JOSIE",1,defensive rebound,,Centre,josie thacker,,
38,21,birmingham-southern,Birmingham-So.,Centre,61-52,61,52,"12, 9, 14, 26, 61","9, 17, 12, 14, 52",12,9,14,26,61,9,17,12,14,52,"12-9,6-4 SAA","13-8,5-5 SAA",01/31/20,Win,238,No Location Recorded,6:00 PM,H,38,04:08,,,,,"TURNOVER  by HEROLD,PAYTON",,,"TURNOVER  by HEROLD,PAYTON",1,turnover,,Centre,payton herold,,248
39,21,birmingham-southern,Birmingham-So.,Centre,61-52,61,52,"12, 9, 14, 26, 61","9, 17, 12, 14, 52",12,9,14,26,61,9,17,12,14,52,"12-9,6-4 SAA","13-8,5-5 SAA",01/31/20,Win,238,No Location Recorded,6:00 PM,H,39,04:08,"STEAL  by BLACK,DERIENNE",,,,,,,"STEAL  by BLACK,DERIENNE",1,steal,,birmingham-so.,,,248
40,21,birmingham-southern,Birmingham-So.,Centre,61-52,61,52,"12, 9, 14, 26, 61","9, 17, 12, 14, 52",12,9,14,26,61,9,17,12,14,52,"12-9,6-4 SAA","13-8,5-5 SAA",01/31/20,Win,238,No Location Recorded,6:00 PM,H,40,04:02,"TURNOVER  by OLSEN,EMILEE",,,,,,,"TURNOVER  by OLSEN,EMILEE",1,turnover,,birmingham-so.,emilee olsen,,242
41,21,birmingham-southern,Birmingham-So.,Centre,61-52,61,52,"12, 9, 14, 26, 61","9, 17, 12, 14, 52",12,9,14,26,61,9,17,12,14,52,"12-9,6-4 SAA","13-8,5-5 SAA",01/31/20,Win,238,No Location Recorded,6:00 PM,H,41,03:51,,2,,9 (+7),"GOOD JUMPER by WILSON,KAT(in the paint)",Centre 2-9 (+7),,"GOOD JUMPER by WILSON,KAT(in the paint)",1,jumper,good,Centre,kat wilson,2,231
42,21,birmingham-southern,Birmingham-So.,Centre,61-52,61,52,"12, 9, 14, 26, 61","9, 17, 12, 14, 52",12,9,14,26,61,9,17,12,14,52,"12-9,6-4 SAA","13-8,5-5 SAA",01/31/20,Win,238,No Location Recorded,6:00 PM,H,42,03:51,"FOUL  by MIDDLETON,LEAH",,,,,,,"FOUL  by MIDDLETON,LEAH",1,foul,,birmingham-so.,leah middleton,,231
43,21,birmingham-southern,Birmingham-So.,Centre,61-52,61,52,"12, 9, 14, 26, 61","9, 17, 12, 14, 52",12,9,14,26,61,9,17,12,14,52,"12-9,6-4 SAA","13-8,5-5 SAA",01/31/20,Win,238,No Location Recorded,6:00 PM,H,43,03:51,"SUB OUT by WANNEMUEHLER,JOSIE",,,,,,,"SUB OUT by WANNEMUEHLER,JOSIE",1,subbing out,,birmingham-so.,josie wannemuehler,,231
44,21,birmingham-southern,Birmingham-So.,Centre,61-52,61,52,"12, 9, 14, 26, 61","9, 17, 12, 14, 52",12,9,14,26,61,9,17,12,14,52,"12-9,6-4 SAA","13-8,5-5 SAA",01/31/20,Win,238,No Location Recorded,6:00 PM,H,44,03:51,"SUB IN by MANUEL,CHAMETRIA",,,,,,,"SUB IN by MANUEL,CHAMETRIA",1,subbing in,,birmingham-so.,chametria manuel,,231
45,21,birmingham-southern,Birmingham-So.,Centre,61-52,61,52,"12, 9, 14, 26, 61","9, 17, 12, 14, 52",12,9,14,26,61,9,17,12,14,52,"12-9,6-4 SAA","13-8,5-5 SAA",01/31/20,Win,238,No Location Recorded,6:00 PM,H,45,03:51,,2,,10 (+8),"GOOD FT by WILSON,KAT",Centre 2-10 (+8),,"GOOD FT by WILSON,KAT",1,free throw,good,Centre,kat wilson,1,231
46,21,birmingham-southern,Birmingham-So.,Centre,61-52,61,52,"12, 9, 14, 26, 61","9, 17, 12, 14, 52",12,9,14,26,61,9,17,12,14,52,"12-9,6-4 SAA","13-8,5-5 SAA",01/31/20,Win,238,No Location Recorded,6:00 PM,H,46,03:31,"GOOD JUMPER by BLACK,DERIENNE",4,,10 (+6),,BSC 4-10 (+6),,"GOOD JUMPER by BLACK,DERIENNE",1,jumper,good,birmingham-so.,derienne black,2,211
47,21,birmingham-southern,Birmingham-So.,Centre,61-52,61,52,"12, 9, 14, 26, 61","9, 17, 12, 14, 52",12,9,14,26,61,9,17,12,14,52,"12-9,6-4 SAA","13-8,5-5 SAA",01/31/20,Win,238,No Location Recorded,6:00 PM,H,47,02:55,,4,,12 (+8),"GOOD JUMPER by WILSON,KAT(in the paint)",Centre 4-12 (+8),,"GOOD JUMPER by WILSON,KAT(in the paint)",1,jumper,good,Centre,kat wilson,2,175
48,21,birmingham-southern,Birmingham-So.,Centre,61-52,61,52,"12, 9, 14, 26, 61","9, 17, 12, 14, 52",12,9,14,26,61,9,17,12,14,52,"12-9,6-4 SAA","13-8,5-5 SAA",01/31/20,Win,238,No Location Recorded,6:00 PM,H,48,02:43,"TURNOVER  by MIDDLETON,LEAH",,,,,,,"TURNOVER  by MIDDLETON,LEAH",1,turnover,,birmingham-so.,leah middleton,,163
49,21,birmingham-southern,Birmingham-So.,Centre,61-52,61,52,"12, 9, 14, 26, 61","9, 17, 12, 14, 52",12,9,14,26,61,9,17,12,14,52,"12-9,6-4 SAA","13-8,5-5 SAA",01/31/20,Win,238,No Location Recorded,6:00 PM,H,49,02:26,,,,,"MISS 3PTR by MURRAY,KYLEE",,,"MISS 3PTR by MURRAY,KYLEE",1,three pointer,missed,Centre,kylee murray,,146
50,21,birmingham-southern,Birmingham-So.,Centre,61-52,61,52,"12, 9, 14, 26, 61","9, 17, 12, 14, 52",12,9,14,26,61,9,17,12,14,52,"12-9,6-4 SAA","13-8,5-5 SAA",01/31/20,Win,238,No Location Recorded,6:00 PM,H,50,--,,,,,"REBOUND OFF by THACKER,JOSIE",,,"REBOUND OFF by THACKER,JOSIE",1,offensive rebound,,Centre,josie thacker,,
51,21,birmingham-southern,Birmingham-So.,Centre,61-52,61,52,"12, 9, 14, 26, 61","9, 17, 12, 14, 52",12,9,14,26,61,9,17,12,14,52,"12-9,6-4 SAA","13-8,5-5 SAA",01/31/20,Win,238,No Location Recorded,6:00 PM,H,51,02:24,,,,,"TURNOVER  by THACKER,JOSIE",,,"TURNOVER  by THACKER,JOSIE",1,turnover,,Centre,josie thacker,,144
52,21,birmingham-southern,Birmingham-So.,Centre,61-52,61,52,"12, 9, 14, 26, 61","9, 17, 12, 14, 52",12,9,14,26,61,9,17,12,14,52,"12-9,6-4 SAA","13-8,5-5 SAA",01/31/20,Win,238,No Location Recorded,6:00 PM,H,52,02:23,,,,,"SUB OUT by MURRAY,KYLEE",,,"SUB OUT by MURRAY,KYLEE",1,subbing out,,Centre,kylee murray,,143
53,21,birmingham-southern,Birmingham-So.,Centre,61-52,61,52,"12, 9, 14, 26, 61","9, 17, 12, 14, 52",12,9,14,26,61,9,17,12,14,52,"12-9,6-4 SAA","13-8,5-5 SAA",01/31/20,Win,238,No Location Recorded,6:00 PM,H,53,02:23,,,,,"SUB OUT by WILSON,KAT",,,"SUB OUT by WILSON,KAT",1,subbing out,,Centre,kat wilson,,143
54,21,birmingham-southern,Birmingham-So.,Centre,61-52,61,52,"12, 9, 14, 26, 61","9, 17, 12, 14, 52",12,9,14,26,61,9,17,12,14,52,"12-9,6-4 SAA","13-8,5-5 SAA",01/31/20,Win,238,No Location Recorded,6:00 PM,H,54,02:23,,,,,"SUB OUT by HICKS,ELLEN",,,"SUB OUT by HICKS,ELLEN",1,subbing out,,Centre,ellen hicks,,143
55,21,birmingham-southern,Birmingham-So.,Centre,61-52,61,52,"12, 9, 14, 26, 61","9, 17, 12, 14, 52",12,9,14,26,61,9,17,12,14,52,"12-9,6-4 SAA","13-8,5-5 SAA",01/31/20,Win,238,No Location Recorded,6:00 PM,H,55,02:23,,,,,"SUB IN by WEHBY,ABIGAIL",,,"SUB IN by WEHBY,ABIGAIL",1,subbing in,,Centre,abigail wehby,,143
56,21,birmingham-southern,Birmingham-So.,Centre,61-52,61,52,"12, 9, 14, 26, 61","9, 17, 12, 14, 52",12,9,14,26,61,9,17,12,14,52,"12-9,6-4 SAA","13-8,5-5 SAA",01/31/20,Win,238,No Location Recorded,6:00 PM,H,56,02:23,,,,,"SUB IN by FEE,MIKAYLA",,,"SUB IN by FEE,MIKAYLA",1,subbing in,,Centre,mikayla fee,,143
57,21,birmingham-southern,Birmingham-So.,Centre,61-52,61,52,"12, 9, 14, 26, 61","9, 17, 12, 14, 52",12,9,14,26,61,9,17,12,14,52,"12-9,6-4 SAA","13-8,5-5 SAA",01/31/20,Win,238,No Location Recorded,6:00 PM,H,57,02:23,,,,,"SUB IN by MARCUM,MADISON",,,"SUB IN by MARCUM,MADISON",1,subbing in,,Centre,madison marcum,,143
58,21,birmingham-southern,Birmingham-So.,Centre,61-52,61,52,"12, 9, 14, 26, 61","9, 17, 12, 14, 52",12,9,14,26,61,9,17,12,14,52,"12-9,6-4 SAA","13-8,5-5 SAA",01/31/20,Win,238,No Location Recorded,6:00 PM,H,58,02:23,"SUB OUT by MIDDLETON,LEAH",,,,,,,"SUB OUT by MIDDLETON,LEAH",1,subbing out,,birmingham-so.,leah middleton,,143
59,21,birmingham-southern,Birmingham-So.,Centre,61-52,61,52,"12, 9, 14, 26, 61","9, 17, 12, 14, 52",12,9,14,26,61,9,17,12,14,52,"12-9,6-4 SAA","13-8,5-5 SAA",01/31/20,Win,238,No Location Recorded,6:00 PM,H,59,02:23,"SUB IN by QUINTANA,CASSADY",,,,,,,"SUB IN by QUINTANA,CASSADY",1,subbing in,,birmingham-so.,cassady quintana,,143
60,21,birmingham-southern,Birmingham-So.,Centre,61-52,61,52,"12, 9, 14, 26, 61","9, 17, 12, 14, 52",12,9,14,26,61,9,17,12,14,52,"12-9,6-4 SAA","13-8,5-5 SAA",01/31/20,Win,238,No Location Recorded,6:00 PM,H,60,02:20,,,,,"FOUL  by FEE,MIKAYLA",,,"FOUL  by FEE,MIKAYLA",1,foul,,Centre,mikayla fee,,140
