,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,Hend,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
23,17,hendrix,Hendrix,Centre,74-45,74,45,"20, 16, 19, 19, 74","16, 12, 5, 12, 45",20,16,19,19,74,16,12,5,12,45,"9-8,3-3 SAA","2-14,0-6 SAA",01/17/20,Win,476,No Location Recorded,6:00 PM,H,23,--,"ASSIST  by JENKINS,KESSIE",,,,,,,"ASSIST  by JENKINS,KESSIE",1,assist,,hendrix,kessie jenkins,,
24,17,hendrix,Hendrix,Centre,74-45,74,45,"20, 16, 19, 19, 74","16, 12, 5, 12, 45",20,16,19,19,74,16,12,5,12,45,"9-8,3-3 SAA","2-14,0-6 SAA",01/17/20,Win,476,No Location Recorded,6:00 PM,H,24,06:48,,,,,"MISS 3PTR by MARCUM,MADISON",,,"MISS 3PTR by MARCUM,MADISON",1,three pointer,missed,Centre,madison marcum,,408
25,17,hendrix,Hendrix,Centre,74-45,74,45,"20, 16, 19, 19, 74","16, 12, 5, 12, 45",20,16,19,19,74,16,12,5,12,45,"9-8,3-3 SAA","2-14,0-6 SAA",01/17/20,Win,476,No Location Recorded,6:00 PM,H,25,--,"REBOUND DEF by ISBELL,ALI",,,,,,,"REBOUND DEF by ISBELL,ALI",1,defensive rebound,,hendrix,ali isbell,,
26,17,hendrix,Hendrix,Centre,74-45,74,45,"20, 16, 19, 19, 74","16, 12, 5, 12, 45",20,16,19,19,74,16,12,5,12,45,"9-8,3-3 SAA","2-14,0-6 SAA",01/17/20,Win,476,No Location Recorded,6:00 PM,H,26,06:37,"MISS JUMPER by WENDT,CAROLINE(in the paint)",,,,,,,"MISS JUMPER by WENDT,CAROLINE(in the paint)",1,jumper,missed,hendrix,caroline wendt,,397
27,17,hendrix,Hendrix,Centre,74-45,74,45,"20, 16, 19, 19, 74","16, 12, 5, 12, 45",20,16,19,19,74,16,12,5,12,45,"9-8,3-3 SAA","2-14,0-6 SAA",01/17/20,Win,476,No Location Recorded,6:00 PM,H,27,--,,,,,"REBOUND DEF by WILSON,KAT",,,"REBOUND DEF by WILSON,KAT",1,defensive rebound,,Centre,kat wilson,,
28,17,hendrix,Hendrix,Centre,74-45,74,45,"20, 16, 19, 19, 74","16, 12, 5, 12, 45",20,16,19,19,74,16,12,5,12,45,"9-8,3-3 SAA","2-14,0-6 SAA",01/17/20,Win,476,No Location Recorded,6:00 PM,H,28,06:26,,,,,"MISS 3PTR by JENNINGS,RACHEL",,,"MISS 3PTR by JENNINGS,RACHEL",1,three pointer,missed,Centre,rachel jennings,,386
29,17,hendrix,Hendrix,Centre,74-45,74,45,"20, 16, 19, 19, 74","16, 12, 5, 12, 45",20,16,19,19,74,16,12,5,12,45,"9-8,3-3 SAA","2-14,0-6 SAA",01/17/20,Win,476,No Location Recorded,6:00 PM,H,29,--,,,,,"REBOUND OFF by HICKS,ELLEN",,,"REBOUND OFF by HICKS,ELLEN",1,offensive rebound,,Centre,ellen hicks,,
30,17,hendrix,Hendrix,Centre,74-45,74,45,"20, 16, 19, 19, 74","16, 12, 5, 12, 45",20,16,19,19,74,16,12,5,12,45,"9-8,3-3 SAA","2-14,0-6 SAA",01/17/20,Win,476,No Location Recorded,6:00 PM,H,30,06:17,,,,,"MISS 3PTR by WILSON,KAT",,,"MISS 3PTR by WILSON,KAT",1,three pointer,missed,Centre,kat wilson,,377
31,17,hendrix,Hendrix,Centre,74-45,74,45,"20, 16, 19, 19, 74","16, 12, 5, 12, 45",20,16,19,19,74,16,12,5,12,45,"9-8,3-3 SAA","2-14,0-6 SAA",01/17/20,Win,476,No Location Recorded,6:00 PM,H,31,--,"REBOUND DEF by ISBELL,ALI",,,,,,,"REBOUND DEF by ISBELL,ALI",1,defensive rebound,,hendrix,ali isbell,,
32,17,hendrix,Hendrix,Centre,74-45,74,45,"20, 16, 19, 19, 74","16, 12, 5, 12, 45",20,16,19,19,74,16,12,5,12,45,"9-8,3-3 SAA","2-14,0-6 SAA",01/17/20,Win,476,No Location Recorded,6:00 PM,H,32,06:07,"GOOD LAYUP by ISBELL,ALI(in the paint)",10 (+3),,7,,Hend 10-7 (-3),,"GOOD LAYUP by ISBELL,ALI(in the paint)",1,layup,good,hendrix,ali isbell,2,367
33,17,hendrix,Hendrix,Centre,74-45,74,45,"20, 16, 19, 19, 74","16, 12, 5, 12, 45",20,16,19,19,74,16,12,5,12,45,"9-8,3-3 SAA","2-14,0-6 SAA",01/17/20,Win,476,No Location Recorded,6:00 PM,H,33,05:46,,,,,"TURNOVER  by FEE,MIKAYLA",,,"TURNOVER  by FEE,MIKAYLA",1,turnover,,Centre,mikayla fee,,346
34,17,hendrix,Hendrix,Centre,74-45,74,45,"20, 16, 19, 19, 74","16, 12, 5, 12, 45",20,16,19,19,74,16,12,5,12,45,"9-8,3-3 SAA","2-14,0-6 SAA",01/17/20,Win,476,No Location Recorded,6:00 PM,H,34,05:41,,,,,"SUB OUT by WILSON,KAT",,,"SUB OUT by WILSON,KAT",1,subbing out,,Centre,kat wilson,,341
35,17,hendrix,Hendrix,Centre,74-45,74,45,"20, 16, 19, 19, 74","16, 12, 5, 12, 45",20,16,19,19,74,16,12,5,12,45,"9-8,3-3 SAA","2-14,0-6 SAA",01/17/20,Win,476,No Location Recorded,6:00 PM,H,35,05:41,,,,,"SUB OUT by HICKS,ELLEN",,,"SUB OUT by HICKS,ELLEN",1,subbing out,,Centre,ellen hicks,,341
36,17,hendrix,Hendrix,Centre,74-45,74,45,"20, 16, 19, 19, 74","16, 12, 5, 12, 45",20,16,19,19,74,16,12,5,12,45,"9-8,3-3 SAA","2-14,0-6 SAA",01/17/20,Win,476,No Location Recorded,6:00 PM,H,36,05:41,,,,,"SUB OUT by FEE,MIKAYLA",,,"SUB OUT by FEE,MIKAYLA",1,subbing out,,Centre,mikayla fee,,341
37,17,hendrix,Hendrix,Centre,74-45,74,45,"20, 16, 19, 19, 74","16, 12, 5, 12, 45",20,16,19,19,74,16,12,5,12,45,"9-8,3-3 SAA","2-14,0-6 SAA",01/17/20,Win,476,No Location Recorded,6:00 PM,H,37,05:41,,,,,"SUB IN by ROBERTS,BRIANNA",,,"SUB IN by ROBERTS,BRIANNA",1,subbing in,,Centre,brianna roberts,,341
38,17,hendrix,Hendrix,Centre,74-45,74,45,"20, 16, 19, 19, 74","16, 12, 5, 12, 45",20,16,19,19,74,16,12,5,12,45,"9-8,3-3 SAA","2-14,0-6 SAA",01/17/20,Win,476,No Location Recorded,6:00 PM,H,38,05:41,,,,,"SUB IN by WEHBY,ABIGAIL",,,"SUB IN by WEHBY,ABIGAIL",1,subbing in,,Centre,abigail wehby,,341
39,17,hendrix,Hendrix,Centre,74-45,74,45,"20, 16, 19, 19, 74","16, 12, 5, 12, 45",20,16,19,19,74,16,12,5,12,45,"9-8,3-3 SAA","2-14,0-6 SAA",01/17/20,Win,476,No Location Recorded,6:00 PM,H,39,05:41,,,,,"SUB IN by THACKER,JOSIE",,,"SUB IN by THACKER,JOSIE",1,subbing in,,Centre,josie thacker,,341
40,17,hendrix,Hendrix,Centre,74-45,74,45,"20, 16, 19, 19, 74","16, 12, 5, 12, 45",20,16,19,19,74,16,12,5,12,45,"9-8,3-3 SAA","2-14,0-6 SAA",01/17/20,Win,476,No Location Recorded,6:00 PM,H,40,05:20,"SUB OUT by ISBELL,ALI",,,,,,,"SUB OUT by ISBELL,ALI",1,subbing out,,hendrix,ali isbell,,320
41,17,hendrix,Hendrix,Centre,74-45,74,45,"20, 16, 19, 19, 74","16, 12, 5, 12, 45",20,16,19,19,74,16,12,5,12,45,"9-8,3-3 SAA","2-14,0-6 SAA",01/17/20,Win,476,No Location Recorded,6:00 PM,H,41,05:20,"SUB OUT by WENDT,CAROLINE",,,,,,,"SUB OUT by WENDT,CAROLINE",1,subbing out,,hendrix,caroline wendt,,320
42,17,hendrix,Hendrix,Centre,74-45,74,45,"20, 16, 19, 19, 74","16, 12, 5, 12, 45",20,16,19,19,74,16,12,5,12,45,"9-8,3-3 SAA","2-14,0-6 SAA",01/17/20,Win,476,No Location Recorded,6:00 PM,H,42,05:20,"SUB IN by MOJAVER,ZOE",,,,,,,"SUB IN by MOJAVER,ZOE",1,subbing in,,hendrix,zoe mojaver,,320
43,17,hendrix,Hendrix,Centre,74-45,74,45,"20, 16, 19, 19, 74","16, 12, 5, 12, 45",20,16,19,19,74,16,12,5,12,45,"9-8,3-3 SAA","2-14,0-6 SAA",01/17/20,Win,476,No Location Recorded,6:00 PM,H,43,05:20,"SUB IN by NEILSON,BELLE",,,,,,,"SUB IN by NEILSON,BELLE",1,subbing in,,hendrix,belle neilson,,320
