,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,MARYMO~2,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
25,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,25,06:39,"TURNOVER  by FEE,MIKAYLA",,,,,,,"TURNOVER  by FEE,MIKAYLA",1,turnover,,Centre,mikayla fee,,399
26,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,26,06:39,"SUB IN by THACKER,JOSIE",,,,,,,"SUB IN by THACKER,JOSIE",1,subbing in,,Centre,josie thacker,,399
27,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,27,06:39,"SUB IN by ROBERTS,BRIANNA",,,,,,,"SUB IN by ROBERTS,BRIANNA",1,subbing in,,Centre,brianna roberts,,399
28,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,28,06:39,"SUB IN by MURRAY,KYLEE",,,,,,,"SUB IN by MURRAY,KYLEE",1,subbing in,,Centre,kylee murray,,399
29,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,29,06:39,"SUB OUT by FEE,MIKAYLA",,,,,,,"SUB OUT by FEE,MIKAYLA",1,subbing out,,Centre,mikayla fee,,399
30,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,30,06:39,"SUB OUT by HICKS,ELLEN",,,,,,,"SUB OUT by HICKS,ELLEN",1,subbing out,,Centre,ellen hicks,,399
31,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,31,06:39,"SUB OUT by WILSON,KAT",,,,,,,"SUB OUT by WILSON,KAT",1,subbing out,,Centre,kat wilson,,399
32,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,32,06:28,"FOUL  by THACKER,JOSIE",,,,,,,"FOUL  by THACKER,JOSIE",1,foul,,Centre,josie thacker,,388
33,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,33,06:28,,,,,"MISS FT by FISHER,ABBY",,,"MISS FT by FISHER,ABBY",1,free throw,missed,marymount,abby fisher,,388
34,10,marymount,Centre,Marymount,58-53,58,53,"9, 14, 19, 16, 58","11, 16, 17, 9, 53",9,14,19,16,58,11,16,17,9,53,4-6,8-2,12/19/19,Win,101,No Location Recorded,6 p.m.,N,34,--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1,deadball rebound,,Centre,,,
