,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
23,10,hendrix,Centre,Hendrix,54-53,54,53,"13, 11, 18, 12, 54","11, 11, 12, 19, 53",13,11,18,12,54,11,11,12,19,53,"4-6, 4-6 SAA","1-11, 1-11 SAA",03/06/21,Win,15,No Location Recorded,1:00 PM CT,A,23,--,"REBOUND DEF by MARCUM,MADISON",,,,,,,"REBOUND DEF by MARCUM,MADISON",1,defensive rebound,,Centre,madison marcum,,
24,10,hendrix,Centre,Hendrix,54-53,54,53,"13, 11, 18, 12, 54","11, 11, 12, 19, 53",13,11,18,12,54,11,11,12,19,53,"4-6, 4-6 SAA","1-11, 1-11 SAA",03/06/21,Win,15,No Location Recorded,1:00 PM CT,A,24,07:36,"MISS 3PTR by MURRAY,KYLEE",,,,,,,"MISS 3PTR by MURRAY,KYLEE",1,three pointer,missed,Centre,kylee murray,,456
25,10,hendrix,Centre,Hendrix,54-53,54,53,"13, 11, 18, 12, 54","11, 11, 12, 19, 53",13,11,18,12,54,11,11,12,19,53,"4-6, 4-6 SAA","1-11, 1-11 SAA",03/06/21,Win,15,No Location Recorded,1:00 PM CT,A,25,--,,,,,"REBOUND DEF by BURNS,KENNEDI",,,"REBOUND DEF by BURNS,KENNEDI",1,defensive rebound,,hendrix,kennedi burns,,
26,10,hendrix,Centre,Hendrix,54-53,54,53,"13, 11, 18, 12, 54","11, 11, 12, 19, 53",13,11,18,12,54,11,11,12,19,53,"4-6, 4-6 SAA","1-11, 1-11 SAA",03/06/21,Win,15,No Location Recorded,1:00 PM CT,A,26,07:27,,,,,"MISS 3PTR by PIERCE,MADI",,,"MISS 3PTR by PIERCE,MADI",1,three pointer,missed,hendrix,madi pierce,,447
27,10,hendrix,Centre,Hendrix,54-53,54,53,"13, 11, 18, 12, 54","11, 11, 12, 19, 53",13,11,18,12,54,11,11,12,19,53,"4-6, 4-6 SAA","1-11, 1-11 SAA",03/06/21,Win,15,No Location Recorded,1:00 PM CT,A,27,--,,,,,"REBOUND OFF by BURNS,KENNEDI",,,"REBOUND OFF by BURNS,KENNEDI",1,offensive rebound,,hendrix,kennedi burns,,
28,10,hendrix,Centre,Hendrix,54-53,54,53,"13, 11, 18, 12, 54","11, 11, 12, 19, 53",13,11,18,12,54,11,11,12,19,53,"4-6, 4-6 SAA","1-11, 1-11 SAA",03/06/21,Win,15,No Location Recorded,1:00 PM CT,A,28,07:23,"FOUL  by HICKS,ELLEN",,,,,,,"FOUL  by HICKS,ELLEN",1,foul,,Centre,ellen hicks,,443
29,10,hendrix,Centre,Hendrix,54-53,54,53,"13, 11, 18, 12, 54","11, 11, 12, 19, 53",13,11,18,12,54,11,11,12,19,53,"4-6, 4-6 SAA","1-11, 1-11 SAA",03/06/21,Win,15,No Location Recorded,1:00 PM CT,A,29,07:23,"SUB IN by CHIRICO,PRESLEY",,,,,,,"SUB IN by CHIRICO,PRESLEY",1,subbing in,,Centre,presley chirico,,443
30,10,hendrix,Centre,Hendrix,54-53,54,53,"13, 11, 18, 12, 54","11, 11, 12, 19, 53",13,11,18,12,54,11,11,12,19,53,"4-6, 4-6 SAA","1-11, 1-11 SAA",03/06/21,Win,15,No Location Recorded,1:00 PM CT,A,30,07:23,"SUB IN by DUGGINS,NATALIE",,,,,,,"SUB IN by DUGGINS,NATALIE",1,subbing in,,Centre,natalie duggins,,443
31,10,hendrix,Centre,Hendrix,54-53,54,53,"13, 11, 18, 12, 54","11, 11, 12, 19, 53",13,11,18,12,54,11,11,12,19,53,"4-6, 4-6 SAA","1-11, 1-11 SAA",03/06/21,Win,15,No Location Recorded,1:00 PM CT,A,31,07:23,"SUB OUT by MURRAY,KYLEE",,,,,,,"SUB OUT by MURRAY,KYLEE",1,subbing out,,Centre,kylee murray,,443
32,10,hendrix,Centre,Hendrix,54-53,54,53,"13, 11, 18, 12, 54","11, 11, 12, 19, 53",13,11,18,12,54,11,11,12,19,53,"4-6, 4-6 SAA","1-11, 1-11 SAA",03/06/21,Win,15,No Location Recorded,1:00 PM CT,A,32,07:23,"SUB OUT by HICKS,ELLEN",,,,,,,"SUB OUT by HICKS,ELLEN",1,subbing out,,Centre,ellen hicks,,443
33,10,hendrix,Centre,Hendrix,54-53,54,53,"13, 11, 18, 12, 54","11, 11, 12, 19, 53",13,11,18,12,54,11,11,12,19,53,"4-6, 4-6 SAA","1-11, 1-11 SAA",03/06/21,Win,15,No Location Recorded,1:00 PM CT,A,33,07:19,,2,,5 (+3),"GOOD JUMPER by JENKINS,KESSIE",HENDRIX 2-5 (-3),,"GOOD JUMPER by JENKINS,KESSIE",1,jumper,good,hendrix,kessie jenkins,2,439
34,10,hendrix,Centre,Hendrix,54-53,54,53,"13, 11, 18, 12, 54","11, 11, 12, 19, 53",13,11,18,12,54,11,11,12,19,53,"4-6, 4-6 SAA","1-11, 1-11 SAA",03/06/21,Win,15,No Location Recorded,1:00 PM CT,A,34,--,,,,,"ASSIST  by WOPPMAN,RACHEL",,,"ASSIST  by WOPPMAN,RACHEL",1,assist,,hendrix,rachel woppman,,
