,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
24,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,24,06:57,"TURNOVER  by ANDREASSEN,CAROLINE",,,,,,,"TURNOVER  by ANDREASSEN,CAROLINE",1,turnover,,Centre,caroline andreassen,,417
25,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,25,06:40,,,,,"MISS JUMPER by TAYLOR,BELLA",,,"MISS JUMPER by TAYLOR,BELLA",1,jumper,missed,sewanee,bella taylor,,400
26,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,26,--,"REBOUND DEF by MOORE,LAUREN",,,,,,,"REBOUND DEF by MOORE,LAUREN",1,defensive rebound,,Centre,lauren moore,,
27,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,27,06:29,"GOOD 3PTR by SCHAD,OLIVIA",13 (+7),,6,,CENTRE 13-6 (+7),,"GOOD 3PTR by SCHAD,OLIVIA",1,three pointer,good,Centre,olivia schad,3,389
28,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,28,--,"ASSIST  by MILLER,LAKKEN",,,,,,,"ASSIST  by MILLER,LAKKEN",1,assist,,Centre,lakken miller,,
29,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,29,06:11,,13 (+4),,9,"GOOD 3PTR by ROSE,SAVANNAH",SEWANEE 13-9 (+4),,"GOOD 3PTR by ROSE,SAVANNAH",1,three pointer,good,sewanee,savannah rose,3,371
30,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,30,--,,,,,"ASSIST  by CAULDER,COREY",,,"ASSIST  by CAULDER,COREY",1,assist,,sewanee,corey caulder,,
31,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,31,05:50,"GOOD 3PTR by ANDREASSEN,CAROLINE",16 (+7),,9,,CENTRE 16-9 (+7),,"GOOD 3PTR by ANDREASSEN,CAROLINE",1,three pointer,good,Centre,caroline andreassen,3,350
32,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,32,05:35,,,,,"FOUL  by LYERLY,HALEY",,,"FOUL  by LYERLY,HALEY",1,foul,,sewanee,haley lyerly,,335
33,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,33,05:35,,,,,"TURNOVER  by LYERLY,HALEY",,,"TURNOVER  by LYERLY,HALEY",1,turnover,,sewanee,haley lyerly,,335
34,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,34,05:35,"SUB IN by BALLARD,AMI",,,,,,,"SUB IN by BALLARD,AMI",1,subbing in,,Centre,ami ballard,,335
35,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,35,05:35,"SUB IN by FEE,MIKAYLA",,,,,,,"SUB IN by FEE,MIKAYLA",1,subbing in,,Centre,mikayla fee,,335
36,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,36,05:35,"SUB IN by STEWART,ABIGAIL",,,,,,,"SUB IN by STEWART,ABIGAIL",1,subbing in,,Centre,abigail stewart,,335
37,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,37,05:35,"SUB IN by KELLAM,PAIGE",,,,,,,"SUB IN by KELLAM,PAIGE",1,subbing in,,Centre,paige kellam,,335
38,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,38,05:35,"SUB OUT by MILLER,LAKKEN",,,,,,,"SUB OUT by MILLER,LAKKEN",1,subbing out,,Centre,lakken miller,,335
39,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,39,05:35,"SUB OUT by BUNNER,CHEYENNE",,,,,,,"SUB OUT by BUNNER,CHEYENNE",1,subbing out,,Centre,cheyenne bunner,,335
40,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,40,05:35,"SUB OUT by MOORE,LAUREN",,,,,,,"SUB OUT by MOORE,LAUREN",1,subbing out,,Centre,lauren moore,,335
41,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,41,05:35,"SUB OUT by SCHAD,OLIVIA",,,,,,,"SUB OUT by SCHAD,OLIVIA",1,subbing out,,Centre,olivia schad,,335
42,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,42,05:30,"GOOD JUMPER by STEWART,ABIGAIL",18 (+9),,9,,CENTRE 18-9 (+9),,"GOOD JUMPER by STEWART,ABIGAIL",1,jumper,good,Centre,abigail stewart,2,330
43,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,43,05:22,,,,,"TURNOVER  by TAYLOR,BELLA",,,"TURNOVER  by TAYLOR,BELLA",1,turnover,,sewanee,bella taylor,,322
44,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,44,04:45,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1,timeout,,sewanee,,,285
45,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,45,04:45,,,,,"SUB IN by HITCHCOCK,ALLISON",,,"SUB IN by HITCHCOCK,ALLISON",1,subbing in,,sewanee,allison hitchcock,,285
46,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,46,04:45,,,,,"SUB IN by KIM,SUE",,,"SUB IN by KIM,SUE",1,subbing in,,sewanee,sue kim,,285
47,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,47,04:45,,,,,"SUB OUT by ROSE,SAVANNAH",,,"SUB OUT by ROSE,SAVANNAH",1,subbing out,,sewanee,savannah rose,,285
48,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,48,04:45,,,,,"SUB OUT by LYERLY,HALEY",,,"SUB OUT by LYERLY,HALEY",1,subbing out,,sewanee,haley lyerly,,285
49,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,49,04:33,"GOOD JUMPER by STEWART,ABIGAIL",20 (+11),,9,,CENTRE 20-9 (+11),,"GOOD JUMPER by STEWART,ABIGAIL",1,jumper,good,Centre,abigail stewart,2,273
50,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,50,--,"ASSIST  by ANDREASSEN,CAROLINE",,,,,,,"ASSIST  by ANDREASSEN,CAROLINE",1,assist,,Centre,caroline andreassen,,
51,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,51,04:17,,20 (+8),,12,"GOOD 3PTR by HITCHCOCK,ALLISON",SEWANEE 20-12 (+8),,"GOOD 3PTR by HITCHCOCK,ALLISON",1,three pointer,good,sewanee,allison hitchcock,3,257
52,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,52,--,,,,,"ASSIST  by MCCORMACK,HANNAH",,,"ASSIST  by MCCORMACK,HANNAH",1,assist,,sewanee,hannah mccormack,,
53,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,53,03:53,"MISS 3PTR by BALLARD,AMI",,,,,,,"MISS 3PTR by BALLARD,AMI",1,three pointer,missed,Centre,ami ballard,,233
54,25,sewanee,Centre,Sewanee,73-66,73,66,"23, 16, 17, 17, 73","21, 11, 16, 18, 66",23,16,17,17,73,21,11,16,18,66,"7-18, 5-9 SAA","9-15, 6-8 SAA",02/18/17,Win,230,No Location Recorded,1:00 PM,A,54,--,,,,,"REBOUND DEF by KIM,SUE",,,"REBOUND DEF by KIM,SUE",1,defensive rebound,,sewanee,sue kim,,
