,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,MVCW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
26,3,maryville-tenn-,Maryville (Tenn.),Centre,39-73,39,73,"9, 4, 14, 12, 39","17, 15, 26, 15, 73",9,4,14,12,39,17,15,26,15,73,0-3,2-0,11/19/16,Lose,231,No Location Recorded,3:00 PM,H,26,07:16,,6 (+3),,3,"GOOD 3PTR by MILLER,LAKKEN",CENTRE-W 6-3 (-3),,"GOOD 3PTR by MILLER,LAKKEN",1,three pointer,good,Centre,lakken miller,3,436
27,3,maryville-tenn-,Maryville (Tenn.),Centre,39-73,39,73,"9, 4, 14, 12, 39","17, 15, 26, 15, 73",9,4,14,12,39,17,15,26,15,73,0-3,2-0,11/19/16,Lose,231,No Location Recorded,3:00 PM,H,27,--,,,,,"ASSIST  by STEWART,ABIGAIL",,,"ASSIST  by STEWART,ABIGAIL",1,assist,,Centre,abigail stewart,,
28,3,maryville-tenn-,Maryville (Tenn.),Centre,39-73,39,73,"9, 4, 14, 12, 39","17, 15, 26, 15, 73",9,4,14,12,39,17,15,26,15,73,0-3,2-0,11/19/16,Lose,231,No Location Recorded,3:00 PM,H,28,06:52,"MISS JUMPER by MAPLES,MADISON",,,,,,,"MISS JUMPER by MAPLES,MADISON",1,jumper,missed,maryville (tenn.),madison maples,,412
29,3,maryville-tenn-,Maryville (Tenn.),Centre,39-73,39,73,"9, 4, 14, 12, 39","17, 15, 26, 15, 73",9,4,14,12,39,17,15,26,15,73,0-3,2-0,11/19/16,Lose,231,No Location Recorded,3:00 PM,H,29,--,,,,,"REBOUND DEF by VANCE,DAY",,,"REBOUND DEF by VANCE,DAY",1,defensive rebound,,Centre,day vance,,
30,3,maryville-tenn-,Maryville (Tenn.),Centre,39-73,39,73,"9, 4, 14, 12, 39","17, 15, 26, 15, 73",9,4,14,12,39,17,15,26,15,73,0-3,2-0,11/19/16,Lose,231,No Location Recorded,3:00 PM,H,30,06:35,,,,,"TURNOVER  by VANCE,DAY",,,"TURNOVER  by VANCE,DAY",1,turnover,,Centre,day vance,,395
31,3,maryville-tenn-,Maryville (Tenn.),Centre,39-73,39,73,"9, 4, 14, 12, 39","17, 15, 26, 15, 73",9,4,14,12,39,17,15,26,15,73,0-3,2-0,11/19/16,Lose,231,No Location Recorded,3:00 PM,H,31,06:35,,,,,"SUB IN by GOETZ,ABBY",,,"SUB IN by GOETZ,ABBY",1,subbing in,,Centre,abby goetz,,395
32,3,maryville-tenn-,Maryville (Tenn.),Centre,39-73,39,73,"9, 4, 14, 12, 39","17, 15, 26, 15, 73",9,4,14,12,39,17,15,26,15,73,0-3,2-0,11/19/16,Lose,231,No Location Recorded,3:00 PM,H,32,06:35,,,,,"SUB IN by BUNNER,CHEYENNE",,,"SUB IN by BUNNER,CHEYENNE",1,subbing in,,Centre,cheyenne bunner,,395
33,3,maryville-tenn-,Maryville (Tenn.),Centre,39-73,39,73,"9, 4, 14, 12, 39","17, 15, 26, 15, 73",9,4,14,12,39,17,15,26,15,73,0-3,2-0,11/19/16,Lose,231,No Location Recorded,3:00 PM,H,33,06:35,,,,,"SUB IN by MOORE,LAUREN",,,"SUB IN by MOORE,LAUREN",1,subbing in,,Centre,lauren moore,,395
34,3,maryville-tenn-,Maryville (Tenn.),Centre,39-73,39,73,"9, 4, 14, 12, 39","17, 15, 26, 15, 73",9,4,14,12,39,17,15,26,15,73,0-3,2-0,11/19/16,Lose,231,No Location Recorded,3:00 PM,H,34,06:35,,,,,"SUB IN by BALLARD,AMI",,,"SUB IN by BALLARD,AMI",1,subbing in,,Centre,ami ballard,,395
35,3,maryville-tenn-,Maryville (Tenn.),Centre,39-73,39,73,"9, 4, 14, 12, 39","17, 15, 26, 15, 73",9,4,14,12,39,17,15,26,15,73,0-3,2-0,11/19/16,Lose,231,No Location Recorded,3:00 PM,H,35,06:35,,,,,"SUB OUT by VANCE,DAY",,,"SUB OUT by VANCE,DAY",1,subbing out,,Centre,day vance,,395
36,3,maryville-tenn-,Maryville (Tenn.),Centre,39-73,39,73,"9, 4, 14, 12, 39","17, 15, 26, 15, 73",9,4,14,12,39,17,15,26,15,73,0-3,2-0,11/19/16,Lose,231,No Location Recorded,3:00 PM,H,36,06:35,,,,,"SUB OUT by ANDREASSEN,CAROLINE",,,"SUB OUT by ANDREASSEN,CAROLINE",1,subbing out,,Centre,caroline andreassen,,395
37,3,maryville-tenn-,Maryville (Tenn.),Centre,39-73,39,73,"9, 4, 14, 12, 39","17, 15, 26, 15, 73",9,4,14,12,39,17,15,26,15,73,0-3,2-0,11/19/16,Lose,231,No Location Recorded,3:00 PM,H,37,06:35,,,,,"SUB OUT by STEWART,ABIGAIL",,,"SUB OUT by STEWART,ABIGAIL",1,subbing out,,Centre,abigail stewart,,395
38,3,maryville-tenn-,Maryville (Tenn.),Centre,39-73,39,73,"9, 4, 14, 12, 39","17, 15, 26, 15, 73",9,4,14,12,39,17,15,26,15,73,0-3,2-0,11/19/16,Lose,231,No Location Recorded,3:00 PM,H,38,06:35,,,,,"SUB OUT by SCHAD,OLIVIA",,,"SUB OUT by SCHAD,OLIVIA",1,subbing out,,Centre,olivia schad,,395
39,3,maryville-tenn-,Maryville (Tenn.),Centre,39-73,39,73,"9, 4, 14, 12, 39","17, 15, 26, 15, 73",9,4,14,12,39,17,15,26,15,73,0-3,2-0,11/19/16,Lose,231,No Location Recorded,3:00 PM,H,39,06:23,"MISS JUMPER by FREIERMUTH,ALLYSON",,,,,,,"MISS JUMPER by FREIERMUTH,ALLYSON",1,jumper,missed,maryville (tenn.),allyson freiermuth,,383
40,3,maryville-tenn-,Maryville (Tenn.),Centre,39-73,39,73,"9, 4, 14, 12, 39","17, 15, 26, 15, 73",9,4,14,12,39,17,15,26,15,73,0-3,2-0,11/19/16,Lose,231,No Location Recorded,3:00 PM,H,40,06:23,,,,,"BLOCK  by MOORE,LAUREN",,,"BLOCK  by MOORE,LAUREN",1,block,,Centre,lauren moore,,383
41,3,maryville-tenn-,Maryville (Tenn.),Centre,39-73,39,73,"9, 4, 14, 12, 39","17, 15, 26, 15, 73",9,4,14,12,39,17,15,26,15,73,0-3,2-0,11/19/16,Lose,231,No Location Recorded,3:00 PM,H,41,--,,,,,"REBOUND DEF by BUNNER,CHEYENNE",,,"REBOUND DEF by BUNNER,CHEYENNE",1,defensive rebound,,Centre,cheyenne bunner,,
42,3,maryville-tenn-,Maryville (Tenn.),Centre,39-73,39,73,"9, 4, 14, 12, 39","17, 15, 26, 15, 73",9,4,14,12,39,17,15,26,15,73,0-3,2-0,11/19/16,Lose,231,No Location Recorded,3:00 PM,H,42,06:19,,,,,"TURNOVER  by BUNNER,CHEYENNE",,,"TURNOVER  by BUNNER,CHEYENNE",1,turnover,,Centre,cheyenne bunner,,379
43,3,maryville-tenn-,Maryville (Tenn.),Centre,39-73,39,73,"9, 4, 14, 12, 39","17, 15, 26, 15, 73",9,4,14,12,39,17,15,26,15,73,0-3,2-0,11/19/16,Lose,231,No Location Recorded,3:00 PM,H,43,06:18,"STEAL  by BILITER,LAUREN",,,,,,,"STEAL  by BILITER,LAUREN",1,steal,,maryville (tenn.),,,378
44,3,maryville-tenn-,Maryville (Tenn.),Centre,39-73,39,73,"9, 4, 14, 12, 39","17, 15, 26, 15, 73",9,4,14,12,39,17,15,26,15,73,0-3,2-0,11/19/16,Lose,231,No Location Recorded,3:00 PM,H,44,06:16,"GOOD LAYUP by MAPLES,MADISON(in the paint)",8 (+5),,3,,MVCW 8-3 (-5),,"GOOD LAYUP by MAPLES,MADISON(in the paint)",1,layup,good,maryville (tenn.),madison maples,2,376
45,3,maryville-tenn-,Maryville (Tenn.),Centre,39-73,39,73,"9, 4, 14, 12, 39","17, 15, 26, 15, 73",9,4,14,12,39,17,15,26,15,73,0-3,2-0,11/19/16,Lose,231,No Location Recorded,3:00 PM,H,45,--,"ASSIST  by BILITER,LAUREN",,,,,,,"ASSIST  by BILITER,LAUREN",1,assist,,maryville (tenn.),lauren biliter,,
46,3,maryville-tenn-,Maryville (Tenn.),Centre,39-73,39,73,"9, 4, 14, 12, 39","17, 15, 26, 15, 73",9,4,14,12,39,17,15,26,15,73,0-3,2-0,11/19/16,Lose,231,No Location Recorded,3:00 PM,H,46,06:05,"FOUL  by FREIERMUTH,ALLYSON",,,,,,,"FOUL  by FREIERMUTH,ALLYSON",1,foul,,maryville (tenn.),allyson freiermuth,,365
47,3,maryville-tenn-,Maryville (Tenn.),Centre,39-73,39,73,"9, 4, 14, 12, 39","17, 15, 26, 15, 73",9,4,14,12,39,17,15,26,15,73,0-3,2-0,11/19/16,Lose,231,No Location Recorded,3:00 PM,H,47,06:05,,,,,"MISS FT by MOORE,LAUREN",,,"MISS FT by MOORE,LAUREN",1,free throw,missed,Centre,lauren moore,,365
48,3,maryville-tenn-,Maryville (Tenn.),Centre,39-73,39,73,"9, 4, 14, 12, 39","17, 15, 26, 15, 73",9,4,14,12,39,17,15,26,15,73,0-3,2-0,11/19/16,Lose,231,No Location Recorded,3:00 PM,H,48,--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1,deadball rebound,,Centre,,,
