,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,MT. ST.,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
24,5,mt-st-joseph,Centre,Mt. St. Joseph,63-51,63,51,"16, 16, 10, 21","16, 6, 13, 16",16,16,10,21,16,6,13,16,No record reported,No record reported,11/26/16,Win,No Attendence Recorded,No Location Recorded,3:00 PM,A,24,07:14,,9,,9,"GOOD LAYUP by STUDER,LAINEE(in the paint)",MT. ST. 9-9 (0),,"GOOD LAYUP by STUDER,LAINEE(in the paint)",1,layup,good,mt. st. joseph,lainee studer,2,434
25,5,mt-st-joseph,Centre,Mt. St. Joseph,63-51,63,51,"16, 16, 10, 21","16, 6, 13, 16",16,16,10,21,16,6,13,16,No record reported,No record reported,11/26/16,Win,No Attendence Recorded,No Location Recorded,3:00 PM,A,25,07:14,,,,,"TURNOVER  by ELLINGHAUSEN,KIANA",,,"TURNOVER  by ELLINGHAUSEN,KIANA",1,turnover,,mt. st. joseph,kiana ellinghausen,,434
26,5,mt-st-joseph,Centre,Mt. St. Joseph,63-51,63,51,"16, 16, 10, 21","16, 6, 13, 16",16,16,10,21,16,6,13,16,No record reported,No record reported,11/26/16,Win,No Attendence Recorded,No Location Recorded,3:00 PM,A,26,07:14,"STEAL  by MILLER,LAKKEN",,,,,,,"STEAL  by MILLER,LAKKEN",1,steal,,Centre,,,434
27,5,mt-st-joseph,Centre,Mt. St. Joseph,63-51,63,51,"16, 16, 10, 21","16, 6, 13, 16",16,16,10,21,16,6,13,16,No record reported,No record reported,11/26/16,Win,No Attendence Recorded,No Location Recorded,3:00 PM,A,27,07:14,"MISS JUMPER by MILLER,LAKKEN",,,,,,,"MISS JUMPER by MILLER,LAKKEN",1,jumper,missed,Centre,lakken miller,,434
28,5,mt-st-joseph,Centre,Mt. St. Joseph,63-51,63,51,"16, 16, 10, 21","16, 6, 13, 16",16,16,10,21,16,6,13,16,No record reported,No record reported,11/26/16,Win,No Attendence Recorded,No Location Recorded,3:00 PM,A,28,07:14,,,,,"BLOCK  by BURCHARD,NATALIE",,,"BLOCK  by BURCHARD,NATALIE",1,block,,mt. st. joseph,natalie burchard,,434
29,5,mt-st-joseph,Centre,Mt. St. Joseph,63-51,63,51,"16, 16, 10, 21","16, 6, 13, 16",16,16,10,21,16,6,13,16,No record reported,No record reported,11/26/16,Win,No Attendence Recorded,No Location Recorded,3:00 PM,A,29,--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1,offensive rebound,,Centre,,,
30,5,mt-st-joseph,Centre,Mt. St. Joseph,63-51,63,51,"16, 16, 10, 21","16, 6, 13, 16",16,16,10,21,16,6,13,16,No record reported,No record reported,11/26/16,Win,No Attendence Recorded,No Location Recorded,3:00 PM,A,30,07:14,,9,,10 (+1),"GOOD FT by STUDER,LAINEE",MT. ST. 9-10 (-1),,"GOOD FT by STUDER,LAINEE",1,free throw,good,mt. st. joseph,lainee studer,1,434
31,5,mt-st-joseph,Centre,Mt. St. Joseph,63-51,63,51,"16, 16, 10, 21","16, 6, 13, 16",16,16,10,21,16,6,13,16,No record reported,No record reported,11/26/16,Win,No Attendence Recorded,No Location Recorded,3:00 PM,A,31,07:14,"SUB IN by RICE,MADISON",,,,,,,"SUB IN by RICE,MADISON",1,subbing in,,Centre,madison rice,,434
32,5,mt-st-joseph,Centre,Mt. St. Joseph,63-51,63,51,"16, 16, 10, 21","16, 6, 13, 16",16,16,10,21,16,6,13,16,No record reported,No record reported,11/26/16,Win,No Attendence Recorded,No Location Recorded,3:00 PM,A,32,07:14,"SUB IN by MOORE,LAUREN",,,,,,,"SUB IN by MOORE,LAUREN",1,subbing in,,Centre,lauren moore,,434
33,5,mt-st-joseph,Centre,Mt. St. Joseph,63-51,63,51,"16, 16, 10, 21","16, 6, 13, 16",16,16,10,21,16,6,13,16,No record reported,No record reported,11/26/16,Win,No Attendence Recorded,No Location Recorded,3:00 PM,A,33,07:14,"SUB OUT by VANCE,DAY",,,,,,,"SUB OUT by VANCE,DAY",1,subbing out,,Centre,day vance,,434
