,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CCW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
29,2,covenant,Covenant,Centre,42-48,42,48,"6, 10, 10, 16, 42","10, 16, 11, 11, 48",6,10,10,16,42,10,16,11,11,48,0-2,2-0,11/18/16,Lose,198,No Location Recorded,7:00 PM,H,29,--,,,,,"REBOUND DEF by STEWART,ABIGAIL",,,"REBOUND DEF by STEWART,ABIGAIL",1,defensive rebound,,Centre,abigail stewart,,
30,2,covenant,Covenant,Centre,42-48,42,48,"6, 10, 10, 16, 42","10, 16, 11, 11, 48",6,10,10,16,42,10,16,11,11,48,0-2,2-0,11/18/16,Lose,198,No Location Recorded,7:00 PM,H,30,05:54,"FOUL  by DIRKSE,CLARA",,,,,,,"FOUL  by DIRKSE,CLARA",1,foul,,covenant,clara dirkse,,354
31,2,covenant,Covenant,Centre,42-48,42,48,"6, 10, 10, 16, 42","10, 16, 11, 11, 48",6,10,10,16,42,10,16,11,11,48,0-2,2-0,11/18/16,Lose,198,No Location Recorded,7:00 PM,H,31,05:54,"SUB IN by WILLIAMS,ALEIGHA",,,,,,,"SUB IN by WILLIAMS,ALEIGHA",1,subbing in,,covenant,aleigha williams,,354
32,2,covenant,Covenant,Centre,42-48,42,48,"6, 10, 10, 16, 42","10, 16, 11, 11, 48",6,10,10,16,42,10,16,11,11,48,0-2,2-0,11/18/16,Lose,198,No Location Recorded,7:00 PM,H,32,05:54,"SUB IN by KULITS,ALEKSANDREJA",,,,,,,"SUB IN by KULITS,ALEKSANDREJA",1,subbing in,,covenant,aleksandreja kulits,,354
33,2,covenant,Covenant,Centre,42-48,42,48,"6, 10, 10, 16, 42","10, 16, 11, 11, 48",6,10,10,16,42,10,16,11,11,48,0-2,2-0,11/18/16,Lose,198,No Location Recorded,7:00 PM,H,33,05:54,"SUB OUT by DIRKSE,CLARA",,,,,,,"SUB OUT by DIRKSE,CLARA",1,subbing out,,covenant,clara dirkse,,354
34,2,covenant,Covenant,Centre,42-48,42,48,"6, 10, 10, 16, 42","10, 16, 11, 11, 48",6,10,10,16,42,10,16,11,11,48,0-2,2-0,11/18/16,Lose,198,No Location Recorded,7:00 PM,H,34,05:54,"SUB OUT by PRICE,RACHEL",,,,,,,"SUB OUT by PRICE,RACHEL",1,subbing out,,covenant,rachel price,,354
35,2,covenant,Covenant,Centre,42-48,42,48,"6, 10, 10, 16, 42","10, 16, 11, 11, 48",6,10,10,16,42,10,16,11,11,48,0-2,2-0,11/18/16,Lose,198,No Location Recorded,7:00 PM,H,35,05:54,,,,,"SUB IN by BUNNER,CHEYENNE",,,"SUB IN by BUNNER,CHEYENNE",1,subbing in,,Centre,cheyenne bunner,,354
36,2,covenant,Covenant,Centre,42-48,42,48,"6, 10, 10, 16, 42","10, 16, 11, 11, 48",6,10,10,16,42,10,16,11,11,48,0-2,2-0,11/18/16,Lose,198,No Location Recorded,7:00 PM,H,36,05:54,,,,,"SUB IN by MOORE,LAUREN",,,"SUB IN by MOORE,LAUREN",1,subbing in,,Centre,lauren moore,,354
37,2,covenant,Covenant,Centre,42-48,42,48,"6, 10, 10, 16, 42","10, 16, 11, 11, 48",6,10,10,16,42,10,16,11,11,48,0-2,2-0,11/18/16,Lose,198,No Location Recorded,7:00 PM,H,37,05:54,,,,,"SUB IN by BALLARD,AMI",,,"SUB IN by BALLARD,AMI",1,subbing in,,Centre,ami ballard,,354
38,2,covenant,Covenant,Centre,42-48,42,48,"6, 10, 10, 16, 42","10, 16, 11, 11, 48",6,10,10,16,42,10,16,11,11,48,0-2,2-0,11/18/16,Lose,198,No Location Recorded,7:00 PM,H,38,05:54,,,,,"SUB OUT by VANCE,DAY",,,"SUB OUT by VANCE,DAY",1,subbing out,,Centre,day vance,,354
39,2,covenant,Covenant,Centre,42-48,42,48,"6, 10, 10, 16, 42","10, 16, 11, 11, 48",6,10,10,16,42,10,16,11,11,48,0-2,2-0,11/18/16,Lose,198,No Location Recorded,7:00 PM,H,39,05:54,,,,,"SUB OUT by MILLER,LAKKEN",,,"SUB OUT by MILLER,LAKKEN",1,subbing out,,Centre,lakken miller,,354
40,2,covenant,Covenant,Centre,42-48,42,48,"6, 10, 10, 16, 42","10, 16, 11, 11, 48",6,10,10,16,42,10,16,11,11,48,0-2,2-0,11/18/16,Lose,198,No Location Recorded,7:00 PM,H,40,05:54,,,,,"SUB OUT by STEWART,ABIGAIL",,,"SUB OUT by STEWART,ABIGAIL",1,subbing out,,Centre,abigail stewart,,354
