,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,HC-W,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
55,6,hanover,Hanover,Centre,50-78,50,78,"17, 8, 19, 6, 50","21, 19, 21, 17, 78",17,8,19,6,50,21,19,21,17,78,1-5,1-2,11/27/16,Lose,189,No Location Recorded,5:00 PM,H,55,05:56,"GOOD FT by MILLS,KRISTIN",11 (+8),,3,,HC-W 11-3 (-8),,"GOOD FT by MILLS,KRISTIN",1,free throw,good,hanover,kristin mills,1,356
56,6,hanover,Hanover,Centre,50-78,50,78,"17, 8, 19, 6, 50","21, 19, 21, 17, 78",17,8,19,6,50,21,19,21,17,78,1-5,1-2,11/27/16,Lose,189,No Location Recorded,5:00 PM,H,56,05:56,"SUB IN by MCAFEE,JOURDAN",,,,,,,"SUB IN by MCAFEE,JOURDAN",1,subbing in,,hanover,jourdan mcafee,,356
57,6,hanover,Hanover,Centre,50-78,50,78,"17, 8, 19, 6, 50","21, 19, 21, 17, 78",17,8,19,6,50,21,19,21,17,78,1-5,1-2,11/27/16,Lose,189,No Location Recorded,5:00 PM,H,57,05:56,"SUB OUT by NALL,ALEXIS",,,,,,,"SUB OUT by NALL,ALEXIS",1,subbing out,,hanover,alexis nall,,356
58,6,hanover,Hanover,Centre,50-78,50,78,"17, 8, 19, 6, 50","21, 19, 21, 17, 78",17,8,19,6,50,21,19,21,17,78,1-5,1-2,11/27/16,Lose,189,No Location Recorded,5:00 PM,H,58,05:48,"FOUL  by MCAFEE,JOURDAN",,,,,,,"FOUL  by MCAFEE,JOURDAN",1,foul,,hanover,jourdan mcafee,,348
59,6,hanover,Hanover,Centre,50-78,50,78,"17, 8, 19, 6, 50","21, 19, 21, 17, 78",17,8,19,6,50,21,19,21,17,78,1-5,1-2,11/27/16,Lose,189,No Location Recorded,5:00 PM,H,59,05:48,,11 (+7),,4,"GOOD FT by RICE,MADISON",CENTRE-W 11-4 (-7),,"GOOD FT by RICE,MADISON",1,free throw,good,Centre,madison rice,1,348
60,6,hanover,Hanover,Centre,50-78,50,78,"17, 8, 19, 6, 50","21, 19, 21, 17, 78",17,8,19,6,50,21,19,21,17,78,1-5,1-2,11/27/16,Lose,189,No Location Recorded,5:00 PM,H,60,05:48,,11 (+6),,5,"GOOD FT by RICE,MADISON",CENTRE-W 11-5 (-6),,"GOOD FT by RICE,MADISON",1,free throw,good,Centre,madison rice,1,348
61,6,hanover,Hanover,Centre,50-78,50,78,"17, 8, 19, 6, 50","21, 19, 21, 17, 78",17,8,19,6,50,21,19,21,17,78,1-5,1-2,11/27/16,Lose,189,No Location Recorded,5:00 PM,H,61,05:31,"GOOD JUMPER by NASH,ALLISON(in the paint)",13 (+8),,5,,HC-W 13-5 (-8),,"GOOD JUMPER by NASH,ALLISON(in the paint)",1,jumper,good,hanover,allison nash,2,331
62,6,hanover,Hanover,Centre,50-78,50,78,"17, 8, 19, 6, 50","21, 19, 21, 17, 78",17,8,19,6,50,21,19,21,17,78,1-5,1-2,11/27/16,Lose,189,No Location Recorded,5:00 PM,H,62,--,"ASSIST  by MILLS,KRISTIN",,,,,,,"ASSIST  by MILLS,KRISTIN",1,assist,,hanover,kristin mills,,
63,6,hanover,Hanover,Centre,50-78,50,78,"17, 8, 19, 6, 50","21, 19, 21, 17, 78",17,8,19,6,50,21,19,21,17,78,1-5,1-2,11/27/16,Lose,189,No Location Recorded,5:00 PM,H,63,05:20,,13 (+6),,7,"GOOD LAYUP by RICE,MADISON(in the paint)",CENTRE-W 13-7 (-6),,"GOOD LAYUP by RICE,MADISON(in the paint)",1,layup,good,Centre,madison rice,2,320
64,6,hanover,Hanover,Centre,50-78,50,78,"17, 8, 19, 6, 50","21, 19, 21, 17, 78",17,8,19,6,50,21,19,21,17,78,1-5,1-2,11/27/16,Lose,189,No Location Recorded,5:00 PM,H,64,05:06,"MISS JUMPER by KALLMEYER,HOLLY",,,,,,,"MISS JUMPER by KALLMEYER,HOLLY",1,jumper,missed,hanover,holly kallmeyer,,306
