,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,16BSC-W,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
27,19,birmingham-southern,Birmingham-Southern,Centre,50-60,50,60,"13, 15, 7, 15, 50","12, 18, 8, 22, 60",13,15,7,15,50,12,18,8,22,60,"5-14, 3-5 SAA","13-6, 8-0 SAA",01/27/17,Lose,475,No Location Recorded,6:00 PM,H,27,07:34,"FOUL  by CARTER,CAMILLIA",,,,,,,"FOUL  by CARTER,CAMILLIA",1,foul,,birmingham-southern,camillia carter,,454
28,19,birmingham-southern,Birmingham-Southern,Centre,50-60,50,60,"13, 15, 7, 15, 50","12, 18, 8, 22, 60",13,15,7,15,50,12,18,8,22,60,"5-14, 3-5 SAA","13-6, 8-0 SAA",01/27/17,Lose,475,No Location Recorded,6:00 PM,H,28,07:34,"SUB IN by BATTS,JASMYNN",,,,,,,"SUB IN by BATTS,JASMYNN",1,subbing in,,birmingham-southern,jasmynn batts,,454
29,19,birmingham-southern,Birmingham-Southern,Centre,50-60,50,60,"13, 15, 7, 15, 50","12, 18, 8, 22, 60",13,15,7,15,50,12,18,8,22,60,"5-14, 3-5 SAA","13-6, 8-0 SAA",01/27/17,Lose,475,No Location Recorded,6:00 PM,H,29,07:34,"SUB OUT by CARTER,CAMILLIA",,,,,,,"SUB OUT by CARTER,CAMILLIA",1,subbing out,,birmingham-southern,camillia carter,,454
30,19,birmingham-southern,Birmingham-Southern,Centre,50-60,50,60,"13, 15, 7, 15, 50","12, 18, 8, 22, 60",13,15,7,15,50,12,18,8,22,60,"5-14, 3-5 SAA","13-6, 8-0 SAA",01/27/17,Lose,475,No Location Recorded,6:00 PM,H,30,07:34,,,,,"SUB IN by KELLAM,PAIGE",,,"SUB IN by KELLAM,PAIGE",1,subbing in,,Centre,paige kellam,,454
31,19,birmingham-southern,Birmingham-Southern,Centre,50-60,50,60,"13, 15, 7, 15, 50","12, 18, 8, 22, 60",13,15,7,15,50,12,18,8,22,60,"5-14, 3-5 SAA","13-6, 8-0 SAA",01/27/17,Lose,475,No Location Recorded,6:00 PM,H,31,07:34,,,,,"SUB OUT by MILLER,LAKKEN",,,"SUB OUT by MILLER,LAKKEN",1,subbing out,,Centre,lakken miller,,454
32,19,birmingham-southern,Birmingham-Southern,Centre,50-60,50,60,"13, 15, 7, 15, 50","12, 18, 8, 22, 60",13,15,7,15,50,12,18,8,22,60,"5-14, 3-5 SAA","13-6, 8-0 SAA",01/27/17,Lose,475,No Location Recorded,6:00 PM,H,32,07:31,,,,,"TURNOVER  by STEWART,ABIGAIL",,,"TURNOVER  by STEWART,ABIGAIL",1,turnover,,Centre,abigail stewart,,451
33,19,birmingham-southern,Birmingham-Southern,Centre,50-60,50,60,"13, 15, 7, 15, 50","12, 18, 8, 22, 60",13,15,7,15,50,12,18,8,22,60,"5-14, 3-5 SAA","13-6, 8-0 SAA",01/27/17,Lose,475,No Location Recorded,6:00 PM,H,33,07:01,"MISS LAYUP by HOLMES,JAMEICE",,,,,,,"MISS LAYUP by HOLMES,JAMEICE",1,layup,missed,birmingham-southern,jameice holmes,,421
34,19,birmingham-southern,Birmingham-Southern,Centre,50-60,50,60,"13, 15, 7, 15, 50","12, 18, 8, 22, 60",13,15,7,15,50,12,18,8,22,60,"5-14, 3-5 SAA","13-6, 8-0 SAA",01/27/17,Lose,475,No Location Recorded,6:00 PM,H,34,07:01,,,,,"BLOCK  by STEWART,ABIGAIL",,,"BLOCK  by STEWART,ABIGAIL",1,block,,Centre,abigail stewart,,421
35,19,birmingham-southern,Birmingham-Southern,Centre,50-60,50,60,"13, 15, 7, 15, 50","12, 18, 8, 22, 60",13,15,7,15,50,12,18,8,22,60,"5-14, 3-5 SAA","13-6, 8-0 SAA",01/27/17,Lose,475,No Location Recorded,6:00 PM,H,35,--,,,,,"REBOUND DEF by STEWART,ABIGAIL",,,"REBOUND DEF by STEWART,ABIGAIL",1,defensive rebound,,Centre,abigail stewart,,
36,19,birmingham-southern,Birmingham-Southern,Centre,50-60,50,60,"13, 15, 7, 15, 50","12, 18, 8, 22, 60",13,15,7,15,50,12,18,8,22,60,"5-14, 3-5 SAA","13-6, 8-0 SAA",01/27/17,Lose,475,No Location Recorded,6:00 PM,H,36,06:44,,2,,4 (+2),"GOOD JUMPER by ANDREASSEN,CAROLINE(in the paint)",CENTRE-W 2-4 (+2),,"GOOD JUMPER by ANDREASSEN,CAROLINE(in the paint)",1,jumper,good,Centre,caroline andreassen,2,404
