,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
24,16,hendrix,Hendrix,Centre,43-41,43,41,"5, 15, 9, 14, 43","13, 3, 13, 12, 41",5,15,9,14,43,13,3,13,12,41,"5-11, 3-2 SAA","8-8, 2-3 SAA",01/15/17,Win,625,No Location Recorded,12:00 PM,H,24,06:24,,,,,"MISS JUMPER by MOORE,LAUREN",,,"MISS JUMPER by MOORE,LAUREN",1,jumper,missed,Centre,lauren moore,,384
25,16,hendrix,Hendrix,Centre,43-41,43,41,"5, 15, 9, 14, 43","13, 3, 13, 12, 41",5,15,9,14,43,13,3,13,12,41,"5-11, 3-2 SAA","8-8, 2-3 SAA",01/15/17,Win,625,No Location Recorded,12:00 PM,H,25,--,"REBOUND DEF by PROWSE,HEATHER",,,,,,,"REBOUND DEF by PROWSE,HEATHER",1,defensive rebound,,hendrix,heather prowse,,
26,16,hendrix,Hendrix,Centre,43-41,43,41,"5, 15, 9, 14, 43","13, 3, 13, 12, 41",5,15,9,14,43,13,3,13,12,41,"5-11, 3-2 SAA","8-8, 2-3 SAA",01/15/17,Win,625,No Location Recorded,12:00 PM,H,26,06:08,"MISS JUMPER by BODE,HAILEY",,,,,,,"MISS JUMPER by BODE,HAILEY",1,jumper,missed,hendrix,hailey bode,,368
27,16,hendrix,Hendrix,Centre,43-41,43,41,"5, 15, 9, 14, 43","13, 3, 13, 12, 41",5,15,9,14,43,13,3,13,12,41,"5-11, 3-2 SAA","8-8, 2-3 SAA",01/15/17,Win,625,No Location Recorded,12:00 PM,H,27,--,,,,,"REBOUND DEF by BALLARD,AMI",,,"REBOUND DEF by BALLARD,AMI",1,defensive rebound,,Centre,ami ballard,,
28,16,hendrix,Hendrix,Centre,43-41,43,41,"5, 15, 9, 14, 43","13, 3, 13, 12, 41",5,15,9,14,43,13,3,13,12,41,"5-11, 3-2 SAA","8-8, 2-3 SAA",01/15/17,Win,625,No Location Recorded,12:00 PM,H,28,05:59,,,,,"MISS 3PTR by ANDREASSEN,CAROLINE",,,"MISS 3PTR by ANDREASSEN,CAROLINE",1,three pointer,missed,Centre,caroline andreassen,,359
29,16,hendrix,Hendrix,Centre,43-41,43,41,"5, 15, 9, 14, 43","13, 3, 13, 12, 41",5,15,9,14,43,13,3,13,12,41,"5-11, 3-2 SAA","8-8, 2-3 SAA",01/15/17,Win,625,No Location Recorded,12:00 PM,H,29,--,"REBOUND DEF by DYSLIN,SARA",,,,,,,"REBOUND DEF by DYSLIN,SARA",1,defensive rebound,,hendrix,sara dyslin,,
30,16,hendrix,Hendrix,Centre,43-41,43,41,"5, 15, 9, 14, 43","13, 3, 13, 12, 41",5,15,9,14,43,13,3,13,12,41,"5-11, 3-2 SAA","8-8, 2-3 SAA",01/15/17,Win,625,No Location Recorded,12:00 PM,H,30,05:42,"GOOD LAYUP by SMITH,LEAH(in the paint)",6 (+6),,0,,HC 6-0 (-6),,"GOOD LAYUP by SMITH,LEAH(in the paint)",1,layup,good,hendrix,leah smith,2,342
31,16,hendrix,Hendrix,Centre,43-41,43,41,"5, 15, 9, 14, 43","13, 3, 13, 12, 41",5,15,9,14,43,13,3,13,12,41,"5-11, 3-2 SAA","8-8, 2-3 SAA",01/15/17,Win,625,No Location Recorded,12:00 PM,H,31,05:24,,,,,"MISS JUMPER by BALLARD,AMI",,,"MISS JUMPER by BALLARD,AMI",1,jumper,missed,Centre,ami ballard,,324
32,16,hendrix,Hendrix,Centre,43-41,43,41,"5, 15, 9, 14, 43","13, 3, 13, 12, 41",5,15,9,14,43,13,3,13,12,41,"5-11, 3-2 SAA","8-8, 2-3 SAA",01/15/17,Win,625,No Location Recorded,12:00 PM,H,32,--,"REBOUND DEF by DYSLIN,SARA",,,,,,,"REBOUND DEF by DYSLIN,SARA",1,defensive rebound,,hendrix,sara dyslin,,
33,16,hendrix,Hendrix,Centre,43-41,43,41,"5, 15, 9, 14, 43","13, 3, 13, 12, 41",5,15,9,14,43,13,3,13,12,41,"5-11, 3-2 SAA","8-8, 2-3 SAA",01/15/17,Win,625,No Location Recorded,12:00 PM,H,33,05:00,"MISS JUMPER by SMITH,LEAH",,,,,,,"MISS JUMPER by SMITH,LEAH",1,jumper,missed,hendrix,leah smith,,300
