,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,TMC,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
25,1,thomas-more,Thomas More,Centre,36-69,36,69,"9, 15, 4, 8, 36","13, 19, 23, 14, 69",9,15,4,8,36,13,19,23,14,69,0-1,1-0,11/15/16,Lose,251,No Location Recorded,7:00 p.m.,H,25,07:35,,,,,"SUB OUT by VANCE,DAY",,,"SUB OUT by VANCE,DAY",1,subbing out,,Centre,day vance,,455
26,1,thomas-more,Thomas More,Centre,36-69,36,69,"9, 15, 4, 8, 36","13, 19, 23, 14, 69",9,15,4,8,36,13,19,23,14,69,0-1,1-0,11/15/16,Lose,251,No Location Recorded,7:00 p.m.,H,26,07:03,,,,,"MISS JUMPER by STEWART,ABIGAIL",,,"MISS JUMPER by STEWART,ABIGAIL",1,jumper,missed,Centre,abigail stewart,,423
27,1,thomas-more,Thomas More,Centre,36-69,36,69,"9, 15, 4, 8, 36","13, 19, 23, 14, 69",9,15,4,8,36,13,19,23,14,69,0-1,1-0,11/15/16,Lose,251,No Location Recorded,7:00 p.m.,H,27,07:03,"BLOCK  by KIERNAN,NIKKI",,,,,,,"BLOCK  by KIERNAN,NIKKI",1,block,,thomas more,nikki kiernan,,423
28,1,thomas-more,Thomas More,Centre,36-69,36,69,"9, 15, 4, 8, 36","13, 19, 23, 14, 69",9,15,4,8,36,13,19,23,14,69,0-1,1-0,11/15/16,Lose,251,No Location Recorded,7:00 p.m.,H,28,--,"REBOUND DEF by KIERNAN,NIKKI",,,,,,,"REBOUND DEF by KIERNAN,NIKKI",1,defensive rebound,,thomas more,nikki kiernan,,
29,1,thomas-more,Thomas More,Centre,36-69,36,69,"9, 15, 4, 8, 36","13, 19, 23, 14, 69",9,15,4,8,36,13,19,23,14,69,0-1,1-0,11/15/16,Lose,251,No Location Recorded,7:00 p.m.,H,29,06:51,"GOOD LAYUP by OWINGS,ABBY(in the paint)",5 (+5),,0,,TMC 5-0 (-5),,"GOOD LAYUP by OWINGS,ABBY(in the paint)",1,layup,good,thomas more,abby owings,2,411
30,1,thomas-more,Thomas More,Centre,36-69,36,69,"9, 15, 4, 8, 36","13, 19, 23, 14, 69",9,15,4,8,36,13,19,23,14,69,0-1,1-0,11/15/16,Lose,251,No Location Recorded,7:00 p.m.,H,30,06:23,,,,,"MISS LAYUP by BALLARD,AMI",,,"MISS LAYUP by BALLARD,AMI",1,layup,missed,Centre,ami ballard,,383
31,1,thomas-more,Thomas More,Centre,36-69,36,69,"9, 15, 4, 8, 36","13, 19, 23, 14, 69",9,15,4,8,36,13,19,23,14,69,0-1,1-0,11/15/16,Lose,251,No Location Recorded,7:00 p.m.,H,31,--,,,,,"REBOUND OFF by BUNNER,CHEYENNE",,,"REBOUND OFF by BUNNER,CHEYENNE",1,offensive rebound,,Centre,cheyenne bunner,,
32,1,thomas-more,Thomas More,Centre,36-69,36,69,"9, 15, 4, 8, 36","13, 19, 23, 14, 69",9,15,4,8,36,13,19,23,14,69,0-1,1-0,11/15/16,Lose,251,No Location Recorded,7:00 p.m.,H,32,06:20,"FOUL  by WARE,MICHAELA",,,,,,,"FOUL  by WARE,MICHAELA",1,foul,,thomas more,michaela ware,,380
33,1,thomas-more,Thomas More,Centre,36-69,36,69,"9, 15, 4, 8, 36","13, 19, 23, 14, 69",9,15,4,8,36,13,19,23,14,69,0-1,1-0,11/15/16,Lose,251,No Location Recorded,7:00 p.m.,H,33,06:20,,,,,"MISS FT by BUNNER,CHEYENNE",,,"MISS FT by BUNNER,CHEYENNE",1,free throw,missed,Centre,cheyenne bunner,,380
34,1,thomas-more,Thomas More,Centre,36-69,36,69,"9, 15, 4, 8, 36","13, 19, 23, 14, 69",9,15,4,8,36,13,19,23,14,69,0-1,1-0,11/15/16,Lose,251,No Location Recorded,7:00 p.m.,H,34,--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1,deadball rebound,,Centre,,,
35,1,thomas-more,Thomas More,Centre,36-69,36,69,"9, 15, 4, 8, 36","13, 19, 23, 14, 69",9,15,4,8,36,13,19,23,14,69,0-1,1-0,11/15/16,Lose,251,No Location Recorded,7:00 p.m.,H,35,06:20,,5 (+4),,1,"GOOD FT by BUNNER,CHEYENNE",CENTRE-W 5-1 (-4),,"GOOD FT by BUNNER,CHEYENNE",1,free throw,good,Centre,cheyenne bunner,1,380
36,1,thomas-more,Thomas More,Centre,36-69,36,69,"9, 15, 4, 8, 36","13, 19, 23, 14, 69",9,15,4,8,36,13,19,23,14,69,0-1,1-0,11/15/16,Lose,251,No Location Recorded,7:00 p.m.,H,36,06:20,"SUB IN by RUPP,SHELBY",,,,,,,"SUB IN by RUPP,SHELBY",1,subbing in,,thomas more,shelby rupp,,380
37,1,thomas-more,Thomas More,Centre,36-69,36,69,"9, 15, 4, 8, 36","13, 19, 23, 14, 69",9,15,4,8,36,13,19,23,14,69,0-1,1-0,11/15/16,Lose,251,No Location Recorded,7:00 p.m.,H,37,06:20,"SUB OUT by PAUL,KIRSTEN",,,,,,,"SUB OUT by PAUL,KIRSTEN",1,subbing out,,thomas more,kirsten paul,,380
