,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,BCW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
24,14,berry,Centre,Berry College,47-53,47,53,"6, 15, 14, 12, 47","6, 11, 16, 20, 53",6,15,14,12,47,6,11,16,20,53,"3-11, 1-2","7-7, 1-2",01/08/17,Lose,187,No Location Recorded,1:00 AM,A,24,--,"REBOUND DEF by KELLAM,PAIGE",,,,,,,"REBOUND DEF by KELLAM,PAIGE",1,defensive rebound,,Centre,paige kellam,,
25,14,berry,Centre,Berry College,47-53,47,53,"6, 15, 14, 12, 47","6, 11, 16, 20, 53",6,15,14,12,47,6,11,16,20,53,"3-11, 1-2","7-7, 1-2",01/08/17,Lose,187,No Location Recorded,1:00 AM,A,25,06:53,,,,,"FOUL  by CEREZOLA,CHRISTINE",,,"FOUL  by CEREZOLA,CHRISTINE",1,foul,,berry college,christine cerezola,,413
26,14,berry,Centre,Berry College,47-53,47,53,"6, 15, 14, 12, 47","6, 11, 16, 20, 53",6,15,14,12,47,6,11,16,20,53,"3-11, 1-2","7-7, 1-2",01/08/17,Lose,187,No Location Recorded,1:00 AM,A,26,06:53,"SUB IN by BUNNER,CHEYENNE",,,,,,,"SUB IN by BUNNER,CHEYENNE",1,subbing in,,Centre,cheyenne bunner,,413
27,14,berry,Centre,Berry College,47-53,47,53,"6, 15, 14, 12, 47","6, 11, 16, 20, 53",6,15,14,12,47,6,11,16,20,53,"3-11, 1-2","7-7, 1-2",01/08/17,Lose,187,No Location Recorded,1:00 AM,A,27,06:53,"SUB IN by MOORE,LAUREN",,,,,,,"SUB IN by MOORE,LAUREN",1,subbing in,,Centre,lauren moore,,413
28,14,berry,Centre,Berry College,47-53,47,53,"6, 15, 14, 12, 47","6, 11, 16, 20, 53",6,15,14,12,47,6,11,16,20,53,"3-11, 1-2","7-7, 1-2",01/08/17,Lose,187,No Location Recorded,1:00 AM,A,28,06:53,"SUB OUT by VANCE,DAY",,,,,,,"SUB OUT by VANCE,DAY",1,subbing out,,Centre,day vance,,413
29,14,berry,Centre,Berry College,47-53,47,53,"6, 15, 14, 12, 47","6, 11, 16, 20, 53",6,15,14,12,47,6,11,16,20,53,"3-11, 1-2","7-7, 1-2",01/08/17,Lose,187,No Location Recorded,1:00 AM,A,29,06:53,"SUB OUT by STEWART,ABIGAIL",,,,,,,"SUB OUT by STEWART,ABIGAIL",1,subbing out,,Centre,abigail stewart,,413
30,14,berry,Centre,Berry College,47-53,47,53,"6, 15, 14, 12, 47","6, 11, 16, 20, 53",6,15,14,12,47,6,11,16,20,53,"3-11, 1-2","7-7, 1-2",01/08/17,Lose,187,No Location Recorded,1:00 AM,A,30,06:34,"MISS LAYUP by ANDREASSEN,CAROLINE",,,,,,,"MISS LAYUP by ANDREASSEN,CAROLINE",1,layup,missed,Centre,caroline andreassen,,394
31,14,berry,Centre,Berry College,47-53,47,53,"6, 15, 14, 12, 47","6, 11, 16, 20, 53",6,15,14,12,47,6,11,16,20,53,"3-11, 1-2","7-7, 1-2",01/08/17,Lose,187,No Location Recorded,1:00 AM,A,31,--,,,,,"REBOUND DEF by WEEMS,ALEX",,,"REBOUND DEF by WEEMS,ALEX",1,defensive rebound,,berry college,alex weems,,
32,14,berry,Centre,Berry College,47-53,47,53,"6, 15, 14, 12, 47","6, 11, 16, 20, 53",6,15,14,12,47,6,11,16,20,53,"3-11, 1-2","7-7, 1-2",01/08/17,Lose,187,No Location Recorded,1:00 AM,A,32,06:15,,0,,4 (+4),"GOOD LAYUP by WEEMS,ALEX(in the paint)",BCW 0-4 (-4),,"GOOD LAYUP by WEEMS,ALEX(in the paint)",1,layup,good,berry college,alex weems,2,375
33,14,berry,Centre,Berry College,47-53,47,53,"6, 15, 14, 12, 47","6, 11, 16, 20, 53",6,15,14,12,47,6,11,16,20,53,"3-11, 1-2","7-7, 1-2",01/08/17,Lose,187,No Location Recorded,1:00 AM,A,33,05:51,"MISS LAYUP by ANDREASSEN,CAROLINE",,,,,,,"MISS LAYUP by ANDREASSEN,CAROLINE",1,layup,missed,Centre,caroline andreassen,,351
34,14,berry,Centre,Berry College,47-53,47,53,"6, 15, 14, 12, 47","6, 11, 16, 20, 53",6,15,14,12,47,6,11,16,20,53,"3-11, 1-2","7-7, 1-2",01/08/17,Lose,187,No Location Recorded,1:00 AM,A,34,--,"REBOUND OFF by MOORE,LAUREN",,,,,,,"REBOUND OFF by MOORE,LAUREN",1,offensive rebound,,Centre,lauren moore,,
35,14,berry,Centre,Berry College,47-53,47,53,"6, 15, 14, 12, 47","6, 11, 16, 20, 53",6,15,14,12,47,6,11,16,20,53,"3-11, 1-2","7-7, 1-2",01/08/17,Lose,187,No Location Recorded,1:00 AM,A,35,05:46,"MISS LAYUP by MOORE,LAUREN",,,,,,,"MISS LAYUP by MOORE,LAUREN",1,layup,missed,Centre,lauren moore,,346
36,14,berry,Centre,Berry College,47-53,47,53,"6, 15, 14, 12, 47","6, 11, 16, 20, 53",6,15,14,12,47,6,11,16,20,53,"3-11, 1-2","7-7, 1-2",01/08/17,Lose,187,No Location Recorded,1:00 AM,A,36,--,,,,,"REBOUND DEF by LYNCH,ROSIE",,,"REBOUND DEF by LYNCH,ROSIE",1,defensive rebound,,berry college,rosie lynch,,
37,14,berry,Centre,Berry College,47-53,47,53,"6, 15, 14, 12, 47","6, 11, 16, 20, 53",6,15,14,12,47,6,11,16,20,53,"3-11, 1-2","7-7, 1-2",01/08/17,Lose,187,No Location Recorded,1:00 AM,A,37,05:28,,,,,"TURNOVER  by RAMPERSAD,KRISTIN",,,"TURNOVER  by RAMPERSAD,KRISTIN",1,turnover,,berry college,kristin rampersad,,328
38,14,berry,Centre,Berry College,47-53,47,53,"6, 15, 14, 12, 47","6, 11, 16, 20, 53",6,15,14,12,47,6,11,16,20,53,"3-11, 1-2","7-7, 1-2",01/08/17,Lose,187,No Location Recorded,1:00 AM,A,38,05:25,"STEAL  by KELLAM,PAIGE",,,,,,,"STEAL  by KELLAM,PAIGE",1,steal,,Centre,,,325
39,14,berry,Centre,Berry College,47-53,47,53,"6, 15, 14, 12, 47","6, 11, 16, 20, 53",6,15,14,12,47,6,11,16,20,53,"3-11, 1-2","7-7, 1-2",01/08/17,Lose,187,No Location Recorded,1:00 AM,A,39,05:21,"MISS 3PTR by MILLER,LAKKEN",,,,,,,"MISS 3PTR by MILLER,LAKKEN",1,three pointer,missed,Centre,lakken miller,,321
40,14,berry,Centre,Berry College,47-53,47,53,"6, 15, 14, 12, 47","6, 11, 16, 20, 53",6,15,14,12,47,6,11,16,20,53,"3-11, 1-2","7-7, 1-2",01/08/17,Lose,187,No Location Recorded,1:00 AM,A,40,--,,,,,"REBOUND DEF by WEEMS,ALEX",,,"REBOUND DEF by WEEMS,ALEX",1,defensive rebound,,berry college,alex weems,,
41,14,berry,Centre,Berry College,47-53,47,53,"6, 15, 14, 12, 47","6, 11, 16, 20, 53",6,15,14,12,47,6,11,16,20,53,"3-11, 1-2","7-7, 1-2",01/08/17,Lose,187,No Location Recorded,1:00 AM,A,41,05:03,,,,,"MISS JUMPER by MCLURE,VALERIE",,,"MISS JUMPER by MCLURE,VALERIE",1,jumper,missed,berry college,valerie mclure,,303
42,14,berry,Centre,Berry College,47-53,47,53,"6, 15, 14, 12, 47","6, 11, 16, 20, 53",6,15,14,12,47,6,11,16,20,53,"3-11, 1-2","7-7, 1-2",01/08/17,Lose,187,No Location Recorded,1:00 AM,A,42,--,"REBOUND DEF by BUNNER,CHEYENNE",,,,,,,"REBOUND DEF by BUNNER,CHEYENNE",1,defensive rebound,,Centre,cheyenne bunner,,
43,14,berry,Centre,Berry College,47-53,47,53,"6, 15, 14, 12, 47","6, 11, 16, 20, 53",6,15,14,12,47,6,11,16,20,53,"3-11, 1-2","7-7, 1-2",01/08/17,Lose,187,No Location Recorded,1:00 AM,A,43,04:52,"TURNOVER  by KELLAM,PAIGE",,,,,,,"TURNOVER  by KELLAM,PAIGE",1,turnover,,Centre,paige kellam,,292
44,14,berry,Centre,Berry College,47-53,47,53,"6, 15, 14, 12, 47","6, 11, 16, 20, 53",6,15,14,12,47,6,11,16,20,53,"3-11, 1-2","7-7, 1-2",01/08/17,Lose,187,No Location Recorded,1:00 AM,A,44,04:51,,,,,"STEAL  by MCLURE,VALERIE",,,"STEAL  by MCLURE,VALERIE",1,steal,,berry college,,,291
45,14,berry,Centre,Berry College,47-53,47,53,"6, 15, 14, 12, 47","6, 11, 16, 20, 53",6,15,14,12,47,6,11,16,20,53,"3-11, 1-2","7-7, 1-2",01/08/17,Lose,187,No Location Recorded,1:00 AM,A,45,04:31,,,,,"MISS 3PTR by RAMPERSAD,KRISTIN",,,"MISS 3PTR by RAMPERSAD,KRISTIN",1,three pointer,missed,berry college,kristin rampersad,,271
46,14,berry,Centre,Berry College,47-53,47,53,"6, 15, 14, 12, 47","6, 11, 16, 20, 53",6,15,14,12,47,6,11,16,20,53,"3-11, 1-2","7-7, 1-2",01/08/17,Lose,187,No Location Recorded,1:00 AM,A,46,--,,,,,"REBOUND OFF by WEEMS,ALEX",,,"REBOUND OFF by WEEMS,ALEX",1,offensive rebound,,berry college,alex weems,,
47,14,berry,Centre,Berry College,47-53,47,53,"6, 15, 14, 12, 47","6, 11, 16, 20, 53",6,15,14,12,47,6,11,16,20,53,"3-11, 1-2","7-7, 1-2",01/08/17,Lose,187,No Location Recorded,1:00 AM,A,47,04:23,,,,,"MISS LAYUP by WEEMS,ALEX",,,"MISS LAYUP by WEEMS,ALEX",1,layup,missed,berry college,alex weems,,263
48,14,berry,Centre,Berry College,47-53,47,53,"6, 15, 14, 12, 47","6, 11, 16, 20, 53",6,15,14,12,47,6,11,16,20,53,"3-11, 1-2","7-7, 1-2",01/08/17,Lose,187,No Location Recorded,1:00 AM,A,48,04:23,"BLOCK  by BUNNER,CHEYENNE",,,,,,,"BLOCK  by BUNNER,CHEYENNE",1,block,,Centre,cheyenne bunner,,263
