,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,BU-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
40,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,40,05:33,,,,,"FOUL  by BEINING,RACHEL",,,"FOUL  by BEINING,RACHEL",1,foul,,bluffton university,rachel beining,,333
41,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,41,05:27,"SUB IN by ADEROBA,OYIN",,,,,,,"SUB IN by ADEROBA,OYIN",1,subbing in,,Centre,oyin aderoba,,327
42,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,42,05:27,"SUB IN by BUNNER,CHEYENNE",,,,,,,"SUB IN by BUNNER,CHEYENNE",1,subbing in,,Centre,cheyenne bunner,,327
43,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,43,05:27,"SUB IN by MOORE,LAUREN",,,,,,,"SUB IN by MOORE,LAUREN",1,subbing in,,Centre,lauren moore,,327
44,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,44,05:27,"SUB OUT by VANCE,DAY",,,,,,,"SUB OUT by VANCE,DAY",1,subbing out,,Centre,day vance,,327
45,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,45,05:27,"SUB OUT by ANDREASSEN,CAROLINE",,,,,,,"SUB OUT by ANDREASSEN,CAROLINE",1,subbing out,,Centre,caroline andreassen,,327
46,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,46,05:27,"SUB OUT by STEWART,ABIGAIL",,,,,,,"SUB OUT by STEWART,ABIGAIL",1,subbing out,,Centre,abigail stewart,,327
47,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,47,05:27,,,,,"SUB IN by BOGGAN,JESSICA",,,"SUB IN by BOGGAN,JESSICA",1,subbing in,,bluffton university,jessica boggan,,327
48,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,48,05:27,,,,,"SUB IN by SALYER,ASHLEY",,,"SUB IN by SALYER,ASHLEY",1,subbing in,,bluffton university,ashley salyer,,327
49,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,49,05:27,,,,,"SUB OUT by BEINING,RACHEL",,,"SUB OUT by BEINING,RACHEL",1,subbing out,,bluffton university,rachel beining,,327
50,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,50,05:27,,,,,"SUB OUT by ROWE,KAYCEE",,,"SUB OUT by ROWE,KAYCEE",1,subbing out,,bluffton university,kaycee rowe,,327
51,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,51,05:25,"TURNOVER  by KELLAM,PAIGE",,,,,,,"TURNOVER  by KELLAM,PAIGE",1,turnover,,Centre,paige kellam,,325
52,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,52,05:17,"SUB IN by MILLER,LAKKEN",,,,,,,"SUB IN by MILLER,LAKKEN",1,subbing in,,Centre,lakken miller,,317
53,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,53,05:17,"SUB OUT by KELLAM,PAIGE",,,,,,,"SUB OUT by KELLAM,PAIGE",1,subbing out,,Centre,paige kellam,,317
54,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,54,05:11,,,,,"TURNOVER  by SHEERER,MACEY",,,"TURNOVER  by SHEERER,MACEY",1,turnover,,bluffton university,macey sheerer,,311
55,11,bluffton,Centre College,Bluffton University,35-53,35,53,"13, 0, 11, 11, 35","16, 10, 15, 12, 53",13,0,11,11,35,16,10,15,12,53,3-8,8-1,12/29/16,Lose,250,No Location Recorded,7:15 PM,A,55,04:56,"GOOD JUMPER by BUNNER,CHEYENNE",4,,6 (+2),,CENTRE-W 4-6 (-2),,"GOOD JUMPER by BUNNER,CHEYENNE",1,jumper,good,Centre,cheyenne bunner,2,296
