,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,HOPE,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
30,12,hope,Hope College,Centre College,31-70,31,70,"5, 6, 12, 8, 31","19, 23, 17, 11, 70",5,6,12,8,31,19,23,17,11,70,3-9,12-1,12/30/16,Lose,150,No Location Recorded,12:00 PM,H,30,07:26,"MISS LAYUP by SMITH,TYRA",,,,,,,"MISS LAYUP by SMITH,TYRA",1,layup,missed,hope college,tyra smith,,446
31,12,hope,Hope College,Centre College,31-70,31,70,"5, 6, 12, 8, 31","19, 23, 17, 11, 70",5,6,12,8,31,19,23,17,11,70,3-9,12-1,12/30/16,Lose,150,No Location Recorded,12:00 PM,H,31,--,,,,,"REBOUND DEF by ANDREASSEN,CAROLINE",,,"REBOUND DEF by ANDREASSEN,CAROLINE",1,defensive rebound,,Centre,caroline andreassen,,
32,12,hope,Hope College,Centre College,31-70,31,70,"5, 6, 12, 8, 31","19, 23, 17, 11, 70",5,6,12,8,31,19,23,17,11,70,3-9,12-1,12/30/16,Lose,150,No Location Recorded,12:00 PM,H,32,07:18,,9 (+6),,3,"GOOD 3PTR by KELLAM,PAIGE",CENTRE-W 9-3 (-6),,"GOOD 3PTR by KELLAM,PAIGE",1,three pointer,good,Centre,paige kellam,3,438
33,12,hope,Hope College,Centre College,31-70,31,70,"5, 6, 12, 8, 31","19, 23, 17, 11, 70",5,6,12,8,31,19,23,17,11,70,3-9,12-1,12/30/16,Lose,150,No Location Recorded,12:00 PM,H,33,--,,,,,"ASSIST  by ANDREASSEN,CAROLINE",,,"ASSIST  by ANDREASSEN,CAROLINE",1,assist,,Centre,caroline andreassen,,
34,12,hope,Hope College,Centre College,31-70,31,70,"5, 6, 12, 8, 31","19, 23, 17, 11, 70",5,6,12,8,31,19,23,17,11,70,3-9,12-1,12/30/16,Lose,150,No Location Recorded,12:00 PM,H,34,06:57,"MISS LAYUP by BUCHANAN,FRANCESCA",,,,,,,"MISS LAYUP by BUCHANAN,FRANCESCA",1,layup,missed,hope college,francesca buchanan,,417
35,12,hope,Hope College,Centre College,31-70,31,70,"5, 6, 12, 8, 31","19, 23, 17, 11, 70",5,6,12,8,31,19,23,17,11,70,3-9,12-1,12/30/16,Lose,150,No Location Recorded,12:00 PM,H,35,--,"REBOUND OFF by BUCHANAN,FRANCESCA",,,,,,,"REBOUND OFF by BUCHANAN,FRANCESCA",1,offensive rebound,,hope college,francesca buchanan,,
36,12,hope,Hope College,Centre College,31-70,31,70,"5, 6, 12, 8, 31","19, 23, 17, 11, 70",5,6,12,8,31,19,23,17,11,70,3-9,12-1,12/30/16,Lose,150,No Location Recorded,12:00 PM,H,36,06:54,"MISS LAYUP by BUCHANAN,FRANCESCA",,,,,,,"MISS LAYUP by BUCHANAN,FRANCESCA",1,layup,missed,hope college,francesca buchanan,,414
37,12,hope,Hope College,Centre College,31-70,31,70,"5, 6, 12, 8, 31","19, 23, 17, 11, 70",5,6,12,8,31,19,23,17,11,70,3-9,12-1,12/30/16,Lose,150,No Location Recorded,12:00 PM,H,37,--,"REBOUND OFF by GEERS,MADISON",,,,,,,"REBOUND OFF by GEERS,MADISON",1,offensive rebound,,hope college,madison geers,,
38,12,hope,Hope College,Centre College,31-70,31,70,"5, 6, 12, 8, 31","19, 23, 17, 11, 70",5,6,12,8,31,19,23,17,11,70,3-9,12-1,12/30/16,Lose,150,No Location Recorded,12:00 PM,H,38,06:39,"MISS LAYUP by GEERS,MADISON",,,,,,,"MISS LAYUP by GEERS,MADISON",1,layup,missed,hope college,madison geers,,399
39,12,hope,Hope College,Centre College,31-70,31,70,"5, 6, 12, 8, 31","19, 23, 17, 11, 70",5,6,12,8,31,19,23,17,11,70,3-9,12-1,12/30/16,Lose,150,No Location Recorded,12:00 PM,H,39,--,,,,,"REBOUND DEF by BUNNER,CHEYENNE",,,"REBOUND DEF by BUNNER,CHEYENNE",1,defensive rebound,,Centre,cheyenne bunner,,
40,12,hope,Hope College,Centre College,31-70,31,70,"5, 6, 12, 8, 31","19, 23, 17, 11, 70",5,6,12,8,31,19,23,17,11,70,3-9,12-1,12/30/16,Lose,150,No Location Recorded,12:00 PM,H,40,06:33,,,,,"MISS LAYUP by BUNNER,CHEYENNE",,,"MISS LAYUP by BUNNER,CHEYENNE",1,layup,missed,Centre,cheyenne bunner,,393
41,12,hope,Hope College,Centre College,31-70,31,70,"5, 6, 12, 8, 31","19, 23, 17, 11, 70",5,6,12,8,31,19,23,17,11,70,3-9,12-1,12/30/16,Lose,150,No Location Recorded,12:00 PM,H,41,--,"REBOUND DEF by GEERS,MADISON",,,,,,,"REBOUND DEF by GEERS,MADISON",1,defensive rebound,,hope college,madison geers,,
42,12,hope,Hope College,Centre College,31-70,31,70,"5, 6, 12, 8, 31","19, 23, 17, 11, 70",5,6,12,8,31,19,23,17,11,70,3-9,12-1,12/30/16,Lose,150,No Location Recorded,12:00 PM,H,42,06:25,"MISS LAYUP by BUCHANAN,FRANCESCA",,,,,,,"MISS LAYUP by BUCHANAN,FRANCESCA",1,layup,missed,hope college,francesca buchanan,,385
43,12,hope,Hope College,Centre College,31-70,31,70,"5, 6, 12, 8, 31","19, 23, 17, 11, 70",5,6,12,8,31,19,23,17,11,70,3-9,12-1,12/30/16,Lose,150,No Location Recorded,12:00 PM,H,43,--,"REBOUND OFF by BUCHANAN,FRANCESCA",,,,,,,"REBOUND OFF by BUCHANAN,FRANCESCA",1,offensive rebound,,hope college,francesca buchanan,,
44,12,hope,Hope College,Centre College,31-70,31,70,"5, 6, 12, 8, 31","19, 23, 17, 11, 70",5,6,12,8,31,19,23,17,11,70,3-9,12-1,12/30/16,Lose,150,No Location Recorded,12:00 PM,H,44,06:21,"GOOD TIPIN by BUCHANAN,FRANCESCA(in the paint)",11 (+8),,3,,HOPE 11-3 (-8),,"GOOD TIPIN by BUCHANAN,FRANCESCA(in the paint)",1,,,,,,381
45,12,hope,Hope College,Centre College,31-70,31,70,"5, 6, 12, 8, 31","19, 23, 17, 11, 70",5,6,12,8,31,19,23,17,11,70,3-9,12-1,12/30/16,Lose,150,No Location Recorded,12:00 PM,H,45,06:21,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1,timeout,,Centre,,,381
46,12,hope,Hope College,Centre College,31-70,31,70,"5, 6, 12, 8, 31","19, 23, 17, 11, 70",5,6,12,8,31,19,23,17,11,70,3-9,12-1,12/30/16,Lose,150,No Location Recorded,12:00 PM,H,46,06:21,"SUB IN by SCHWARK,JACQUELYN",,,,,,,"SUB IN by SCHWARK,JACQUELYN",1,subbing in,,hope college,jacquelyn schwark,,381
47,12,hope,Hope College,Centre College,31-70,31,70,"5, 6, 12, 8, 31","19, 23, 17, 11, 70",5,6,12,8,31,19,23,17,11,70,3-9,12-1,12/30/16,Lose,150,No Location Recorded,12:00 PM,H,47,06:21,"SUB IN by TOLBERT,ARIKA",,,,,,,"SUB IN by TOLBERT,ARIKA",1,subbing in,,hope college,arika tolbert,,381
48,12,hope,Hope College,Centre College,31-70,31,70,"5, 6, 12, 8, 31","19, 23, 17, 11, 70",5,6,12,8,31,19,23,17,11,70,3-9,12-1,12/30/16,Lose,150,No Location Recorded,12:00 PM,H,48,06:21,"SUB IN by HEDRICK,ALLISON",,,,,,,"SUB IN by HEDRICK,ALLISON",1,subbing in,,hope college,allison hedrick,,381
