,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CNTRW,Away Team Score,Play Team Indicator,Home Team Score,OUW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
24,16,oglethorpe,Centre,Oglethorpe,60-52,60,52,"28, 32, 60","23, 29, 52",28,32,60,23,29,52,"11-5, 5-0 SAA","4-12, 2-3 SAA",01/24/14,Win,224,No Location Recorded,6 p.m.,A,24,15:59,,,,,"SUB OUT by BENTLEY,ALANA",,,"SUB OUT by BENTLEY,ALANA",1,subbing out,,oglethorpe,alana bentley,,959
25,16,oglethorpe,Centre,Oglethorpe,60-52,60,52,"28, 32, 60","23, 29, 52",28,32,60,23,29,52,"11-5, 5-0 SAA","4-12, 2-3 SAA",01/24/14,Win,224,No Location Recorded,6 p.m.,A,25,15:40,,8 (+1),,7,"GOOD 3PTR by BLECKLEY,ALI",OUW 8-7 (+1),,"GOOD 3PTR by BLECKLEY,ALI",1,three pointer,good,oglethorpe,ali bleckley,3,940
26,16,oglethorpe,Centre,Oglethorpe,60-52,60,52,"28, 32, 60","23, 29, 52",28,32,60,23,29,52,"11-5, 5-0 SAA","4-12, 2-3 SAA",01/24/14,Win,224,No Location Recorded,6 p.m.,A,26,--,,,,,"ASSIST  by JENKINS,KYANA",,,"ASSIST  by JENKINS,KYANA",1,assist,,oglethorpe,kyana jenkins,,
27,16,oglethorpe,Centre,Oglethorpe,60-52,60,52,"28, 32, 60","23, 29, 52",28,32,60,23,29,52,"11-5, 5-0 SAA","4-12, 2-3 SAA",01/24/14,Win,224,No Location Recorded,6 p.m.,A,27,15:20,"MISS JUMPER by STOUGH,MARY GORDON",,,,,,,"MISS JUMPER by STOUGH,MARY GORDON",1,jumper,missed,Centre,mary gordon stough,,920
28,16,oglethorpe,Centre,Oglethorpe,60-52,60,52,"28, 32, 60","23, 29, 52",28,32,60,23,29,52,"11-5, 5-0 SAA","4-12, 2-3 SAA",01/24/14,Win,224,No Location Recorded,6 p.m.,A,28,--,,,,,"REBOUND DEF by BLECKLEY,ALI",,,"REBOUND DEF by BLECKLEY,ALI",1,defensive rebound,,oglethorpe,ali bleckley,,
29,16,oglethorpe,Centre,Oglethorpe,60-52,60,52,"28, 32, 60","23, 29, 52",28,32,60,23,29,52,"11-5, 5-0 SAA","4-12, 2-3 SAA",01/24/14,Win,224,No Location Recorded,6 p.m.,A,29,14:50,,8,,9 (+1),"GOOD JUMPER by BUCK,EMILY(in the paint)",OUW 8-9 (-1),,"GOOD JUMPER by BUCK,EMILY(in the paint)",1,jumper,good,oglethorpe,emily buck,2,890
30,16,oglethorpe,Centre,Oglethorpe,60-52,60,52,"28, 32, 60","23, 29, 52",28,32,60,23,29,52,"11-5, 5-0 SAA","4-12, 2-3 SAA",01/24/14,Win,224,No Location Recorded,6 p.m.,A,30,14:25,"MISS JUMPER by HARTLAGE,MAGGIE",,,,,,,"MISS JUMPER by HARTLAGE,MAGGIE",1,jumper,missed,Centre,maggie hartlage,,865
31,16,oglethorpe,Centre,Oglethorpe,60-52,60,52,"28, 32, 60","23, 29, 52",28,32,60,23,29,52,"11-5, 5-0 SAA","4-12, 2-3 SAA",01/24/14,Win,224,No Location Recorded,6 p.m.,A,31,--,,,,,"REBOUND DEF by HUGHES,CIARA",,,"REBOUND DEF by HUGHES,CIARA",1,defensive rebound,,oglethorpe,ciara hughes,,
32,16,oglethorpe,Centre,Oglethorpe,60-52,60,52,"28, 32, 60","23, 29, 52",28,32,60,23,29,52,"11-5, 5-0 SAA","4-12, 2-3 SAA",01/24/14,Win,224,No Location Recorded,6 p.m.,A,32,14:06,,8,,11 (+3),"GOOD JUMPER by HUGHES,CIARA(in the paint)",OUW 8-11 (-3),,"GOOD JUMPER by HUGHES,CIARA(in the paint)",1,jumper,good,oglethorpe,ciara hughes,2,846
33,16,oglethorpe,Centre,Oglethorpe,60-52,60,52,"28, 32, 60","23, 29, 52",28,32,60,23,29,52,"11-5, 5-0 SAA","4-12, 2-3 SAA",01/24/14,Win,224,No Location Recorded,6 p.m.,A,33,14:03,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1,timeout,,Centre,,,843
