,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,MVCW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
28,3,maryville-tenn-,Maryville College,Centre College,55-53,55,53,"29, 26, 55","25, 28, 53",29,26,55,25,28,53,3-0,2-1,11/22/13,Win,231,No Location Recorded,7:00 p.m.,H,28,16:23,"MISS LAYUP by PUCKETT,MACKENZIE",,,,,,,"MISS LAYUP by PUCKETT,MACKENZIE",1,layup,missed,maryville college,mackenzie puckett,,983
29,3,maryville-tenn-,Maryville College,Centre College,55-53,55,53,"29, 26, 55","25, 28, 53",29,26,55,25,28,53,3-0,2-1,11/22/13,Win,231,No Location Recorded,7:00 p.m.,H,29,--,,,,,"REBOUND DEF by STOUGH,MARY GORDON",,,"REBOUND DEF by STOUGH,MARY GORDON",1,defensive rebound,,Centre,mary gordon stough,,
30,3,maryville-tenn-,Maryville College,Centre College,55-53,55,53,"29, 26, 55","25, 28, 53",29,26,55,25,28,53,3-0,2-1,11/22/13,Win,231,No Location Recorded,7:00 p.m.,H,30,16:08,,6,,8 (+2),"GOOD JUMPER by BAECHLE,PAIGE",CENTRE_W 6-8 (+2),,"GOOD JUMPER by BAECHLE,PAIGE",1,jumper,good,Centre,paige baechle,2,968
31,3,maryville-tenn-,Maryville College,Centre College,55-53,55,53,"29, 26, 55","25, 28, 53",29,26,55,25,28,53,3-0,2-1,11/22/13,Win,231,No Location Recorded,7:00 p.m.,H,31,--,,,,,"ASSIST  by STOUGH,MARY GORDON",,,"ASSIST  by STOUGH,MARY GORDON",1,assist,,Centre,mary gordon stough,,
32,3,maryville-tenn-,Maryville College,Centre College,55-53,55,53,"29, 26, 55","25, 28, 53",29,26,55,25,28,53,3-0,2-1,11/22/13,Win,231,No Location Recorded,7:00 p.m.,H,32,15:54,"MISS LAYUP by PUCKETT,MACKENZIE",,,,,,,"MISS LAYUP by PUCKETT,MACKENZIE",1,layup,missed,maryville college,mackenzie puckett,,954
33,3,maryville-tenn-,Maryville College,Centre College,55-53,55,53,"29, 26, 55","25, 28, 53",29,26,55,25,28,53,3-0,2-1,11/22/13,Win,231,No Location Recorded,7:00 p.m.,H,33,15:54,,,,,"BLOCK  by BAECHLE,PAIGE",,,"BLOCK  by BAECHLE,PAIGE",1,block,,Centre,paige baechle,,954
34,3,maryville-tenn-,Maryville College,Centre College,55-53,55,53,"29, 26, 55","25, 28, 53",29,26,55,25,28,53,3-0,2-1,11/22/13,Win,231,No Location Recorded,7:00 p.m.,H,34,--,,,,,"REBOUND DEF by BAECHLE,PAIGE",,,"REBOUND DEF by BAECHLE,PAIGE",1,defensive rebound,,Centre,paige baechle,,
35,3,maryville-tenn-,Maryville College,Centre College,55-53,55,53,"29, 26, 55","25, 28, 53",29,26,55,25,28,53,3-0,2-1,11/22/13,Win,231,No Location Recorded,7:00 p.m.,H,35,15:43,,,,,"MISS LAYUP by STOUGH,MARY GORDON",,,"MISS LAYUP by STOUGH,MARY GORDON",1,layup,missed,Centre,mary gordon stough,,943
36,3,maryville-tenn-,Maryville College,Centre College,55-53,55,53,"29, 26, 55","25, 28, 53",29,26,55,25,28,53,3-0,2-1,11/22/13,Win,231,No Location Recorded,7:00 p.m.,H,36,--,,,,,"REBOUND OFF by STOUGH,MARY GORDON",,,"REBOUND OFF by STOUGH,MARY GORDON",1,offensive rebound,,Centre,mary gordon stough,,
37,3,maryville-tenn-,Maryville College,Centre College,55-53,55,53,"29, 26, 55","25, 28, 53",29,26,55,25,28,53,3-0,2-1,11/22/13,Win,231,No Location Recorded,7:00 p.m.,H,37,15:37,,6,,11 (+5),"GOOD 3PTR by HARTLAGE,MAGGIE",CENTRE_W 6-11 (+5),,"GOOD 3PTR by HARTLAGE,MAGGIE",1,three pointer,good,Centre,maggie hartlage,3,937
38,3,maryville-tenn-,Maryville College,Centre College,55-53,55,53,"29, 26, 55","25, 28, 53",29,26,55,25,28,53,3-0,2-1,11/22/13,Win,231,No Location Recorded,7:00 p.m.,H,38,14:58,"MISS JUMPER by BRACKINS,MINDY",,,,,,,"MISS JUMPER by BRACKINS,MINDY",1,jumper,missed,maryville college,mindy brackins,,898
39,3,maryville-tenn-,Maryville College,Centre College,55-53,55,53,"29, 26, 55","25, 28, 53",29,26,55,25,28,53,3-0,2-1,11/22/13,Win,231,No Location Recorded,7:00 p.m.,H,39,--,,,,,"REBOUND DEF by HARTLAGE,MAGGIE",,,"REBOUND DEF by HARTLAGE,MAGGIE",1,defensive rebound,,Centre,maggie hartlage,,
40,3,maryville-tenn-,Maryville College,Centre College,55-53,55,53,"29, 26, 55","25, 28, 53",29,26,55,25,28,53,3-0,2-1,11/22/13,Win,231,No Location Recorded,7:00 p.m.,H,40,14:37,,,,,"TURNOVER  by ANDREASSEN,CAROLINE",,,"TURNOVER  by ANDREASSEN,CAROLINE",1,turnover,,Centre,caroline andreassen,,877
41,3,maryville-tenn-,Maryville College,Centre College,55-53,55,53,"29, 26, 55","25, 28, 53",29,26,55,25,28,53,3-0,2-1,11/22/13,Win,231,No Location Recorded,7:00 p.m.,H,41,14:37,"SUB IN by DUNN,LINLEY",,,,,,,"SUB IN by DUNN,LINLEY",1,subbing in,,maryville college,linley dunn,,877
42,3,maryville-tenn-,Maryville College,Centre College,55-53,55,53,"29, 26, 55","25, 28, 53",29,26,55,25,28,53,3-0,2-1,11/22/13,Win,231,No Location Recorded,7:00 p.m.,H,42,14:37,"SUB IN by BALLARD,JORDAN",,,,,,,"SUB IN by BALLARD,JORDAN",1,subbing in,,maryville college,jordan ballard,,877
43,3,maryville-tenn-,Maryville College,Centre College,55-53,55,53,"29, 26, 55","25, 28, 53",29,26,55,25,28,53,3-0,2-1,11/22/13,Win,231,No Location Recorded,7:00 p.m.,H,43,14:37,"SUB OUT by FARMER,LAILAH",,,,,,,"SUB OUT by FARMER,LAILAH",1,subbing out,,maryville college,lailah farmer,,877
