,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,HCW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
25,24,hendrix,Hendrix College,CENTRE_W,81-38,81,38,"48, 33, 81","10, 28, 38",48,33,81,10,28,38,"16-8, 10-3 SAA","11-13, 5-8 SAA",02/21/14,Win,500,No Location Recorded,6:00 PM,H,25,--,,,,,"ASSIST  by GUY,ALANNA",,,"ASSIST  by GUY,ALANNA",1,assist,,Centre,alanna guy,,
26,24,hendrix,Hendrix College,CENTRE_W,81-38,81,38,"48, 33, 81","10, 28, 38",48,33,81,10,28,38,"16-8, 10-3 SAA","11-13, 5-8 SAA",02/21/14,Win,500,No Location Recorded,6:00 PM,H,26,16:53,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1,timeout,,Centre,,,1013
27,24,hendrix,Hendrix College,CENTRE_W,81-38,81,38,"48, 33, 81","10, 28, 38",48,33,81,10,28,38,"16-8, 10-3 SAA","11-13, 5-8 SAA",02/21/14,Win,500,No Location Recorded,6:00 PM,H,27,16:44,"TURNOVER  by KRIESEL-BIGLER,CAIT",,,,,,,"TURNOVER  by KRIESEL-BIGLER,CAIT",1,turnover,,hendrix college,cait kriesel-bigler,,1004
28,24,hendrix,Hendrix College,CENTRE_W,81-38,81,38,"48, 33, 81","10, 28, 38",48,33,81,10,28,38,"16-8, 10-3 SAA","11-13, 5-8 SAA",02/21/14,Win,500,No Location Recorded,6:00 PM,H,28,16:35,,,,,"MISS JUMPER by GUY,ALANNA",,,"MISS JUMPER by GUY,ALANNA",1,jumper,missed,Centre,alanna guy,,995
29,24,hendrix,Hendrix College,CENTRE_W,81-38,81,38,"48, 33, 81","10, 28, 38",48,33,81,10,28,38,"16-8, 10-3 SAA","11-13, 5-8 SAA",02/21/14,Win,500,No Location Recorded,6:00 PM,H,29,--,,,,,"REBOUND OFF by STOUGH,MARY GORDON",,,"REBOUND OFF by STOUGH,MARY GORDON",1,offensive rebound,,Centre,mary gordon stough,,
30,24,hendrix,Hendrix College,CENTRE_W,81-38,81,38,"48, 33, 81","10, 28, 38",48,33,81,10,28,38,"16-8, 10-3 SAA","11-13, 5-8 SAA",02/21/14,Win,500,No Location Recorded,6:00 PM,H,30,16:27,,2,,9 (+7),"GOOD JUMPER by BAECHLE,PAIGE",CENTRE_W 2-9 (+7),,"GOOD JUMPER by BAECHLE,PAIGE",1,jumper,good,Centre,paige baechle,2,987
31,24,hendrix,Hendrix College,CENTRE_W,81-38,81,38,"48, 33, 81","10, 28, 38",48,33,81,10,28,38,"16-8, 10-3 SAA","11-13, 5-8 SAA",02/21/14,Win,500,No Location Recorded,6:00 PM,H,31,--,,,,,"ASSIST  by GUY,ALANNA",,,"ASSIST  by GUY,ALANNA",1,assist,,Centre,alanna guy,,
32,24,hendrix,Hendrix College,CENTRE_W,81-38,81,38,"48, 33, 81","10, 28, 38",48,33,81,10,28,38,"16-8, 10-3 SAA","11-13, 5-8 SAA",02/21/14,Win,500,No Location Recorded,6:00 PM,H,32,16:14,"TURNOVER  by COUGHRAN,KATIE",,,,,,,"TURNOVER  by COUGHRAN,KATIE",1,turnover,,hendrix college,katie coughran,,974
33,24,hendrix,Hendrix College,CENTRE_W,81-38,81,38,"48, 33, 81","10, 28, 38",48,33,81,10,28,38,"16-8, 10-3 SAA","11-13, 5-8 SAA",02/21/14,Win,500,No Location Recorded,6:00 PM,H,33,16:02,,2,,11 (+9),"GOOD LAYUP by BAECHLE,PAIGE(in the paint)",CENTRE_W 2-11 (+9),,"GOOD LAYUP by BAECHLE,PAIGE(in the paint)",1,layup,good,Centre,paige baechle,2,962
34,24,hendrix,Hendrix College,CENTRE_W,81-38,81,38,"48, 33, 81","10, 28, 38",48,33,81,10,28,38,"16-8, 10-3 SAA","11-13, 5-8 SAA",02/21/14,Win,500,No Location Recorded,6:00 PM,H,34,15:47,"MISS JUMPER by NEAL,TAYLOR",,,,,,,"MISS JUMPER by NEAL,TAYLOR",1,jumper,missed,hendrix college,taylor neal,,947
