,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,RHODESWB,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
36,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,36,15:50,,,,,"MISS 3PTR by GUY,ALEXIS",,,"MISS 3PTR by GUY,ALEXIS",1,three pointer,missed,Centre,alexis guy,,950
37,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,37,--,"REBOUND DEF by KRAMER,BAILEY",,,,,,,"REBOUND DEF by KRAMER,BAILEY",1,defensive rebound,,rhodes college,bailey kramer,,
38,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,38,15:28,"MISS JUMPER by AVANT,LAUREN",,,,,,,"MISS JUMPER by AVANT,LAUREN",1,jumper,missed,rhodes college,lauren avant,,928
39,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,39,--,"REBOUND OFF by AVANT,LAUREN",,,,,,,"REBOUND OFF by AVANT,LAUREN",1,offensive rebound,,rhodes college,lauren avant,,
40,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,40,15:22,"GOOD LAYUP by AVANT,LAUREN(in the paint)",10 (+6),,4,,RHODESWB 10-4 (-6),,"GOOD LAYUP by AVANT,LAUREN(in the paint)",1,layup,good,rhodes college,lauren avant,2,922
41,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,41,15:22,,,,,"FOUL  by STOUGH,MARY GORDON",,,"FOUL  by STOUGH,MARY GORDON",1,foul,,Centre,mary gordon stough,,922
42,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,42,15:22,"GOOD FT by AVANT,LAUREN",11 (+7),,4,,RHODESWB 11-4 (-7),,"GOOD FT by AVANT,LAUREN",1,free throw,good,rhodes college,lauren avant,1,922
43,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,43,15:22,"SUB IN by SMITH,BLAIRE",,,,,,,"SUB IN by SMITH,BLAIRE",1,subbing in,,rhodes college,blaire smith,,922
44,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,44,15:22,"SUB OUT by GOODRUM,NATALIE",,,,,,,"SUB OUT by GOODRUM,NATALIE",1,subbing out,,rhodes college,natalie goodrum,,922
45,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,45,15:22,,,,,"SUB IN by COLLIVER,OLIVIA",,,"SUB IN by COLLIVER,OLIVIA",1,subbing in,,Centre,olivia colliver,,922
46,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,46,15:22,,,,,"SUB OUT by STOUGH,MARY GORDON",,,"SUB OUT by STOUGH,MARY GORDON",1,subbing out,,Centre,mary gordon stough,,922
47,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,47,15:14,,,,,"MISS JUMPER by BAECHLE,PAIGE",,,"MISS JUMPER by BAECHLE,PAIGE",1,jumper,missed,Centre,paige baechle,,914
48,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,48,15:14,"BLOCK  by KRAMER,BAILEY",,,,,,,"BLOCK  by KRAMER,BAILEY",1,block,,rhodes college,bailey kramer,,914
49,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,49,--,"REBOUND DEF by AVANT,LAUREN",,,,,,,"REBOUND DEF by AVANT,LAUREN",1,defensive rebound,,rhodes college,lauren avant,,
50,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,50,15:00,,,,,"FOUL  by HARTLAGE,MAGGIE",,,"FOUL  by HARTLAGE,MAGGIE",1,foul,,Centre,maggie hartlage,,900
51,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,51,15:00,"TIMEOUT TEAM by BUTLER,MADISON",,,,,,,"TIMEOUT TEAM by BUTLER,MADISON",1,timeout,,rhodes college,,,900
52,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,52,15:00,"MISS FT by AVANT,LAUREN",,,,,,,"MISS FT by AVANT,LAUREN",1,free throw,missed,rhodes college,lauren avant,,900
