,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,BCW,Away Team Score,Play Team Indicator,Home Team Score,CENTREW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
25,21,berry,Berry College,Centre College,80-64,80,64,"28, 52, 80","38, 26, 64",28,52,80,38,26,64,"14-7, 8-2 SAA","11-10, 4-6 SAA",02/09/14,Win,295,No Location Recorded,1:00 p.m.,H,25,18:12,,,,,"MISS LAYUP by BAECHLE,PAIGE",,,"MISS LAYUP by BAECHLE,PAIGE",1,layup,missed,Centre,paige baechle,,1092
26,21,berry,Berry College,Centre College,80-64,80,64,"28, 52, 80","38, 26, 64",28,52,80,38,26,64,"14-7, 8-2 SAA","11-10, 4-6 SAA",02/09/14,Win,295,No Location Recorded,1:00 p.m.,H,26,--,"REBOUND DEF by COOK,EMMA",,,,,,,"REBOUND DEF by COOK,EMMA",1,defensive rebound,,berry college,emma cook,,
27,21,berry,Berry College,Centre College,80-64,80,64,"28, 52, 80","38, 26, 64",28,52,80,38,26,64,"14-7, 8-2 SAA","11-10, 4-6 SAA",02/09/14,Win,295,No Location Recorded,1:00 p.m.,H,27,17:59,"GOOD LAYUP by COOK,EMMA(in the paint)",5 (+2),,3,,BCW 5-3 (-2),,"GOOD LAYUP by COOK,EMMA(in the paint)",1,layup,good,berry college,emma cook,2,1079
28,21,berry,Berry College,Centre College,80-64,80,64,"28, 52, 80","38, 26, 64",28,52,80,38,26,64,"14-7, 8-2 SAA","11-10, 4-6 SAA",02/09/14,Win,295,No Location Recorded,1:00 p.m.,H,28,--,"ASSIST  by WALSH,MEGAN",,,,,,,"ASSIST  by WALSH,MEGAN",1,assist,,berry college,megan walsh,,
29,21,berry,Berry College,Centre College,80-64,80,64,"28, 52, 80","38, 26, 64",28,52,80,38,26,64,"14-7, 8-2 SAA","11-10, 4-6 SAA",02/09/14,Win,295,No Location Recorded,1:00 p.m.,H,29,17:42,,,,,"TURNOVER  by GUY,ALANNA",,,"TURNOVER  by GUY,ALANNA",1,turnover,,Centre,alanna guy,,1062
30,21,berry,Berry College,Centre College,80-64,80,64,"28, 52, 80","38, 26, 64",28,52,80,38,26,64,"14-7, 8-2 SAA","11-10, 4-6 SAA",02/09/14,Win,295,No Location Recorded,1:00 p.m.,H,30,17:20,"GOOD JUMPER by MCLEAN,MEL",7 (+4),,3,,BCW 7-3 (-4),,"GOOD JUMPER by MCLEAN,MEL",1,jumper,good,berry college,mel mclean,2,1040
31,21,berry,Berry College,Centre College,80-64,80,64,"28, 52, 80","38, 26, 64",28,52,80,38,26,64,"14-7, 8-2 SAA","11-10, 4-6 SAA",02/09/14,Win,295,No Location Recorded,1:00 p.m.,H,31,17:02,"FOUL  by WALSH,MEGAN",,,,,,,"FOUL  by WALSH,MEGAN",1,foul,,berry college,megan walsh,,1022
32,21,berry,Berry College,Centre College,80-64,80,64,"28, 52, 80","38, 26, 64",28,52,80,38,26,64,"14-7, 8-2 SAA","11-10, 4-6 SAA",02/09/14,Win,295,No Location Recorded,1:00 p.m.,H,32,17:02,"SUB IN by MCLURE,VALERIE",,,,,,,"SUB IN by MCLURE,VALERIE",1,subbing in,,berry college,valerie mclure,,1022
33,21,berry,Berry College,Centre College,80-64,80,64,"28, 52, 80","38, 26, 64",28,52,80,38,26,64,"14-7, 8-2 SAA","11-10, 4-6 SAA",02/09/14,Win,295,No Location Recorded,1:00 p.m.,H,33,17:02,"SUB OUT by WALSH,MEGAN",,,,,,,"SUB OUT by WALSH,MEGAN",1,subbing out,,berry college,megan walsh,,1022
34,21,berry,Berry College,Centre College,80-64,80,64,"28, 52, 80","38, 26, 64",28,52,80,38,26,64,"14-7, 8-2 SAA","11-10, 4-6 SAA",02/09/14,Win,295,No Location Recorded,1:00 p.m.,H,34,16:56,,,,,"MISS JUMPER by HARTLAGE,MAGGIE",,,"MISS JUMPER by HARTLAGE,MAGGIE",1,jumper,missed,Centre,maggie hartlage,,1016
35,21,berry,Berry College,Centre College,80-64,80,64,"28, 52, 80","38, 26, 64",28,52,80,38,26,64,"14-7, 8-2 SAA","11-10, 4-6 SAA",02/09/14,Win,295,No Location Recorded,1:00 p.m.,H,35,--,,,,,"REBOUND OFF by GUY,ALANNA",,,"REBOUND OFF by GUY,ALANNA",1,offensive rebound,,Centre,alanna guy,,
36,21,berry,Berry College,Centre College,80-64,80,64,"28, 52, 80","38, 26, 64",28,52,80,38,26,64,"14-7, 8-2 SAA","11-10, 4-6 SAA",02/09/14,Win,295,No Location Recorded,1:00 p.m.,H,36,16:50,,,,,"MISS JUMPER by GUY,ALANNA",,,"MISS JUMPER by GUY,ALANNA",1,jumper,missed,Centre,alanna guy,,1010
37,21,berry,Berry College,Centre College,80-64,80,64,"28, 52, 80","38, 26, 64",28,52,80,38,26,64,"14-7, 8-2 SAA","11-10, 4-6 SAA",02/09/14,Win,295,No Location Recorded,1:00 p.m.,H,37,--,"REBOUND DEF by COOK,EMMA",,,,,,,"REBOUND DEF by COOK,EMMA",1,defensive rebound,,berry college,emma cook,,
38,21,berry,Berry College,Centre College,80-64,80,64,"28, 52, 80","38, 26, 64",28,52,80,38,26,64,"14-7, 8-2 SAA","11-10, 4-6 SAA",02/09/14,Win,295,No Location Recorded,1:00 p.m.,H,38,16:44,,,,,"FOUL  by BAECHLE,PAIGE",,,"FOUL  by BAECHLE,PAIGE",1,foul,,Centre,paige baechle,,1004
39,21,berry,Berry College,Centre College,80-64,80,64,"28, 52, 80","38, 26, 64",28,52,80,38,26,64,"14-7, 8-2 SAA","11-10, 4-6 SAA",02/09/14,Win,295,No Location Recorded,1:00 p.m.,H,39,16:34,"GOOD FT by SEGARRA,CHANLIR",8 (+5),,3,,BCW 8-3 (-5),,"GOOD FT by SEGARRA,CHANLIR",1,free throw,good,berry college,chanlir segarra,1,994
40,21,berry,Berry College,Centre College,80-64,80,64,"28, 52, 80","38, 26, 64",28,52,80,38,26,64,"14-7, 8-2 SAA","11-10, 4-6 SAA",02/09/14,Win,295,No Location Recorded,1:00 p.m.,H,40,16:26,"GOOD FT by SEGARRA,CHANLIR",9 (+6),,3,,BCW 9-3 (-6),,"GOOD FT by SEGARRA,CHANLIR",1,free throw,good,berry college,chanlir segarra,1,986
41,21,berry,Berry College,Centre College,80-64,80,64,"28, 52, 80","38, 26, 64",28,52,80,38,26,64,"14-7, 8-2 SAA","11-10, 4-6 SAA",02/09/14,Win,295,No Location Recorded,1:00 p.m.,H,41,15:58,,,,,"MISS JUMPER by HARTLAGE,MAGGIE",,,"MISS JUMPER by HARTLAGE,MAGGIE",1,jumper,missed,Centre,maggie hartlage,,958
42,21,berry,Berry College,Centre College,80-64,80,64,"28, 52, 80","38, 26, 64",28,52,80,38,26,64,"14-7, 8-2 SAA","11-10, 4-6 SAA",02/09/14,Win,295,No Location Recorded,1:00 p.m.,H,42,--,"REBOUND DEF by COOK,EMMA",,,,,,,"REBOUND DEF by COOK,EMMA",1,defensive rebound,,berry college,emma cook,,
43,21,berry,Berry College,Centre College,80-64,80,64,"28, 52, 80","38, 26, 64",28,52,80,38,26,64,"14-7, 8-2 SAA","11-10, 4-6 SAA",02/09/14,Win,295,No Location Recorded,1:00 p.m.,H,43,15:47,,,,,"FOUL  by RHULE,BONNIE",,,"FOUL  by RHULE,BONNIE",1,foul,,Centre,bonnie rhule,,947
44,21,berry,Berry College,Centre College,80-64,80,64,"28, 52, 80","38, 26, 64",28,52,80,38,26,64,"14-7, 8-2 SAA","11-10, 4-6 SAA",02/09/14,Win,295,No Location Recorded,1:00 p.m.,H,44,15:45,"SUB IN by IVEY,MARISSA",,,,,,,"SUB IN by IVEY,MARISSA",1,subbing in,,berry college,marissa ivey,,945
45,21,berry,Berry College,Centre College,80-64,80,64,"28, 52, 80","38, 26, 64",28,52,80,38,26,64,"14-7, 8-2 SAA","11-10, 4-6 SAA",02/09/14,Win,295,No Location Recorded,1:00 p.m.,H,45,15:45,"SUB OUT by TRIMBLE,MAGGIE",,,,,,,"SUB OUT by TRIMBLE,MAGGIE",1,subbing out,,berry college,maggie trimble,,945
46,21,berry,Berry College,Centre College,80-64,80,64,"28, 52, 80","38, 26, 64",28,52,80,38,26,64,"14-7, 8-2 SAA","11-10, 4-6 SAA",02/09/14,Win,295,No Location Recorded,1:00 p.m.,H,46,15:45,,,,,"SUB IN by GUY,ALEXIS",,,"SUB IN by GUY,ALEXIS",1,subbing in,,Centre,alexis guy,,945
47,21,berry,Berry College,Centre College,80-64,80,64,"28, 52, 80","38, 26, 64",28,52,80,38,26,64,"14-7, 8-2 SAA","11-10, 4-6 SAA",02/09/14,Win,295,No Location Recorded,1:00 p.m.,H,47,15:45,,,,,"SUB OUT by RHULE,BONNIE",,,"SUB OUT by RHULE,BONNIE",1,subbing out,,Centre,bonnie rhule,,945
48,21,berry,Berry College,Centre College,80-64,80,64,"28, 52, 80","38, 26, 64",28,52,80,38,26,64,"14-7, 8-2 SAA","11-10, 4-6 SAA",02/09/14,Win,295,No Location Recorded,1:00 p.m.,H,48,15:36,"MISS LAYUP by COOK,EMMA",,,,,,,"MISS LAYUP by COOK,EMMA",1,layup,missed,berry college,emma cook,,936
