,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,NPU,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
35,7,north-park,North Park,Centre,72-82,72,82,"33, 33, 6, 72","32, 34, 16, 82",33,33,6,72,32,34,16,82,5-1,4-2,12/01/13,Lose,No Attendence Recorded,No Location Recorded,2 p.m.,H,35,16:08,,,,,"MISS LAYUP by BAECHLE,PAIGE",,,"MISS LAYUP by BAECHLE,PAIGE",1,layup,missed,Centre,paige baechle,,968
36,7,north-park,North Park,Centre,72-82,72,82,"33, 33, 6, 72","32, 34, 16, 82",33,33,6,72,32,34,16,82,5-1,4-2,12/01/13,Lose,No Attendence Recorded,No Location Recorded,2 p.m.,H,36,--,"REBOUND DEF by WILLIAMS,DOMINIKQUE",,,,,,,"REBOUND DEF by WILLIAMS,DOMINIKQUE",1,defensive rebound,,north park,dominikque williams,,
37,7,north-park,North Park,Centre,72-82,72,82,"33, 33, 6, 72","32, 34, 16, 82",33,33,6,72,32,34,16,82,5-1,4-2,12/01/13,Lose,No Attendence Recorded,No Location Recorded,2 p.m.,H,37,15:58,"MISS 3PTR by SHAIN,ANNIE",,,,,,,"MISS 3PTR by SHAIN,ANNIE",1,three pointer,missed,north park,annie shain,,958
38,7,north-park,North Park,Centre,72-82,72,82,"33, 33, 6, 72","32, 34, 16, 82",33,33,6,72,32,34,16,82,5-1,4-2,12/01/13,Lose,No Attendence Recorded,No Location Recorded,2 p.m.,H,38,--,,,,,"REBOUND DEF by BAECHLE,PAIGE",,,"REBOUND DEF by BAECHLE,PAIGE",1,defensive rebound,,Centre,paige baechle,,
39,7,north-park,North Park,Centre,72-82,72,82,"33, 33, 6, 72","32, 34, 16, 82",33,33,6,72,32,34,16,82,5-1,4-2,12/01/13,Lose,No Attendence Recorded,No Location Recorded,2 p.m.,H,39,15:45,,8 (+2),,6,"GOOD LAYUP by JUDY,MICHELE(in the paint)",CENTRE_W 8-6 (-2),,"GOOD LAYUP by JUDY,MICHELE(in the paint)",1,layup,good,Centre,michele judy,2,945
40,7,north-park,North Park,Centre,72-82,72,82,"33, 33, 6, 72","32, 34, 16, 82",33,33,6,72,32,34,16,82,5-1,4-2,12/01/13,Lose,No Attendence Recorded,No Location Recorded,2 p.m.,H,40,--,,,,,"ASSIST  by BAECHLE,PAIGE",,,"ASSIST  by BAECHLE,PAIGE",1,assist,,Centre,paige baechle,,
41,7,north-park,North Park,Centre,72-82,72,82,"33, 33, 6, 72","32, 34, 16, 82",33,33,6,72,32,34,16,82,5-1,4-2,12/01/13,Lose,No Attendence Recorded,No Location Recorded,2 p.m.,H,41,15:28,"GOOD LAYUP by TORRES,RACHEL(in the paint)",10 (+4),,6,,NPU 10-6 (-4),,"GOOD LAYUP by TORRES,RACHEL(in the paint)",1,layup,good,north park,rachel torres,2,928
42,7,north-park,North Park,Centre,72-82,72,82,"33, 33, 6, 72","32, 34, 16, 82",33,33,6,72,32,34,16,82,5-1,4-2,12/01/13,Lose,No Attendence Recorded,No Location Recorded,2 p.m.,H,42,15:04,,10 (+2),,8,"GOOD LAYUP by HARTLAGE,MAGGIE(in the paint)",CENTRE_W 10-8 (-2),,"GOOD LAYUP by HARTLAGE,MAGGIE(in the paint)",1,layup,good,Centre,maggie hartlage,2,904
43,7,north-park,North Park,Centre,72-82,72,82,"33, 33, 6, 72","32, 34, 16, 82",33,33,6,72,32,34,16,82,5-1,4-2,12/01/13,Lose,No Attendence Recorded,No Location Recorded,2 p.m.,H,43,14:45,"GOOD LAYUP by KRUCKMAN,NICOLE(in the paint)",12 (+4),,8,,NPU 12-8 (-4),,"GOOD LAYUP by KRUCKMAN,NICOLE(in the paint)",1,layup,good,north park,nicole kruckman,2,885
44,7,north-park,North Park,Centre,72-82,72,82,"33, 33, 6, 72","32, 34, 16, 82",33,33,6,72,32,34,16,82,5-1,4-2,12/01/13,Lose,No Attendence Recorded,No Location Recorded,2 p.m.,H,44,--,"ASSIST  by TORRES,RACHEL",,,,,,,"ASSIST  by TORRES,RACHEL",1,assist,,north park,rachel torres,,
