,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,CENTRE,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
43,26,hendrix,Hendrix,Centre,64-50,64,50,"32, 32, 64","27, 23, 50",32,32,64,27,23,50,17-9,12-14,02/28/14,Win,422,No Location Recorded,3 p.m.,H,43,15:14,"SUB IN by MCNEILL,KAITLIN",,,,,,,"SUB IN by MCNEILL,KAITLIN",1,subbing in,,hendrix,kaitlin mcneill,,914
44,26,hendrix,Hendrix,Centre,64-50,64,50,"32, 32, 64","27, 23, 50",32,32,64,27,23,50,17-9,12-14,02/28/14,Win,422,No Location Recorded,3 p.m.,H,44,15:14,"SUB OUT by TATE,JAMIE",,,,,,,"SUB OUT by TATE,JAMIE",1,subbing out,,hendrix,jamie tate,,914
45,26,hendrix,Hendrix,Centre,64-50,64,50,"32, 32, 64","27, 23, 50",32,32,64,27,23,50,17-9,12-14,02/28/14,Win,422,No Location Recorded,3 p.m.,H,45,15:07,"TURNOVER  by KRIESEL-BIGLER,CAIT",,,,,,,"TURNOVER  by KRIESEL-BIGLER,CAIT",1,turnover,,hendrix,cait kriesel-bigler,,907
46,26,hendrix,Hendrix,Centre,64-50,64,50,"32, 32, 64","27, 23, 50",32,32,64,27,23,50,17-9,12-14,02/28/14,Win,422,No Location Recorded,3 p.m.,H,46,15:07,,,,,"STEAL  by HARTLAGE,MAGGIE",,,"STEAL  by HARTLAGE,MAGGIE",1,steal,,Centre,,,907
47,26,hendrix,Hendrix,Centre,64-50,64,50,"32, 32, 64","27, 23, 50",32,32,64,27,23,50,17-9,12-14,02/28/14,Win,422,No Location Recorded,3 p.m.,H,47,14:53,,,,,"MISS JUMPER by HARTLAGE,MAGGIE",,,"MISS JUMPER by HARTLAGE,MAGGIE",1,jumper,missed,Centre,maggie hartlage,,893
48,26,hendrix,Hendrix,Centre,64-50,64,50,"32, 32, 64","27, 23, 50",32,32,64,27,23,50,17-9,12-14,02/28/14,Win,422,No Location Recorded,3 p.m.,H,48,--,"REBOUND DEF by KRIESEL-BIGLER,CAIT",,,,,,,"REBOUND DEF by KRIESEL-BIGLER,CAIT",1,defensive rebound,,hendrix,cait kriesel-bigler,,
49,26,hendrix,Hendrix,Centre,64-50,64,50,"32, 32, 64","27, 23, 50",32,32,64,27,23,50,17-9,12-14,02/28/14,Win,422,No Location Recorded,3 p.m.,H,49,14:44,"GOOD LAYUP by KING,ANNA(in the paint)",7 (+5),,2,,HC 7-2 (-5),,"GOOD LAYUP by KING,ANNA(in the paint)",1,layup,good,hendrix,anna king,2,884
50,26,hendrix,Hendrix,Centre,64-50,64,50,"32, 32, 64","27, 23, 50",32,32,64,27,23,50,17-9,12-14,02/28/14,Win,422,No Location Recorded,3 p.m.,H,50,--,"ASSIST  by KRIESEL-BIGLER,CAIT",,,,,,,"ASSIST  by KRIESEL-BIGLER,CAIT",1,assist,,hendrix,cait kriesel-bigler,,
51,26,hendrix,Hendrix,Centre,64-50,64,50,"32, 32, 64","27, 23, 50",32,32,64,27,23,50,17-9,12-14,02/28/14,Win,422,No Location Recorded,3 p.m.,H,51,14:26,"FOUL  by MCNEILL,KAITLIN",,,,,,,"FOUL  by MCNEILL,KAITLIN",1,foul,,hendrix,kaitlin mcneill,,866
52,26,hendrix,Hendrix,Centre,64-50,64,50,"32, 32, 64","27, 23, 50",32,32,64,27,23,50,17-9,12-14,02/28/14,Win,422,No Location Recorded,3 p.m.,H,52,14:26,"SUB IN by BROBERG,KATI",,,,,,,"SUB IN by BROBERG,KATI",1,subbing in,,hendrix,kati broberg,,866
53,26,hendrix,Hendrix,Centre,64-50,64,50,"32, 32, 64","27, 23, 50",32,32,64,27,23,50,17-9,12-14,02/28/14,Win,422,No Location Recorded,3 p.m.,H,53,14:26,"SUB OUT by GALLIEN,KATY",,,,,,,"SUB OUT by GALLIEN,KATY",1,subbing out,,hendrix,katy gallien,,866
54,26,hendrix,Hendrix,Centre,64-50,64,50,"32, 32, 64","27, 23, 50",32,32,64,27,23,50,17-9,12-14,02/28/14,Win,422,No Location Recorded,3 p.m.,H,54,14:22,,7 (+3),,4,"GOOD LAYUP by HARTLAGE,MAGGIE(in the paint)",CENTRE 7-4 (-3),,"GOOD LAYUP by HARTLAGE,MAGGIE(in the paint)",1,layup,good,Centre,maggie hartlage,2,862
55,26,hendrix,Hendrix,Centre,64-50,64,50,"32, 32, 64","27, 23, 50",32,32,64,27,23,50,17-9,12-14,02/28/14,Win,422,No Location Recorded,3 p.m.,H,55,--,,,,,"ASSIST  by ANDREASSEN,CAROLINE",,,"ASSIST  by ANDREASSEN,CAROLINE",1,assist,,Centre,caroline andreassen,,
56,26,hendrix,Hendrix,Centre,64-50,64,50,"32, 32, 64","27, 23, 50",32,32,64,27,23,50,17-9,12-14,02/28/14,Win,422,No Location Recorded,3 p.m.,H,56,14:11,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1,timeout,,Centre,,,851
57,26,hendrix,Hendrix,Centre,64-50,64,50,"32, 32, 64","27, 23, 50",32,32,64,27,23,50,17-9,12-14,02/28/14,Win,422,No Location Recorded,3 p.m.,H,57,13:55,"GOOD JUMPER by KING,ANNA",9 (+5),,4,,HC 9-4 (-5),,"GOOD JUMPER by KING,ANNA",1,jumper,good,hendrix,anna king,2,835
58,26,hendrix,Hendrix,Centre,64-50,64,50,"32, 32, 64","27, 23, 50",32,32,64,27,23,50,17-9,12-14,02/28/14,Win,422,No Location Recorded,3 p.m.,H,58,--,"ASSIST  by KRIESEL-BIGLER,CAIT",,,,,,,"ASSIST  by KRIESEL-BIGLER,CAIT",1,assist,,hendrix,cait kriesel-bigler,,
59,26,hendrix,Hendrix,Centre,64-50,64,50,"32, 32, 64","27, 23, 50",32,32,64,27,23,50,17-9,12-14,02/28/14,Win,422,No Location Recorded,3 p.m.,H,59,13:45,"FOUL  by MCNEILL,KAITLIN",,,,,,,"FOUL  by MCNEILL,KAITLIN",1,foul,,hendrix,kaitlin mcneill,,825
60,26,hendrix,Hendrix,Centre,64-50,64,50,"32, 32, 64","27, 23, 50",32,32,64,27,23,50,17-9,12-14,02/28/14,Win,422,No Location Recorded,3 p.m.,H,60,13:45,,9 (+4),,5,"GOOD FT by BAECHLE,PAIGE",CENTRE 9-5 (-4),,"GOOD FT by BAECHLE,PAIGE",1,free throw,good,Centre,paige baechle,1,825
61,26,hendrix,Hendrix,Centre,64-50,64,50,"32, 32, 64","27, 23, 50",32,32,64,27,23,50,17-9,12-14,02/28/14,Win,422,No Location Recorded,3 p.m.,H,61,13:45,,9 (+3),,6,"GOOD FT by BAECHLE,PAIGE",CENTRE 9-6 (-3),,"GOOD FT by BAECHLE,PAIGE",1,free throw,good,Centre,paige baechle,1,825
62,26,hendrix,Hendrix,Centre,64-50,64,50,"32, 32, 64","27, 23, 50",32,32,64,27,23,50,17-9,12-14,02/28/14,Win,422,No Location Recorded,3 p.m.,H,62,13:45,"SUB IN by COUGHRAN,KATIE",,,,,,,"SUB IN by COUGHRAN,KATIE",1,subbing in,,hendrix,katie coughran,,825
63,26,hendrix,Hendrix,Centre,64-50,64,50,"32, 32, 64","27, 23, 50",32,32,64,27,23,50,17-9,12-14,02/28/14,Win,422,No Location Recorded,3 p.m.,H,63,13:45,"SUB OUT by MCNEILL,KAITLIN",,,,,,,"SUB OUT by MCNEILL,KAITLIN",1,subbing out,,hendrix,kaitlin mcneill,,825
64,26,hendrix,Hendrix,Centre,64-50,64,50,"32, 32, 64","27, 23, 50",32,32,64,27,23,50,17-9,12-14,02/28/14,Win,422,No Location Recorded,3 p.m.,H,64,13:31,"MISS 3PTR by BROBERG,KATI",,,,,,,"MISS 3PTR by BROBERG,KATI",1,three pointer,missed,hendrix,kati broberg,,811
65,26,hendrix,Hendrix,Centre,64-50,64,50,"32, 32, 64","27, 23, 50",32,32,64,27,23,50,17-9,12-14,02/28/14,Win,422,No Location Recorded,3 p.m.,H,65,--,,,,,"REBOUND DEF by ANDREASSEN,CAROLINE",,,"REBOUND DEF by ANDREASSEN,CAROLINE",1,defensive rebound,,Centre,caroline andreassen,,
