,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,RHODE,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
33,28,rhodes,Centre College,Rhodes College,60-79,60,79,"26, 34, 60","44, 35, 79",26,34,60,44,35,79,18-10,23-3,03/02/14,Lose,921,No Location Recorded,1 p.m.,A,33,15:03,,,,,"FOUL  by DANIELS,SYMONE",,,"FOUL  by DANIELS,SYMONE",1,foul,,rhodes college,symone daniels,,903
34,28,rhodes,Centre College,Rhodes College,60-79,60,79,"26, 34, 60","44, 35, 79",26,34,60,44,35,79,18-10,23-3,03/02/14,Lose,921,No Location Recorded,1 p.m.,A,34,15:03,"MISS 3PTR by GUY,ALEXIS",,,,,,,"MISS 3PTR by GUY,ALEXIS",1,three pointer,missed,Centre,alexis guy,,903
35,28,rhodes,Centre College,Rhodes College,60-79,60,79,"26, 34, 60","44, 35, 79",26,34,60,44,35,79,18-10,23-3,03/02/14,Lose,921,No Location Recorded,1 p.m.,A,35,--,,,,,"REBOUND DEF by TODMAN,DY'NELLE",,,"REBOUND DEF by TODMAN,DY'NELLE",1,defensive rebound,,rhodes college,dy'nelle todman,,
36,28,rhodes,Centre College,Rhodes College,60-79,60,79,"26, 34, 60","44, 35, 79",26,34,60,44,35,79,18-10,23-3,03/02/14,Lose,921,No Location Recorded,1 p.m.,A,36,15:03,,,,,"MISS 3PTR by GOODRUM,NATALIE",,,"MISS 3PTR by GOODRUM,NATALIE",1,three pointer,missed,rhodes college,natalie goodrum,,903
37,28,rhodes,Centre College,Rhodes College,60-79,60,79,"26, 34, 60","44, 35, 79",26,34,60,44,35,79,18-10,23-3,03/02/14,Lose,921,No Location Recorded,1 p.m.,A,37,--,"REBOUND DEF by GUY,ALEXIS",,,,,,,"REBOUND DEF by GUY,ALEXIS",1,defensive rebound,,Centre,alexis guy,,
38,28,rhodes,Centre College,Rhodes College,60-79,60,79,"26, 34, 60","44, 35, 79",26,34,60,44,35,79,18-10,23-3,03/02/14,Lose,921,No Location Recorded,1 p.m.,A,38,15:03,"GOOD JUMPER by HARTLAGE,MAGGIE(fastbreak)",10,,12 (+2),,CENTRE 10-12 (-2),,"GOOD JUMPER by HARTLAGE,MAGGIE(fastbreak)",1,jumper,good,Centre,maggie(fastbreak) hartlage,2,903
39,28,rhodes,Centre College,Rhodes College,60-79,60,79,"26, 34, 60","44, 35, 79",26,34,60,44,35,79,18-10,23-3,03/02/14,Lose,921,No Location Recorded,1 p.m.,A,39,15:03,,,,,"SUB IN by KRAMER,BAILEY",,,"SUB IN by KRAMER,BAILEY",1,subbing in,,rhodes college,bailey kramer,,903
40,28,rhodes,Centre College,Rhodes College,60-79,60,79,"26, 34, 60","44, 35, 79",26,34,60,44,35,79,18-10,23-3,03/02/14,Lose,921,No Location Recorded,1 p.m.,A,40,15:03,,,,,"SUB OUT by DANIELS,SYMONE",,,"SUB OUT by DANIELS,SYMONE",1,subbing out,,rhodes college,symone daniels,,903
41,28,rhodes,Centre College,Rhodes College,60-79,60,79,"26, 34, 60","44, 35, 79",26,34,60,44,35,79,18-10,23-3,03/02/14,Lose,921,No Location Recorded,1 p.m.,A,41,14:59,"FOUL  by STOUGH,MARY GORDON",,,,,,,"FOUL  by STOUGH,MARY GORDON",1,foul,,Centre,mary gordon stough,,899
42,28,rhodes,Centre College,Rhodes College,60-79,60,79,"26, 34, 60","44, 35, 79",26,34,60,44,35,79,18-10,23-3,03/02/14,Lose,921,No Location Recorded,1 p.m.,A,42,14:55,,10,,13 (+3),"GOOD FT by AVANT,LAUREN",RHODE 10-13 (-3),,"GOOD FT by AVANT,LAUREN",1,free throw,good,rhodes college,lauren avant,1,895
