,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTREW,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
45,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,45,--,,,,,"REBOUND DEF by KLUNK,KIM",,,"REBOUND DEF by KLUNK,KIM",1,defensive rebound,,millsapw,kim klunk,,
46,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,46,15:07,,4,,6 (+2),"GOOD LAYUP by PEREZ,SAM(in the paint)",MILLSAPW 4-6 (-2),,"GOOD LAYUP by PEREZ,SAM(in the paint)",1,layup,good,millsapw,sam perez,2,907
47,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,47,15:03,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1,timeout,,Centre,,,903
48,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,48,14:45,"MISS LAYUP by STOUGH,MARY GORDON",,,,,,,"MISS LAYUP by STOUGH,MARY GORDON",1,layup,missed,Centre,mary gordon stough,,885
49,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,49,--,,,,,"REBOUND DEF by KLUNK,KIM",,,"REBOUND DEF by KLUNK,KIM",1,defensive rebound,,millsapw,kim klunk,,
50,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,50,14:32,,4,,8 (+4),"GOOD LAYUP by RANDLE,KELLI(in the paint)",MILLSAPW 4-8 (-4),,"GOOD LAYUP by RANDLE,KELLI(in the paint)",1,layup,good,millsapw,kelli randle,2,872
51,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,51,--,,,,,"ASSIST  by JOHNSON,VELVET",,,"ASSIST  by JOHNSON,VELVET",1,assist,,millsapw,velvet johnson,,
52,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,52,14:15,"MISS LAYUP by BAECHLE,PAIGE",,,,,,,"MISS LAYUP by BAECHLE,PAIGE",1,layup,missed,Centre,paige baechle,,855
53,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,53,--,,,,,"REBOUND DEF by RANDLE,KELLI",,,"REBOUND DEF by RANDLE,KELLI",1,defensive rebound,,millsapw,kelli randle,,
54,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,54,13:50,,4,,10 (+6),"GOOD JUMPER by PEREZ,SAM",MILLSAPW 4-10 (-6),,"GOOD JUMPER by PEREZ,SAM",1,jumper,good,millsapw,sam perez,2,830
