,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,PCW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
47,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,47,15:57,,,,,"SUB OUT by SWOSZOWSKI,TAYLOR",,,"SUB OUT by SWOSZOWSKI,TAYLOR",1,subbing out,,piedmont college,taylor swoszowski,,957
48,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,48,15:57,,,,,"SUB OUT by HAMEL,LAUREN",,,"SUB OUT by HAMEL,LAUREN",1,subbing out,,piedmont college,lauren hamel,,957
49,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,49,15:53,,,,,"MISS 3PTR by RUSHTON,MARY KATE",,,"MISS 3PTR by RUSHTON,MARY KATE",1,three pointer,missed,piedmont college,mary kate rushton,,953
50,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,50,--,,,,,"REBOUND OFF by RUSHTON,MARY KATE",,,"REBOUND OFF by RUSHTON,MARY KATE",1,offensive rebound,,piedmont college,mary kate rushton,,
51,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,51,15:41,,7 (+5),,2,"GOOD JUMPER by REYES,ELISE(in the paint)",PCW 7-2 (+5),,"GOOD JUMPER by REYES,ELISE(in the paint)",1,jumper,good,piedmont college,elise reyes,2,941
52,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,52,--,,,,,"ASSIST  by ALVERSON,CHANDLER",,,"ASSIST  by ALVERSON,CHANDLER",1,assist,,piedmont college,chandler alverson,,
53,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,53,15:22,"MISS 3PTR by RHULE,BONNIE",,,,,,,"MISS 3PTR by RHULE,BONNIE",1,three pointer,missed,Centre,bonnie rhule,,922
54,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,54,--,,,,,"REBOUND DEF by RUSHTON,MARY KATE",,,"REBOUND DEF by RUSHTON,MARY KATE",1,defensive rebound,,piedmont college,mary kate rushton,,
55,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,55,15:14,,7 (+3),,4,"GOOD LAYUP by RUSHTON,MARY KATE(fastbreak)(in the paint)",PCW 7-4 (+3),,"GOOD LAYUP by RUSHTON,MARY KATE(fastbreak)(in the paint)",1,layup,good,piedmont college,mary kate(fastbreak) rushton,2,914
56,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,56,14:57,"MISS JUMPER by STOUGH,MARY GORDON",,,,,,,"MISS JUMPER by STOUGH,MARY GORDON",1,jumper,missed,Centre,mary gordon stough,,897
