,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,BSCW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
24,14,birmingham-southern,Birmingham Southern College,Centre College,89-81,89,81,"47, 42, 89","33, 48, 81",47,42,89,33,48,81,"9-5, 3-0 SAA","6-7, 2-1 SAA",01/12/14,Win,210,No Location Recorded,1:00 p.m.,H,24,16:59,,8,,8,"GOOD JUMPER by BAECHLE,PAIGE",CENTRE_W 8-8 (0),,"GOOD JUMPER by BAECHLE,PAIGE",1,jumper,good,Centre,paige baechle,2,1019
25,14,birmingham-southern,Birmingham Southern College,Centre College,89-81,89,81,"47, 42, 89","33, 48, 81",47,42,89,33,48,81,"9-5, 3-0 SAA","6-7, 2-1 SAA",01/12/14,Win,210,No Location Recorded,1:00 p.m.,H,25,--,,,,,"ASSIST  by GUY,ALANNA",,,"ASSIST  by GUY,ALANNA",1,assist,,Centre,alanna guy,,
26,14,birmingham-southern,Birmingham Southern College,Centre College,89-81,89,81,"47, 42, 89","33, 48, 81",47,42,89,33,48,81,"9-5, 3-0 SAA","6-7, 2-1 SAA",01/12/14,Win,210,No Location Recorded,1:00 p.m.,H,26,16:39,"MISS JUMPER by BROMIRSKI,ELIZABETH",,,,,,,"MISS JUMPER by BROMIRSKI,ELIZABETH",1,jumper,missed,birmingham southern college,elizabeth bromirski,,999
27,14,birmingham-southern,Birmingham Southern College,Centre College,89-81,89,81,"47, 42, 89","33, 48, 81",47,42,89,33,48,81,"9-5, 3-0 SAA","6-7, 2-1 SAA",01/12/14,Win,210,No Location Recorded,1:00 p.m.,H,27,--,,,,,"REBOUND DEF by HARTLAGE,MAGGIE",,,"REBOUND DEF by HARTLAGE,MAGGIE",1,defensive rebound,,Centre,maggie hartlage,,
28,14,birmingham-southern,Birmingham Southern College,Centre College,89-81,89,81,"47, 42, 89","33, 48, 81",47,42,89,33,48,81,"9-5, 3-0 SAA","6-7, 2-1 SAA",01/12/14,Win,210,No Location Recorded,1:00 p.m.,H,28,16:30,,8,,11 (+3),"GOOD 3PTR by GUY,ALANNA",CENTRE_W 8-11 (+3),,"GOOD 3PTR by GUY,ALANNA",1,three pointer,good,Centre,alanna guy,3,990
29,14,birmingham-southern,Birmingham Southern College,Centre College,89-81,89,81,"47, 42, 89","33, 48, 81",47,42,89,33,48,81,"9-5, 3-0 SAA","6-7, 2-1 SAA",01/12/14,Win,210,No Location Recorded,1:00 p.m.,H,29,--,,,,,"ASSIST  by HARTLAGE,MAGGIE",,,"ASSIST  by HARTLAGE,MAGGIE",1,assist,,Centre,maggie hartlage,,
30,14,birmingham-southern,Birmingham Southern College,Centre College,89-81,89,81,"47, 42, 89","33, 48, 81",47,42,89,33,48,81,"9-5, 3-0 SAA","6-7, 2-1 SAA",01/12/14,Win,210,No Location Recorded,1:00 p.m.,H,30,16:16,"MISS 3PTR by BROWN,KELSEY",,,,,,,"MISS 3PTR by BROWN,KELSEY",1,three pointer,missed,birmingham southern college,kelsey brown,,976
31,14,birmingham-southern,Birmingham Southern College,Centre College,89-81,89,81,"47, 42, 89","33, 48, 81",47,42,89,33,48,81,"9-5, 3-0 SAA","6-7, 2-1 SAA",01/12/14,Win,210,No Location Recorded,1:00 p.m.,H,31,--,,,,,"REBOUND DEF by STOUGH,MARY GORDON",,,"REBOUND DEF by STOUGH,MARY GORDON",1,defensive rebound,,Centre,mary gordon stough,,
32,14,birmingham-southern,Birmingham Southern College,Centre College,89-81,89,81,"47, 42, 89","33, 48, 81",47,42,89,33,48,81,"9-5, 3-0 SAA","6-7, 2-1 SAA",01/12/14,Win,210,No Location Recorded,1:00 p.m.,H,32,16:04,,,,,"TURNOVER  by BAECHLE,PAIGE",,,"TURNOVER  by BAECHLE,PAIGE",1,turnover,,Centre,paige baechle,,964
33,14,birmingham-southern,Birmingham Southern College,Centre College,89-81,89,81,"47, 42, 89","33, 48, 81",47,42,89,33,48,81,"9-5, 3-0 SAA","6-7, 2-1 SAA",01/12/14,Win,210,No Location Recorded,1:00 p.m.,H,33,15:47,"MISS JUMPER by PEURSEM,LAURA VAN",,,,,,,"MISS JUMPER by PEURSEM,LAURA VAN",1,jumper,missed,birmingham southern college,laura van peursem,,947
34,14,birmingham-southern,Birmingham Southern College,Centre College,89-81,89,81,"47, 42, 89","33, 48, 81",47,42,89,33,48,81,"9-5, 3-0 SAA","6-7, 2-1 SAA",01/12/14,Win,210,No Location Recorded,1:00 p.m.,H,34,--,,,,,"REBOUND DEF by STOUGH,MARY GORDON",,,"REBOUND DEF by STOUGH,MARY GORDON",1,defensive rebound,,Centre,mary gordon stough,,
