,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CCW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
24,2,covenant,Covenant,Centre,70-52,70,52,"12, 17, 25, 16, 70","15, 10, 13, 14, 52",12,17,25,16,70,15,10,13,14,52,2-0,0-2,11/17/18,Win,No Attendence Recorded,No Location Recorded,6:05 p.m.,H,24,07:34,"MISS JUMPER by SMITH,JOANNA",,,,,,,"MISS JUMPER by SMITH,JOANNA",1,jumper,missed,covenant,joanna smith,,454
25,2,covenant,Covenant,Centre,70-52,70,52,"12, 17, 25, 16, 70","15, 10, 13, 14, 52",12,17,25,16,70,15,10,13,14,52,2-0,0-2,11/17/18,Win,No Attendence Recorded,No Location Recorded,6:05 p.m.,H,25,--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
26,2,covenant,Covenant,Centre,70-52,70,52,"12, 17, 25, 16, 70","15, 10, 13, 14, 52",12,17,25,16,70,15,10,13,14,52,2-0,0-2,11/17/18,Win,No Attendence Recorded,No Location Recorded,6:05 p.m.,H,26,07:31,,,,,"SUB IN by FEE,MIKAYLA",,,"SUB IN by FEE,MIKAYLA",1,subbing in,,Centre,mikayla fee,,451
27,2,covenant,Covenant,Centre,70-52,70,52,"12, 17, 25, 16, 70","15, 10, 13, 14, 52",12,17,25,16,70,15,10,13,14,52,2-0,0-2,11/17/18,Win,No Attendence Recorded,No Location Recorded,6:05 p.m.,H,27,07:31,,,,,"SUB IN by BUNNER,CHEYENNE",,,"SUB IN by BUNNER,CHEYENNE",1,subbing in,,Centre,cheyenne bunner,,451
28,2,covenant,Covenant,Centre,70-52,70,52,"12, 17, 25, 16, 70","15, 10, 13, 14, 52",12,17,25,16,70,15,10,13,14,52,2-0,0-2,11/17/18,Win,No Attendence Recorded,No Location Recorded,6:05 p.m.,H,28,07:31,,,,,"SUB OUT by RICE,MADISON",,,"SUB OUT by RICE,MADISON",1,subbing out,,Centre,madison rice,,451
29,2,covenant,Covenant,Centre,70-52,70,52,"12, 17, 25, 16, 70","15, 10, 13, 14, 52",12,17,25,16,70,15,10,13,14,52,2-0,0-2,11/17/18,Win,No Attendence Recorded,No Location Recorded,6:05 p.m.,H,29,07:31,,,,,"SUB OUT by STEWART,ABIGAIL",,,"SUB OUT by STEWART,ABIGAIL",1,subbing out,,Centre,abigail stewart,,451
30,2,covenant,Covenant,Centre,70-52,70,52,"12, 17, 25, 16, 70","15, 10, 13, 14, 52",12,17,25,16,70,15,10,13,14,52,2-0,0-2,11/17/18,Win,No Attendence Recorded,No Location Recorded,6:05 p.m.,H,30,07:24,,,,,"MISS JUMPER by WEHBY,ABIGAIL",,,"MISS JUMPER by WEHBY,ABIGAIL",1,jumper,missed,Centre,abigail wehby,,444
31,2,covenant,Covenant,Centre,70-52,70,52,"12, 17, 25, 16, 70","15, 10, 13, 14, 52",12,17,25,16,70,15,10,13,14,52,2-0,0-2,11/17/18,Win,No Attendence Recorded,No Location Recorded,6:05 p.m.,H,31,--,,,,,"REBOUND OFF by WEHBY,ABIGAIL",,,"REBOUND OFF by WEHBY,ABIGAIL",1,offensive rebound,,Centre,abigail wehby,,
32,2,covenant,Covenant,Centre,70-52,70,52,"12, 17, 25, 16, 70","15, 10, 13, 14, 52",12,17,25,16,70,15,10,13,14,52,2-0,0-2,11/17/18,Win,No Attendence Recorded,No Location Recorded,6:05 p.m.,H,32,07:18,,,,,"MISS 3PTR by MILLER,LAKKEN",,,"MISS 3PTR by MILLER,LAKKEN",1,three pointer,missed,Centre,lakken miller,,438
33,2,covenant,Covenant,Centre,70-52,70,52,"12, 17, 25, 16, 70","15, 10, 13, 14, 52",12,17,25,16,70,15,10,13,14,52,2-0,0-2,11/17/18,Win,No Attendence Recorded,No Location Recorded,6:05 p.m.,H,33,--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
