,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
45,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,45,06:01,,,,,"SUB IN by WILSON,KATHLEEN",,,"SUB IN by WILSON,KATHLEEN",1,subbing in,,Centre,kathleen wilson,,361
46,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,46,06:01,,,,,"SUB IN by MARCUM,MADISON",,,"SUB IN by MARCUM,MADISON",1,subbing in,,Centre,madison marcum,,361
47,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,47,06:01,,,,,"SUB IN by RICE,MADISON",,,"SUB IN by RICE,MADISON",1,subbing in,,Centre,madison rice,,361
48,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,48,06:01,,,,,"SUB IN by WEHBY,ABIGAIL",,,"SUB IN by WEHBY,ABIGAIL",1,subbing in,,Centre,abigail wehby,,361
49,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,49,06:01,,,,,"SUB OUT by FEE,MIKAYLA",,,"SUB OUT by FEE,MIKAYLA",1,subbing out,,Centre,mikayla fee,,361
50,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,50,06:01,,,,,"SUB OUT by MORRIS,TAYLOR",,,"SUB OUT by MORRIS,TAYLOR",1,subbing out,,Centre,taylor morris,,361
51,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,51,06:01,,,,,"SUB OUT by BUNNER,CHEYENNE",,,"SUB OUT by BUNNER,CHEYENNE",1,subbing out,,Centre,cheyenne bunner,,361
52,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,52,06:01,,,,,"SUB OUT by MILLER,LAKKEN",,,"SUB OUT by MILLER,LAKKEN",1,subbing out,,Centre,lakken miller,,361
53,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,53,06:01,,,,,"SUB OUT by CHIRICO,PRESLEY",,,"SUB OUT by CHIRICO,PRESLEY",1,subbing out,,Centre,presley chirico,,361
54,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,54,05:49,"MISS JUMPER by WHITESIDE,LINDSEY",,,,,,,"MISS JUMPER by WHITESIDE,LINDSEY",1,jumper,missed,rhodes,lindsey whiteside,,349
