,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,OGLE,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
25,27,oglethorpe,Centre,Oglethorpe,35-54,35,54,"10, 4, 12, 9, 35","16, 6, 17, 15, 54",10,4,12,9,35,16,6,17,15,54,13-13,21-5,02/23/19,Lose,74,No Location Recorded,6:00 PM,N,25,06:22,"SUB IN by CHIRICO,PRESLEY",,,,,,,"SUB IN by CHIRICO,PRESLEY",1,subbing in,,Centre,presley chirico,,382
26,27,oglethorpe,Centre,Oglethorpe,35-54,35,54,"10, 4, 12, 9, 35","16, 6, 17, 15, 54",10,4,12,9,35,16,6,17,15,54,13-13,21-5,02/23/19,Lose,74,No Location Recorded,6:00 PM,N,26,06:22,"SUB IN by MILLER,LAKKEN",,,,,,,"SUB IN by MILLER,LAKKEN",1,subbing in,,Centre,lakken miller,,382
27,27,oglethorpe,Centre,Oglethorpe,35-54,35,54,"10, 4, 12, 9, 35","16, 6, 17, 15, 54",10,4,12,9,35,16,6,17,15,54,13-13,21-5,02/23/19,Lose,74,No Location Recorded,6:00 PM,N,27,06:22,"SUB IN by FEE,MIKAYLA",,,,,,,"SUB IN by FEE,MIKAYLA",1,subbing in,,Centre,mikayla fee,,382
28,27,oglethorpe,Centre,Oglethorpe,35-54,35,54,"10, 4, 12, 9, 35","16, 6, 17, 15, 54",10,4,12,9,35,16,6,17,15,54,13-13,21-5,02/23/19,Lose,74,No Location Recorded,6:00 PM,N,28,06:22,"SUB OUT by WILSON,KAT",,,,,,,"SUB OUT by WILSON,KAT",1,subbing out,,Centre,kat wilson,,382
29,27,oglethorpe,Centre,Oglethorpe,35-54,35,54,"10, 4, 12, 9, 35","16, 6, 17, 15, 54",10,4,12,9,35,16,6,17,15,54,13-13,21-5,02/23/19,Lose,74,No Location Recorded,6:00 PM,N,29,06:22,"SUB OUT by STEWART,ABIGAIL",,,,,,,"SUB OUT by STEWART,ABIGAIL",1,subbing out,,Centre,abigail stewart,,382
30,27,oglethorpe,Centre,Oglethorpe,35-54,35,54,"10, 4, 12, 9, 35","16, 6, 17, 15, 54",10,4,12,9,35,16,6,17,15,54,13-13,21-5,02/23/19,Lose,74,No Location Recorded,6:00 PM,N,30,06:22,"SUB OUT by MARCUM,MADISON",,,,,,,"SUB OUT by MARCUM,MADISON",1,subbing out,,Centre,madison marcum,,382
31,27,oglethorpe,Centre,Oglethorpe,35-54,35,54,"10, 4, 12, 9, 35","16, 6, 17, 15, 54",10,4,12,9,35,16,6,17,15,54,13-13,21-5,02/23/19,Lose,74,No Location Recorded,6:00 PM,N,31,06:22,"SUB OUT by RICE,MADISON",,,,,,,"SUB OUT by RICE,MADISON",1,subbing out,,Centre,madison rice,,382
32,27,oglethorpe,Centre,Oglethorpe,35-54,35,54,"10, 4, 12, 9, 35","16, 6, 17, 15, 54",10,4,12,9,35,16,6,17,15,54,13-13,21-5,02/23/19,Lose,74,No Location Recorded,6:00 PM,N,32,06:22,"SUB OUT by WEHBY,ABIGAIL",,,,,,,"SUB OUT by WEHBY,ABIGAIL",1,subbing out,,Centre,abigail wehby,,382
33,27,oglethorpe,Centre,Oglethorpe,35-54,35,54,"10, 4, 12, 9, 35","16, 6, 17, 15, 54",10,4,12,9,35,16,6,17,15,54,13-13,21-5,02/23/19,Lose,74,No Location Recorded,6:00 PM,N,33,06:21,,,,,"MISS FT by RANSOM,LAUREN",,,"MISS FT by RANSOM,LAUREN",1,free throw,missed,oglethorpe,lauren ransom,,381
34,27,oglethorpe,Centre,Oglethorpe,35-54,35,54,"10, 4, 12, 9, 35","16, 6, 17, 15, 54",10,4,12,9,35,16,6,17,15,54,13-13,21-5,02/23/19,Lose,74,No Location Recorded,6:00 PM,N,34,--,"REBOUND DEF by BUNNER,CHEYENNE",,,,,,,"REBOUND DEF by BUNNER,CHEYENNE",1,defensive rebound,,Centre,cheyenne bunner,,
