,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
35,21,rhodes,Centre,Rhodes,48-45,48,45,"12, 8, 10, 18, 48","11, 18, 10, 6, 45",12,8,10,18,48,11,18,10,6,45,11-10,11-10,02/01/19,Win,200,No Location Recorded,6:00 PM,A,35,05:28,,,,,"SUB OUT by DOWNEY,KIERA",,,"SUB OUT by DOWNEY,KIERA",1,subbing out,,rhodes,kiera downey,,328
36,21,rhodes,Centre,Rhodes,48-45,48,45,"12, 8, 10, 18, 48","11, 18, 10, 6, 45",12,8,10,18,48,11,18,10,6,45,11-10,11-10,02/01/19,Win,200,No Location Recorded,6:00 PM,A,36,05:08,"FOUL  by HICKS,ELLEN",,,,,,,"FOUL  by HICKS,ELLEN",1,foul,,Centre,ellen hicks,,308
37,21,rhodes,Centre,Rhodes,48-45,48,45,"12, 8, 10, 18, 48","11, 18, 10, 6, 45",12,8,10,18,48,11,18,10,6,45,11-10,11-10,02/01/19,Win,200,No Location Recorded,6:00 PM,A,37,05:08,,,,,"MISS FT by TAYLOR,CAROLINE",,,"MISS FT by TAYLOR,CAROLINE",1,free throw,missed,rhodes,caroline taylor,,308
38,21,rhodes,Centre,Rhodes,48-45,48,45,"12, 8, 10, 18, 48","11, 18, 10, 6, 45",12,8,10,18,48,11,18,10,6,45,11-10,11-10,02/01/19,Win,200,No Location Recorded,6:00 PM,A,38,--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1,deadball rebound,,rhodes,,,
39,21,rhodes,Centre,Rhodes,48-45,48,45,"12, 8, 10, 18, 48","11, 18, 10, 6, 45",12,8,10,18,48,11,18,10,6,45,11-10,11-10,02/01/19,Win,200,No Location Recorded,6:00 PM,A,39,05:08,,,,,"MISS FT by TAYLOR,CAROLINE",,,"MISS FT by TAYLOR,CAROLINE",1,free throw,missed,rhodes,caroline taylor,,308
40,21,rhodes,Centre,Rhodes,48-45,48,45,"12, 8, 10, 18, 48","11, 18, 10, 6, 45",12,8,10,18,48,11,18,10,6,45,11-10,11-10,02/01/19,Win,200,No Location Recorded,6:00 PM,A,40,--,"REBOUND DEF by FEE,MIKAYLA",,,,,,,"REBOUND DEF by FEE,MIKAYLA",1,defensive rebound,,Centre,mikayla fee,,
41,21,rhodes,Centre,Rhodes,48-45,48,45,"12, 8, 10, 18, 48","11, 18, 10, 6, 45",12,8,10,18,48,11,18,10,6,45,11-10,11-10,02/01/19,Win,200,No Location Recorded,6:00 PM,A,41,05:08,"SUB IN by JENNINGS,RACHEL",,,,,,,"SUB IN by JENNINGS,RACHEL",1,subbing in,,Centre,rachel jennings,,308
42,21,rhodes,Centre,Rhodes,48-45,48,45,"12, 8, 10, 18, 48","11, 18, 10, 6, 45",12,8,10,18,48,11,18,10,6,45,11-10,11-10,02/01/19,Win,200,No Location Recorded,6:00 PM,A,42,05:08,"SUB IN by CHIRICO,PRESLEY",,,,,,,"SUB IN by CHIRICO,PRESLEY",1,subbing in,,Centre,presley chirico,,308
43,21,rhodes,Centre,Rhodes,48-45,48,45,"12, 8, 10, 18, 48","11, 18, 10, 6, 45",12,8,10,18,48,11,18,10,6,45,11-10,11-10,02/01/19,Win,200,No Location Recorded,6:00 PM,A,43,05:08,"SUB OUT by WILSON,KATHLEEN",,,,,,,"SUB OUT by WILSON,KATHLEEN",1,subbing out,,Centre,kathleen wilson,,308
44,21,rhodes,Centre,Rhodes,48-45,48,45,"12, 8, 10, 18, 48","11, 18, 10, 6, 45",12,8,10,18,48,11,18,10,6,45,11-10,11-10,02/01/19,Win,200,No Location Recorded,6:00 PM,A,44,05:08,"SUB OUT by WEHBY,ABIGAIL",,,,,,,"SUB OUT by WEHBY,ABIGAIL",1,subbing out,,Centre,abigail wehby,,308
