,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,BERRY,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
26,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,26,--,"REBOUND DEF by WEHBY,ABIGAIL",,,,,,,"REBOUND DEF by WEHBY,ABIGAIL",1,defensive rebound,,Centre,abigail wehby,,
27,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,27,06:55,,,,,"FOUL  by MORNING,JANA",,,"FOUL  by MORNING,JANA",1,foul,,berry,jana morning,,415
28,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,28,06:55,"GOOD FT by FEE,MIKAYLA(fastbreak)",1,,2 (+1),,CENTRE-W 1-2 (-1),,"GOOD FT by FEE,MIKAYLA(fastbreak)",1,free throw,good,Centre,mikayla(fastbreak) fee,1,415
29,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,29,06:55,"GOOD FT by FEE,MIKAYLA(fastbreak)",2,,2,,CENTRE-W 2-2 (0),,"GOOD FT by FEE,MIKAYLA(fastbreak)",1,free throw,good,Centre,mikayla(fastbreak) fee,1,415
30,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,30,06:45,,,,,"MISS 3PTR by MORNING,JANA",,,"MISS 3PTR by MORNING,JANA",1,three pointer,missed,berry,jana morning,,405
31,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,31,--,"REBOUND DEF by BUNNER,CHEYENNE",,,,,,,"REBOUND DEF by BUNNER,CHEYENNE",1,defensive rebound,,Centre,cheyenne bunner,,
32,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,32,06:20,"MISS JUMPER by FEE,MIKAYLA",,,,,,,"MISS JUMPER by FEE,MIKAYLA",1,jumper,missed,Centre,mikayla fee,,380
33,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,33,--,,,,,"REBOUND DEF by MORNING,JANA",,,"REBOUND DEF by MORNING,JANA",1,defensive rebound,,berry,jana morning,,
34,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,34,05:53,,2,,4 (+2),"GOOD JUMPER by WALTERS,MARY",BERRY 2-4 (-2),,"GOOD JUMPER by WALTERS,MARY",1,jumper,good,berry,mary walters,2,353
35,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,35,05:35,"MISS JUMPER by BUNNER,CHEYENNE",,,,,,,"MISS JUMPER by BUNNER,CHEYENNE",1,jumper,missed,Centre,cheyenne bunner,,335
36,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,36,--,,,,,"REBOUND DEF by MORNING,JANA",,,"REBOUND DEF by MORNING,JANA",1,defensive rebound,,berry,jana morning,,
37,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,37,05:24,,2,,6 (+4),"GOOD LAYUP by WEEMS,ALEX(in the paint)",BERRY 2-6 (-4),,"GOOD LAYUP by WEEMS,ALEX(in the paint)",1,layup,good,berry,alex weems,2,324
38,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,38,05:08,"MISS JUMPER by FEE,MIKAYLA",,,,,,,"MISS JUMPER by FEE,MIKAYLA",1,jumper,missed,Centre,mikayla fee,,308
39,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,39,--,,,,,"REBOUND DEF by WEEMS,ALEX",,,"REBOUND DEF by WEEMS,ALEX",1,defensive rebound,,berry,alex weems,,
40,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,40,04:45,,,,,"MISS LAYUP by MORNING,JANA",,,"MISS LAYUP by MORNING,JANA",1,layup,missed,berry,jana morning,,285
41,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,41,--,"REBOUND DEF by WEHBY,ABIGAIL",,,,,,,"REBOUND DEF by WEHBY,ABIGAIL",1,defensive rebound,,Centre,abigail wehby,,
42,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,42,04:38,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1,timeout,,Centre,,,278
43,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,43,04:28,"SUB IN by HICKS,ELLEN",,,,,,,"SUB IN by HICKS,ELLEN",1,subbing in,,Centre,ellen hicks,,268
44,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,44,04:28,"SUB IN by MORRIS,TAYLOR",,,,,,,"SUB IN by MORRIS,TAYLOR",1,subbing in,,Centre,taylor morris,,268
45,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,45,04:28,"SUB IN by MILLER,LAKKEN",,,,,,,"SUB IN by MILLER,LAKKEN",1,subbing in,,Centre,lakken miller,,268
46,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,46,04:28,"SUB IN by MURRAY,KYLEE",,,,,,,"SUB IN by MURRAY,KYLEE",1,subbing in,,Centre,kylee murray,,268
47,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,47,04:28,"SUB OUT by WILSON,KATHLEEN",,,,,,,"SUB OUT by WILSON,KATHLEEN",1,subbing out,,Centre,kathleen wilson,,268
