,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,MVILLE,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
52,8,maryville,Centre,Maryville (TN),54-36,54,36,"17, 12, 12, 13, 54","10, 8, 10, 8, 36",17,12,12,13,54,10,8,10,8,36,7-1,2-6,12/15/18,Win,227,No Location Recorded,4:00 PM,A,52,05:45,,,,,"SUB OUT by ECKENROD,ELSA",,,"SUB OUT by ECKENROD,ELSA",1,subbing out,,maryville (tn),elsa eckenrod,,345
53,8,maryville,Centre,Maryville (TN),54-36,54,36,"17, 12, 12, 13, 54","10, 8, 10, 8, 36",17,12,12,13,54,10,8,10,8,36,7-1,2-6,12/15/18,Win,227,No Location Recorded,4:00 PM,A,53,05:45,,,,,"SUB OUT by MCCURDY,BROOKE",,,"SUB OUT by MCCURDY,BROOKE",1,subbing out,,maryville (tn),brooke mccurdy,,345
54,8,maryville,Centre,Maryville (TN),54-36,54,36,"17, 12, 12, 13, 54","10, 8, 10, 8, 36",17,12,12,13,54,10,8,10,8,36,7-1,2-6,12/15/18,Win,227,No Location Recorded,4:00 PM,A,54,05:43,,,,,"TURNOVER  by BEASLEY,ERIN",,,"TURNOVER  by BEASLEY,ERIN",1,turnover,,maryville (tn),erin beasley,,343
55,8,maryville,Centre,Maryville (TN),54-36,54,36,"17, 12, 12, 13, 54","10, 8, 10, 8, 36",17,12,12,13,54,10,8,10,8,36,7-1,2-6,12/15/18,Win,227,No Location Recorded,4:00 PM,A,55,05:09,"TURNOVER  by MORRIS,TAYLOR",,,,,,,"TURNOVER  by MORRIS,TAYLOR",1,turnover,,Centre,taylor morris,,309
56,8,maryville,Centre,Maryville (TN),54-36,54,36,"17, 12, 12, 13, 54","10, 8, 10, 8, 36",17,12,12,13,54,10,8,10,8,36,7-1,2-6,12/15/18,Win,227,No Location Recorded,4:00 PM,A,56,05:09,,,,,"STEAL  by GARDNER,LIBBY",,,"STEAL  by GARDNER,LIBBY",1,steal,,maryville (tn),,,309
57,8,maryville,Centre,Maryville (TN),54-36,54,36,"17, 12, 12, 13, 54","10, 8, 10, 8, 36",17,12,12,13,54,10,8,10,8,36,7-1,2-6,12/15/18,Win,227,No Location Recorded,4:00 PM,A,57,05:09,"SUB IN by MURRAY,KYLEE",,,,,,,"SUB IN by MURRAY,KYLEE",1,subbing in,,Centre,kylee murray,,309
58,8,maryville,Centre,Maryville (TN),54-36,54,36,"17, 12, 12, 13, 54","10, 8, 10, 8, 36",17,12,12,13,54,10,8,10,8,36,7-1,2-6,12/15/18,Win,227,No Location Recorded,4:00 PM,A,58,05:09,"SUB OUT by MORRIS,TAYLOR",,,,,,,"SUB OUT by MORRIS,TAYLOR",1,subbing out,,Centre,taylor morris,,309
59,8,maryville,Centre,Maryville (TN),54-36,54,36,"17, 12, 12, 13, 54","10, 8, 10, 8, 36",17,12,12,13,54,10,8,10,8,36,7-1,2-6,12/15/18,Win,227,No Location Recorded,4:00 PM,A,59,04:58,,,,,"MISS LAYUP by VARNEY,KLAIRE",,,"MISS LAYUP by VARNEY,KLAIRE",1,layup,missed,maryville (tn),klaire varney,,298
60,8,maryville,Centre,Maryville (TN),54-36,54,36,"17, 12, 12, 13, 54","10, 8, 10, 8, 36",17,12,12,13,54,10,8,10,8,36,7-1,2-6,12/15/18,Win,227,No Location Recorded,4:00 PM,A,60,04:58,"BLOCK  by MURRAY,KYLEE",,,,,,,"BLOCK  by MURRAY,KYLEE",1,block,,Centre,kylee murray,,298
61,8,maryville,Centre,Maryville (TN),54-36,54,36,"17, 12, 12, 13, 54","10, 8, 10, 8, 36",17,12,12,13,54,10,8,10,8,36,7-1,2-6,12/15/18,Win,227,No Location Recorded,4:00 PM,A,61,--,"REBOUND DEF by MURRAY,KYLEE",,,,,,,"REBOUND DEF by MURRAY,KYLEE",1,defensive rebound,,Centre,kylee murray,,
62,8,maryville,Centre,Maryville (TN),54-36,54,36,"17, 12, 12, 13, 54","10, 8, 10, 8, 36",17,12,12,13,54,10,8,10,8,36,7-1,2-6,12/15/18,Win,227,No Location Recorded,4:00 PM,A,62,04:46,"TURNOVER  by MURRAY,KYLEE",,,,,,,"TURNOVER  by MURRAY,KYLEE",1,turnover,,Centre,kylee murray,,286
63,8,maryville,Centre,Maryville (TN),54-36,54,36,"17, 12, 12, 13, 54","10, 8, 10, 8, 36",17,12,12,13,54,10,8,10,8,36,7-1,2-6,12/15/18,Win,227,No Location Recorded,4:00 PM,A,63,04:16,,,,,"MISS JUMPER by GARDNER,LIBBY",,,"MISS JUMPER by GARDNER,LIBBY",1,jumper,missed,maryville (tn),libby gardner,,256
