,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,MIL,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
26,19,millsaps,Millsaps,Centre,37-56,37,56,"8, 12, 9, 8, 37","10, 20, 11, 15, 56",8,12,9,8,37,10,20,11,15,56,9-10 (2-6 SAA),16-3 (7-1 SAA),01/25/19,Lose,312,No Location Recorded,6:00 PM,H,26,06:51,,,,,"BLOCK  by STEWART,ABIGAIL",,,"BLOCK  by STEWART,ABIGAIL",1,block,,Centre,abigail stewart,,411
27,19,millsaps,Millsaps,Centre,37-56,37,56,"8, 12, 9, 8, 37","10, 20, 11, 15, 56",8,12,9,8,37,10,20,11,15,56,9-10 (2-6 SAA),16-3 (7-1 SAA),01/25/19,Lose,312,No Location Recorded,6:00 PM,H,27,--,,,,,"REBOUND DEF by STEWART,ABIGAIL",,,"REBOUND DEF by STEWART,ABIGAIL",1,defensive rebound,,Centre,abigail stewart,,
28,19,millsaps,Millsaps,Centre,37-56,37,56,"8, 12, 9, 8, 37","10, 20, 11, 15, 56",8,12,9,8,37,10,20,11,15,56,9-10 (2-6 SAA),16-3 (7-1 SAA),01/25/19,Lose,312,No Location Recorded,6:00 PM,H,28,06:41,,2,,5 (+3),"GOOD 3PTR by WILSON,KATHLEEN",CENTRE-W 2-5 (+3),,"GOOD 3PTR by WILSON,KATHLEEN",1,three pointer,good,Centre,kathleen wilson,3,401
29,19,millsaps,Millsaps,Centre,37-56,37,56,"8, 12, 9, 8, 37","10, 20, 11, 15, 56",8,12,9,8,37,10,20,11,15,56,9-10 (2-6 SAA),16-3 (7-1 SAA),01/25/19,Lose,312,No Location Recorded,6:00 PM,H,29,--,,,,,"ASSIST  by MILLER,LAKKEN",,,"ASSIST  by MILLER,LAKKEN",1,assist,,Centre,lakken miller,,
30,19,millsaps,Millsaps,Centre,37-56,37,56,"8, 12, 9, 8, 37","10, 20, 11, 15, 56",8,12,9,8,37,10,20,11,15,56,9-10 (2-6 SAA),16-3 (7-1 SAA),01/25/19,Lose,312,No Location Recorded,6:00 PM,H,30,06:30,,,,,"FOUL  by MARCUM,MADISON",,,"FOUL  by MARCUM,MADISON",1,foul,,Centre,madison marcum,,390
31,19,millsaps,Millsaps,Centre,37-56,37,56,"8, 12, 9, 8, 37","10, 20, 11, 15, 56",8,12,9,8,37,10,20,11,15,56,9-10 (2-6 SAA),16-3 (7-1 SAA),01/25/19,Lose,312,No Location Recorded,6:00 PM,H,31,06:30,"SUB IN by THOMAS,BRAXTON",,,,,,,"SUB IN by THOMAS,BRAXTON",1,subbing in,,millsaps,braxton thomas,,390
32,19,millsaps,Millsaps,Centre,37-56,37,56,"8, 12, 9, 8, 37","10, 20, 11, 15, 56",8,12,9,8,37,10,20,11,15,56,9-10 (2-6 SAA),16-3 (7-1 SAA),01/25/19,Lose,312,No Location Recorded,6:00 PM,H,32,06:30,"SUB IN by HARRIS,REBECCA",,,,,,,"SUB IN by HARRIS,REBECCA",1,subbing in,,millsaps,rebecca harris,,390
33,19,millsaps,Millsaps,Centre,37-56,37,56,"8, 12, 9, 8, 37","10, 20, 11, 15, 56",8,12,9,8,37,10,20,11,15,56,9-10 (2-6 SAA),16-3 (7-1 SAA),01/25/19,Lose,312,No Location Recorded,6:00 PM,H,33,06:30,"SUB OUT by MANNING,TAELOR",,,,,,,"SUB OUT by MANNING,TAELOR",1,subbing out,,millsaps,taelor manning,,390
34,19,millsaps,Millsaps,Centre,37-56,37,56,"8, 12, 9, 8, 37","10, 20, 11, 15, 56",8,12,9,8,37,10,20,11,15,56,9-10 (2-6 SAA),16-3 (7-1 SAA),01/25/19,Lose,312,No Location Recorded,6:00 PM,H,34,06:30,"SUB OUT by FORTENBERRY,DIA",,,,,,,"SUB OUT by FORTENBERRY,DIA",1,subbing out,,millsaps,dia fortenberry,,390
35,19,millsaps,Millsaps,Centre,37-56,37,56,"8, 12, 9, 8, 37","10, 20, 11, 15, 56",8,12,9,8,37,10,20,11,15,56,9-10 (2-6 SAA),16-3 (7-1 SAA),01/25/19,Lose,312,No Location Recorded,6:00 PM,H,35,06:30,,,,,"SUB IN by BUNNER,CHEYENNE",,,"SUB IN by BUNNER,CHEYENNE",1,subbing in,,Centre,cheyenne bunner,,390
36,19,millsaps,Millsaps,Centre,37-56,37,56,"8, 12, 9, 8, 37","10, 20, 11, 15, 56",8,12,9,8,37,10,20,11,15,56,9-10 (2-6 SAA),16-3 (7-1 SAA),01/25/19,Lose,312,No Location Recorded,6:00 PM,H,36,06:30,,,,,"SUB IN by MURRAY,KYLEE",,,"SUB IN by MURRAY,KYLEE",1,subbing in,,Centre,kylee murray,,390
37,19,millsaps,Millsaps,Centre,37-56,37,56,"8, 12, 9, 8, 37","10, 20, 11, 15, 56",8,12,9,8,37,10,20,11,15,56,9-10 (2-6 SAA),16-3 (7-1 SAA),01/25/19,Lose,312,No Location Recorded,6:00 PM,H,37,06:30,,,,,"SUB IN by CHIRICO,PRESLEY",,,"SUB IN by CHIRICO,PRESLEY",1,subbing in,,Centre,presley chirico,,390
38,19,millsaps,Millsaps,Centre,37-56,37,56,"8, 12, 9, 8, 37","10, 20, 11, 15, 56",8,12,9,8,37,10,20,11,15,56,9-10 (2-6 SAA),16-3 (7-1 SAA),01/25/19,Lose,312,No Location Recorded,6:00 PM,H,38,06:30,,,,,"SUB IN by FEE,MIKAYLA",,,"SUB IN by FEE,MIKAYLA",1,subbing in,,Centre,mikayla fee,,390
39,19,millsaps,Millsaps,Centre,37-56,37,56,"8, 12, 9, 8, 37","10, 20, 11, 15, 56",8,12,9,8,37,10,20,11,15,56,9-10 (2-6 SAA),16-3 (7-1 SAA),01/25/19,Lose,312,No Location Recorded,6:00 PM,H,39,06:30,,,,,"SUB OUT by WILSON,KATHLEEN",,,"SUB OUT by WILSON,KATHLEEN",1,subbing out,,Centre,kathleen wilson,,390
40,19,millsaps,Millsaps,Centre,37-56,37,56,"8, 12, 9, 8, 37","10, 20, 11, 15, 56",8,12,9,8,37,10,20,11,15,56,9-10 (2-6 SAA),16-3 (7-1 SAA),01/25/19,Lose,312,No Location Recorded,6:00 PM,H,40,06:30,,,,,"SUB OUT by STEWART,ABIGAIL",,,"SUB OUT by STEWART,ABIGAIL",1,subbing out,,Centre,abigail stewart,,390
41,19,millsaps,Millsaps,Centre,37-56,37,56,"8, 12, 9, 8, 37","10, 20, 11, 15, 56",8,12,9,8,37,10,20,11,15,56,9-10 (2-6 SAA),16-3 (7-1 SAA),01/25/19,Lose,312,No Location Recorded,6:00 PM,H,41,06:30,,,,,"SUB OUT by MARCUM,MADISON",,,"SUB OUT by MARCUM,MADISON",1,subbing out,,Centre,madison marcum,,390
42,19,millsaps,Millsaps,Centre,37-56,37,56,"8, 12, 9, 8, 37","10, 20, 11, 15, 56",8,12,9,8,37,10,20,11,15,56,9-10 (2-6 SAA),16-3 (7-1 SAA),01/25/19,Lose,312,No Location Recorded,6:00 PM,H,42,06:30,,,,,"SUB OUT by RICE,MADISON",,,"SUB OUT by RICE,MADISON",1,subbing out,,Centre,madison rice,,390
43,19,millsaps,Millsaps,Centre,37-56,37,56,"8, 12, 9, 8, 37","10, 20, 11, 15, 56",8,12,9,8,37,10,20,11,15,56,9-10 (2-6 SAA),16-3 (7-1 SAA),01/25/19,Lose,312,No Location Recorded,6:00 PM,H,43,06:27,"MISS LAYUP by THOMAS,BRAXTON",,,,,,,"MISS LAYUP by THOMAS,BRAXTON",1,layup,missed,millsaps,braxton thomas,,387
