,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
23,6,sewanee,Sewanee,Centre,53-49,53,49,"15, 12, 10, 16, 53","6, 14, 6, 23, 49",15,12,10,16,53,6,14,6,23,49,5-1 (1-0 SAA),5-5 (0-1 SAA),12/01/18,Win,784,No Location Recorded,1:00 PM,H,23,--,,,,,"REBOUND OFF by FEE,MIKAYLA",,,"REBOUND OFF by FEE,MIKAYLA",1,offensive rebound,,Centre,mikayla fee,,
24,6,sewanee,Sewanee,Centre,53-49,53,49,"15, 12, 10, 16, 53","6, 14, 6, 23, 49",15,12,10,16,53,6,14,6,23,49,5-1 (1-0 SAA),5-5 (0-1 SAA),12/01/18,Win,784,No Location Recorded,1:00 PM,H,24,06:37,,2,,4 (+2),"GOOD LAYUP by FEE,MIKAYLA(in the paint)",CENTRE-W 2-4 (+2),,"GOOD LAYUP by FEE,MIKAYLA(in the paint)",1,layup,good,Centre,mikayla fee,2,397
25,6,sewanee,Sewanee,Centre,53-49,53,49,"15, 12, 10, 16, 53","6, 14, 6, 23, 49",15,12,10,16,53,6,14,6,23,49,5-1 (1-0 SAA),5-5 (0-1 SAA),12/01/18,Win,784,No Location Recorded,1:00 PM,H,25,06:19,"TURNOVER  by TREANTON,ELLIE",,,,,,,"TURNOVER  by TREANTON,ELLIE",1,turnover,,sewanee,ellie treanton,,379
26,6,sewanee,Sewanee,Centre,53-49,53,49,"15, 12, 10, 16, 53","6, 14, 6, 23, 49",15,12,10,16,53,6,14,6,23,49,5-1 (1-0 SAA),5-5 (0-1 SAA),12/01/18,Win,784,No Location Recorded,1:00 PM,H,26,06:19,,,,,"STEAL  by WILSON,KATHLEEN",,,"STEAL  by WILSON,KATHLEEN",1,steal,,Centre,,,379
27,6,sewanee,Sewanee,Centre,53-49,53,49,"15, 12, 10, 16, 53","6, 14, 6, 23, 49",15,12,10,16,53,6,14,6,23,49,5-1 (1-0 SAA),5-5 (0-1 SAA),12/01/18,Win,784,No Location Recorded,1:00 PM,H,27,06:14,,2,,7 (+5),"GOOD 3PTR by WILSON,KATHLEEN",CENTRE-W 2-7 (+5),,"GOOD 3PTR by WILSON,KATHLEEN",1,three pointer,good,Centre,kathleen wilson,3,374
28,6,sewanee,Sewanee,Centre,53-49,53,49,"15, 12, 10, 16, 53","6, 14, 6, 23, 49",15,12,10,16,53,6,14,6,23,49,5-1 (1-0 SAA),5-5 (0-1 SAA),12/01/18,Win,784,No Location Recorded,1:00 PM,H,28,--,,,,,"ASSIST  by WEHBY,ABIGAIL",,,"ASSIST  by WEHBY,ABIGAIL",1,assist,,Centre,abigail wehby,,
29,6,sewanee,Sewanee,Centre,53-49,53,49,"15, 12, 10, 16, 53","6, 14, 6, 23, 49",15,12,10,16,53,6,14,6,23,49,5-1 (1-0 SAA),5-5 (0-1 SAA),12/01/18,Win,784,No Location Recorded,1:00 PM,H,29,05:57,,,,,"FOUL  by MARCUM,MADISON",,,"FOUL  by MARCUM,MADISON",1,foul,,Centre,madison marcum,,357
30,6,sewanee,Sewanee,Centre,53-49,53,49,"15, 12, 10, 16, 53","6, 14, 6, 23, 49",15,12,10,16,53,6,14,6,23,49,5-1 (1-0 SAA),5-5 (0-1 SAA),12/01/18,Win,784,No Location Recorded,1:00 PM,H,30,05:57,,,,,"SUB IN by MILLER,LAKKEN",,,"SUB IN by MILLER,LAKKEN",1,subbing in,,Centre,lakken miller,,357
31,6,sewanee,Sewanee,Centre,53-49,53,49,"15, 12, 10, 16, 53","6, 14, 6, 23, 49",15,12,10,16,53,6,14,6,23,49,5-1 (1-0 SAA),5-5 (0-1 SAA),12/01/18,Win,784,No Location Recorded,1:00 PM,H,31,05:57,,,,,"SUB IN by CHIRICO,PRESLEY",,,"SUB IN by CHIRICO,PRESLEY",1,subbing in,,Centre,presley chirico,,357
32,6,sewanee,Sewanee,Centre,53-49,53,49,"15, 12, 10, 16, 53","6, 14, 6, 23, 49",15,12,10,16,53,6,14,6,23,49,5-1 (1-0 SAA),5-5 (0-1 SAA),12/01/18,Win,784,No Location Recorded,1:00 PM,H,32,05:57,,,,,"SUB IN by MORRIS,TAYLOR",,,"SUB IN by MORRIS,TAYLOR",1,subbing in,,Centre,taylor morris,,357
