,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,MCW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
41,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,41,15:54,"SUB IN by BURNETT,LAUREN",,,,,,,"SUB IN by BURNETT,LAUREN",1,subbing in,,maryville college,lauren burnett,,954
42,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,42,15:54,"SUB IN by HEYBOER,TARA",,,,,,,"SUB IN by HEYBOER,TARA",1,subbing in,,maryville college,tara heyboer,,954
43,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,43,15:54,"SUB IN by MITCHELL,WHITNEY",,,,,,,"SUB IN by MITCHELL,WHITNEY",1,subbing in,,maryville college,whitney mitchell,,954
44,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,44,15:54,"SUB OUT by FARMER,LAILAH",,,,,,,"SUB OUT by FARMER,LAILAH",1,subbing out,,maryville college,lailah farmer,,954
45,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,45,15:54,"SUB OUT by PAYNE,KIERA",,,,,,,"SUB OUT by PAYNE,KIERA",1,subbing out,,maryville college,kiera payne,,954
46,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,46,15:54,"SUB OUT by SMITH,TAYLER",,,,,,,"SUB OUT by SMITH,TAYLER",1,subbing out,,maryville college,tayler smith,,954
47,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,47,15:54,"SUB OUT by J. DAKE,C",,,,,,,"SUB OUT by J. DAKE,C",1,subbing out,,maryville college,c j dake,,954
48,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,48,15:54,,,,,"SUB IN by GOATLEY,JANE",,,"SUB IN by GOATLEY,JANE",1,subbing in,,Centre,jane goatley,,954
49,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,49,15:54,,,,,"SUB OUT by BURKE,ALYSON",,,"SUB OUT by BURKE,ALYSON",1,subbing out,,Centre,alyson burke,,954
50,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,50,15:25,,,,,"MISS LAYUP by WINSTEAD,BRIDGET",,,"MISS LAYUP by WINSTEAD,BRIDGET",1,layup,missed,Centre,bridget winstead,,925
