,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,OUW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
24,22,oglethorpe,Centre,Oglethorpe,74-71,74,71,"30, 32, 12, 74","26, 36, 9, 71",30,32,12,74,26,36,9,71,"21-2, 14-1 SCAC","8-16, 5-10 SCAC",02/12/12,Win,212,No Location Recorded,1:00p.m.,A,24,16:57,,2,,4 (+2),"GOOD JUMPER by WEEKS,KATIE",OUW 2-4 (-2),,"GOOD JUMPER by WEEKS,KATIE",1,jumper,good,oglethorpe,katie weeks,2,1017
25,22,oglethorpe,Centre,Oglethorpe,74-71,74,71,"30, 32, 12, 74","26, 36, 9, 71",30,32,12,74,26,36,9,71,"21-2, 14-1 SCAC","8-16, 5-10 SCAC",02/12/12,Win,212,No Location Recorded,1:00p.m.,A,25,--,,,,,"ASSIST  by JENKINS,KYANA",,,"ASSIST  by JENKINS,KYANA",1,assist,,oglethorpe,kyana jenkins,,
26,22,oglethorpe,Centre,Oglethorpe,74-71,74,71,"30, 32, 12, 74","26, 36, 9, 71",30,32,12,74,26,36,9,71,"21-2, 14-1 SCAC","8-16, 5-10 SCAC",02/12/12,Win,212,No Location Recorded,1:00p.m.,A,26,16:28,"MISS LAYUP by BENHAM,CHELSEA",,,,,,,"MISS LAYUP by BENHAM,CHELSEA",1,layup,missed,Centre,chelsea benham,,988
27,22,oglethorpe,Centre,Oglethorpe,74-71,74,71,"30, 32, 12, 74","26, 36, 9, 71",30,32,12,74,26,36,9,71,"21-2, 14-1 SCAC","8-16, 5-10 SCAC",02/12/12,Win,212,No Location Recorded,1:00p.m.,A,27,16:28,,,,,"BLOCK  by GILES,SARAH",,,"BLOCK  by GILES,SARAH",1,block,,oglethorpe,sarah giles,,988
28,22,oglethorpe,Centre,Oglethorpe,74-71,74,71,"30, 32, 12, 74","26, 36, 9, 71",30,32,12,74,26,36,9,71,"21-2, 14-1 SCAC","8-16, 5-10 SCAC",02/12/12,Win,212,No Location Recorded,1:00p.m.,A,28,--,"REBOUND OFF by PREWITT,MAGGIE",,,,,,,"REBOUND OFF by PREWITT,MAGGIE",1,offensive rebound,,Centre,maggie prewitt,,
29,22,oglethorpe,Centre,Oglethorpe,74-71,74,71,"30, 32, 12, 74","26, 36, 9, 71",30,32,12,74,26,36,9,71,"21-2, 14-1 SCAC","8-16, 5-10 SCAC",02/12/12,Win,212,No Location Recorded,1:00p.m.,A,29,16:21,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1,turnover,,Centre,,,981
30,22,oglethorpe,Centre,Oglethorpe,74-71,74,71,"30, 32, 12, 74","26, 36, 9, 71",30,32,12,74,26,36,9,71,"21-2, 14-1 SCAC","8-16, 5-10 SCAC",02/12/12,Win,212,No Location Recorded,1:00p.m.,A,30,16:21,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1,timeout,,Centre,,,981
31,22,oglethorpe,Centre,Oglethorpe,74-71,74,71,"30, 32, 12, 74","26, 36, 9, 71",30,32,12,74,26,36,9,71,"21-2, 14-1 SCAC","8-16, 5-10 SCAC",02/12/12,Win,212,No Location Recorded,1:00p.m.,A,31,16:21,"SUB IN by BAECHLE,PAIGE",,,,,,,"SUB IN by BAECHLE,PAIGE",1,subbing in,,Centre,paige baechle,,981
32,22,oglethorpe,Centre,Oglethorpe,74-71,74,71,"30, 32, 12, 74","26, 36, 9, 71",30,32,12,74,26,36,9,71,"21-2, 14-1 SCAC","8-16, 5-10 SCAC",02/12/12,Win,212,No Location Recorded,1:00p.m.,A,32,16:21,"SUB OUT by BENHAM,CHELSEA",,,,,,,"SUB OUT by BENHAM,CHELSEA",1,subbing out,,Centre,chelsea benham,,981
33,22,oglethorpe,Centre,Oglethorpe,74-71,74,71,"30, 32, 12, 74","26, 36, 9, 71",30,32,12,74,26,36,9,71,"21-2, 14-1 SCAC","8-16, 5-10 SCAC",02/12/12,Win,212,No Location Recorded,1:00p.m.,A,33,16:21,,,,,"SUB IN by BONE,MAREVA",,,"SUB IN by BONE,MAREVA",1,subbing in,,oglethorpe,mareva bone,,981
