,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,MSJWOMEN,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
61,7,mt-st-joseph,Centre College,College of Mount St. Joseph,81-67,81,67,"38, 43, 81","33, 34, 67",38,43,81,33,34,67,6-1,2-7,12/13/11,Win,135,No Location Recorded,6:00 PM,A,61,13:14,,,,,"SUB IN by GAST,PAIGE",,,"SUB IN by GAST,PAIGE",1,subbing in,,college of mount st. joseph,paige gast,,794
62,7,mt-st-joseph,Centre College,College of Mount St. Joseph,81-67,81,67,"38, 43, 81","33, 34, 67",38,43,81,33,34,67,6-1,2-7,12/13/11,Win,135,No Location Recorded,6:00 PM,A,62,13:14,,,,,"SUB OUT by COLE,COURTNEY",,,"SUB OUT by COLE,COURTNEY",1,subbing out,,college of mount st. joseph,courtney cole,,794
63,7,mt-st-joseph,Centre College,College of Mount St. Joseph,81-67,81,67,"38, 43, 81","33, 34, 67",38,43,81,33,34,67,6-1,2-7,12/13/11,Win,135,No Location Recorded,6:00 PM,A,63,13:14,,,,,"SUB OUT by BLEVINS,RACHEL",,,"SUB OUT by BLEVINS,RACHEL",1,subbing out,,college of mount st. joseph,rachel blevins,,794
64,7,mt-st-joseph,Centre College,College of Mount St. Joseph,81-67,81,67,"38, 43, 81","33, 34, 67",38,43,81,33,34,67,6-1,2-7,12/13/11,Win,135,No Location Recorded,6:00 PM,A,64,12:47,"GOOD 3PTR by PREWITT,MAGGIE",16 (+6),,10,,CENTRE 16-10 (+6),,"GOOD 3PTR by PREWITT,MAGGIE",1,three pointer,good,Centre,maggie prewitt,3,767
65,7,mt-st-joseph,Centre College,College of Mount St. Joseph,81-67,81,67,"38, 43, 81","33, 34, 67",38,43,81,33,34,67,6-1,2-7,12/13/11,Win,135,No Location Recorded,6:00 PM,A,65,12:31,,16 (+4),,12,"GOOD LAYUP by COLLINS,KATIE JO(in the paint)",MSJWOMEN 16-12 (+4),,"GOOD LAYUP by COLLINS,KATIE JO(in the paint)",1,layup,good,college of mount st. joseph,katie jo collins,2,751
66,7,mt-st-joseph,Centre College,College of Mount St. Joseph,81-67,81,67,"38, 43, 81","33, 34, 67",38,43,81,33,34,67,6-1,2-7,12/13/11,Win,135,No Location Recorded,6:00 PM,A,66,--,,,,,"ASSIST  by MOSLER,BROOKE",,,"ASSIST  by MOSLER,BROOKE",1,assist,,college of mount st. joseph,brooke mosler,,
67,7,mt-st-joseph,Centre College,College of Mount St. Joseph,81-67,81,67,"38, 43, 81","33, 34, 67",38,43,81,33,34,67,6-1,2-7,12/13/11,Win,135,No Location Recorded,6:00 PM,A,67,12:12,"GOOD JUMPER by BAECHLE,PAIGE",18 (+6),,12,,CENTRE 18-12 (+6),,"GOOD JUMPER by BAECHLE,PAIGE",1,jumper,good,Centre,paige baechle,2,732
68,7,mt-st-joseph,Centre College,College of Mount St. Joseph,81-67,81,67,"38, 43, 81","33, 34, 67",38,43,81,33,34,67,6-1,2-7,12/13/11,Win,135,No Location Recorded,6:00 PM,A,68,--,"ASSIST  by PREWITT,MAGGIE",,,,,,,"ASSIST  by PREWITT,MAGGIE",1,assist,,Centre,maggie prewitt,,
69,7,mt-st-joseph,Centre College,College of Mount St. Joseph,81-67,81,67,"38, 43, 81","33, 34, 67",38,43,81,33,34,67,6-1,2-7,12/13/11,Win,135,No Location Recorded,6:00 PM,A,69,11:57,"SUB IN by BENHAM,CHELSEA",,,,,,,"SUB IN by BENHAM,CHELSEA",1,subbing in,,Centre,chelsea benham,,717
70,7,mt-st-joseph,Centre College,College of Mount St. Joseph,81-67,81,67,"38, 43, 81","33, 34, 67",38,43,81,33,34,67,6-1,2-7,12/13/11,Win,135,No Location Recorded,6:00 PM,A,70,11:57,"SUB OUT by HUTER,LAUREN",,,,,,,"SUB OUT by HUTER,LAUREN",1,subbing out,,Centre,lauren huter,,717
