,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTREW,Away Team Score,Play Team Indicator,Home Team Score,WSEW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
25,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,25,17:55,"GOOD FT by HUTER,LAUREN",3 (+1),,2,,CENTREW 3-2 (+1),,"GOOD FT by HUTER,LAUREN",1,free throw,good,Centre,lauren huter,1,1075
26,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,26,17:27,,3,,4 (+1),"GOOD JUMPER by SEWELL,KAYLA",WSEW 3-4 (-1),,"GOOD JUMPER by SEWELL,KAYLA",1,jumper,good,sewanee,kayla sewell,2,1047
27,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,27,--,,,,,"ASSIST  by MIDDLETON,DANA",,,"ASSIST  by MIDDLETON,DANA",1,assist,,sewanee,dana middleton,,
28,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,28,17:12,"MISS JUMPER by PREWITT,MAGGIE",,,,,,,"MISS JUMPER by PREWITT,MAGGIE",1,jumper,missed,Centre,maggie prewitt,,1032
29,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,29,--,,,,,"REBOUND DEF by SEWELL,KAYLA",,,"REBOUND DEF by SEWELL,KAYLA",1,defensive rebound,,sewanee,kayla sewell,,
30,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,30,17:04,,,,,"MISS 3PTR by MIDDLETON,DANA",,,"MISS 3PTR by MIDDLETON,DANA",1,three pointer,missed,sewanee,dana middleton,,1024
31,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,31,--,"REBOUND DEF by PREWITT,MAGGIE",,,,,,,"REBOUND DEF by PREWITT,MAGGIE",1,defensive rebound,,Centre,maggie prewitt,,
32,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,32,16:57,"GOOD JUMPER by BAECHLE,PAIGE(in the paint)",5 (+1),,4,,CENTREW 5-4 (+1),,"GOOD JUMPER by BAECHLE,PAIGE(in the paint)",1,jumper,good,Centre,paige baechle,2,1017
33,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,33,16:34,,,,,"MISS LAYUP by MIDDLETON,DANA",,,"MISS LAYUP by MIDDLETON,DANA",1,layup,missed,sewanee,dana middleton,,994
34,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,34,--,"REBOUND DEF by HUTER,LAUREN",,,,,,,"REBOUND DEF by HUTER,LAUREN",1,defensive rebound,,Centre,lauren huter,,
35,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,35,16:22,"MISS 3PTR by BURKE,ALYSON",,,,,,,"MISS 3PTR by BURKE,ALYSON",1,three pointer,missed,Centre,alyson burke,,982
36,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,36,--,"REBOUND OFF by PREWITT,MAGGIE",,,,,,,"REBOUND OFF by PREWITT,MAGGIE",1,offensive rebound,,Centre,maggie prewitt,,
37,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,37,16:13,"MISS JUMPER by HUTER,LAUREN",,,,,,,"MISS JUMPER by HUTER,LAUREN",1,jumper,missed,Centre,lauren huter,,973
38,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,38,--,,,,,"REBOUND DEF by MIDDLETON,DANA",,,"REBOUND DEF by MIDDLETON,DANA",1,defensive rebound,,sewanee,dana middleton,,
39,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,39,16:05,,,,,"MISS LAYUP by MIDDLETON,DANA",,,"MISS LAYUP by MIDDLETON,DANA",1,layup,missed,sewanee,dana middleton,,965
40,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,40,--,"REBOUND DEF by BURKE,ALYSON",,,,,,,"REBOUND DEF by BURKE,ALYSON",1,defensive rebound,,Centre,alyson burke,,
41,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,41,15:48,"GOOD LAYUP by BAECHLE,PAIGE(in the paint)",7 (+3),,4,,CENTREW 7-4 (+3),,"GOOD LAYUP by BAECHLE,PAIGE(in the paint)",1,layup,good,Centre,paige baechle,2,948
42,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,42,--,"ASSIST  by PREWITT,MAGGIE",,,,,,,"ASSIST  by PREWITT,MAGGIE",1,assist,,Centre,maggie prewitt,,
43,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,43,15:24,,,,,"MISS 3PTR by GINSBURG,ALEX",,,"MISS 3PTR by GINSBURG,ALEX",1,three pointer,missed,sewanee,alex ginsburg,,924
44,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,44,--,"REBOUND DEF by HUTER,LAUREN",,,,,,,"REBOUND DEF by HUTER,LAUREN",1,defensive rebound,,Centre,lauren huter,,
45,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,45,15:15,"GOOD 3PTR by GOATLEY,JANE",10 (+6),,4,,CENTREW 10-4 (+6),,"GOOD 3PTR by GOATLEY,JANE",1,three pointer,good,Centre,jane goatley,3,915
46,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,46,--,"ASSIST  by BURKE,ALYSON",,,,,,,"ASSIST  by BURKE,ALYSON",1,assist,,Centre,alyson burke,,
47,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,47,15:09,,,,,"MISS 3PTR by MILLER,LOGAN",,,"MISS 3PTR by MILLER,LOGAN",1,three pointer,missed,sewanee,logan miller,,909
48,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,48,--,"REBOUND DEF by WEST,CAILYNN",,,,,,,"REBOUND DEF by WEST,CAILYNN",1,defensive rebound,,Centre,cailynn west,,
49,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,49,14:58,"TURNOVER  by PREWITT,MAGGIE",,,,,,,"TURNOVER  by PREWITT,MAGGIE",1,turnover,,Centre,maggie prewitt,,898
50,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,50,14:30,,,,,"MISS 3PTR by MIDDLETON,DANA",,,"MISS 3PTR by MIDDLETON,DANA",1,three pointer,missed,sewanee,dana middleton,,870
51,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,51,--,"REBOUND DEF by PREWITT,MAGGIE",,,,,,,"REBOUND DEF by PREWITT,MAGGIE",1,defensive rebound,,Centre,maggie prewitt,,
52,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,52,14:21,"MISS 3PTR by HARTLAGE,MAGGIE",,,,,,,"MISS 3PTR by HARTLAGE,MAGGIE",1,three pointer,missed,Centre,maggie hartlage,,861
53,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,53,--,"REBOUND OFF by MOORE,HILLARY",,,,,,,"REBOUND OFF by MOORE,HILLARY",1,offensive rebound,,Centre,hillary moore,,
54,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,54,14:20,,,,,"FOUL  by BAIER,HEATHER",,,"FOUL  by BAIER,HEATHER",1,foul,,sewanee,heather baier,,860
55,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,55,14:19,"MISS 3PTR by PREWITT,MAGGIE",,,,,,,"MISS 3PTR by PREWITT,MAGGIE",1,three pointer,missed,Centre,maggie prewitt,,859
56,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,56,--,,,,,"REBOUND DEF by LOWE,PAIGE",,,"REBOUND DEF by LOWE,PAIGE",1,defensive rebound,,sewanee,paige lowe,,
57,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,57,13:45,,,,,"MISS JUMPER by BAIER,HEATHER",,,"MISS JUMPER by BAIER,HEATHER",1,jumper,missed,sewanee,heather baier,,825
58,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,58,--,"REBOUND DEF by PREWITT,MAGGIE",,,,,,,"REBOUND DEF by PREWITT,MAGGIE",1,defensive rebound,,Centre,maggie prewitt,,
59,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,59,13:42,"MISS LAYUP by HARTLAGE,MAGGIE",,,,,,,"MISS LAYUP by HARTLAGE,MAGGIE",1,layup,missed,Centre,maggie hartlage,,822
60,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,60,13:42,,,,,"BLOCK  by SEWELL,KAYLA",,,"BLOCK  by SEWELL,KAYLA",1,block,,sewanee,kayla sewell,,822
61,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,61,--,"REBOUND OFF by BAECHLE,PAIGE",,,,,,,"REBOUND OFF by BAECHLE,PAIGE",1,offensive rebound,,Centre,paige baechle,,
62,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,62,13:37,"GOOD JUMPER by BAECHLE,PAIGE(in the paint)",12 (+8),,4,,CENTREW 12-4 (+8),,"GOOD JUMPER by BAECHLE,PAIGE(in the paint)",1,jumper,good,Centre,paige baechle,2,817
63,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,63,13:07,,,,,"TURNOVER  by GINSBURG,ALEX",,,"TURNOVER  by GINSBURG,ALEX",1,turnover,,sewanee,alex ginsburg,,787
64,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,64,13:04,"MISS 3PTR by MOORE,HILLARY",,,,,,,"MISS 3PTR by MOORE,HILLARY",1,three pointer,missed,Centre,hillary moore,,784
