,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,CCW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
34,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,34,--,,,,,"REBOUND DEF by LUETJEN,BECKY",,,"REBOUND DEF by LUETJEN,BECKY",1,defensive rebound,,colorado college,becky luetjen,,
35,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,35,15:39,,,,,"MISS LAYUP by STEPHENSON,JORDY",,,"MISS LAYUP by STEPHENSON,JORDY",1,layup,missed,colorado college,jordy stephenson,,939
36,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,36,--,"REBOUND DEF by BAECHLE,PAIGE",,,,,,,"REBOUND DEF by BAECHLE,PAIGE",1,defensive rebound,,Centre,paige baechle,,
37,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,37,15:30,"MISS 3PTR by GOATLEY,JANE",,,,,,,"MISS 3PTR by GOATLEY,JANE",1,three pointer,missed,Centre,jane goatley,,930
38,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,38,--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
39,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,39,15:26,"SUB IN by HUTER,LAUREN",,,,,,,"SUB IN by HUTER,LAUREN",1,subbing in,,Centre,lauren huter,,926
40,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,40,15:26,"SUB IN by MIRE,JENNA",,,,,,,"SUB IN by MIRE,JENNA",1,subbing in,,Centre,jenna mire,,926
41,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,41,15:26,"SUB IN by WINSTEAD,BRIDGET",,,,,,,"SUB IN by WINSTEAD,BRIDGET",1,subbing in,,Centre,bridget winstead,,926
42,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,42,15:26,"SUB IN by BURKE,ALYSON",,,,,,,"SUB IN by BURKE,ALYSON",1,subbing in,,Centre,alyson burke,,926
43,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,43,15:26,"SUB OUT by WEST,CAILYNN",,,,,,,"SUB OUT by WEST,CAILYNN",1,subbing out,,Centre,cailynn west,,926
44,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,44,15:26,"SUB OUT by PREWITT,MAGGIE",,,,,,,"SUB OUT by PREWITT,MAGGIE",1,subbing out,,Centre,maggie prewitt,,926
45,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,45,15:26,"SUB OUT by GOATLEY,JANE",,,,,,,"SUB OUT by GOATLEY,JANE",1,subbing out,,Centre,jane goatley,,926
46,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,46,15:26,"SUB OUT by HARTLAGE,MAGGIE",,,,,,,"SUB OUT by HARTLAGE,MAGGIE",1,subbing out,,Centre,maggie hartlage,,926
47,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,47,15:26,,,,,"SUB IN by GUNKEL,SARAH",,,"SUB IN by GUNKEL,SARAH",1,subbing in,,colorado college,sarah gunkel,,926
48,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,48,15:26,,,,,"SUB OUT by RENNECKER,GRACIE",,,"SUB OUT by RENNECKER,GRACIE",1,subbing out,,colorado college,gracie rennecker,,926
49,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,49,15:04,,,,,"MISS LAYUP by LUETJEN,BECKY",,,"MISS LAYUP by LUETJEN,BECKY",1,layup,missed,colorado college,becky luetjen,,904
50,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,50,--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
51,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,51,14:45,"MISS JUMPER by HUTER,LAUREN",,,,,,,"MISS JUMPER by HUTER,LAUREN",1,jumper,missed,Centre,lauren huter,,885
52,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,52,--,,,,,"REBOUND DEF by GRADOZ,MARISSA",,,"REBOUND DEF by GRADOZ,MARISSA",1,defensive rebound,,colorado college,marissa gradoz,,
53,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,53,14:32,,4,,8 (+4),"GOOD LAYUP by LUETJEN,BECKY(in the paint)",CCW 4-8 (-4),,"GOOD LAYUP by LUETJEN,BECKY(in the paint)",1,layup,good,colorado college,becky luetjen,2,872
54,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,54,14:12,,,,,"FOUL  by GRADOZ,MARISSA",,,"FOUL  by GRADOZ,MARISSA",1,foul,,colorado college,marissa gradoz,,852
55,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,55,14:12,"GOOD FT by BAECHLE,PAIGE",5,,8 (+3),,CENTRE_W 5-8 (-3),,"GOOD FT by BAECHLE,PAIGE",1,free throw,good,Centre,paige baechle,1,852
56,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,56,14:12,"GOOD FT by BAECHLE,PAIGE",6,,8 (+2),,CENTRE_W 6-8 (-2),,"GOOD FT by BAECHLE,PAIGE",1,free throw,good,Centre,paige baechle,1,852
57,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,57,14:12,,,,,"SUB IN by KNAPP,JENNY",,,"SUB IN by KNAPP,JENNY",1,subbing in,,colorado college,jenny knapp,,852
58,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,58,14:12,,,,,"SUB OUT by TYUS,COURTNEY",,,"SUB OUT by TYUS,COURTNEY",1,subbing out,,colorado college,courtney tyus,,852
